step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/arm_torque_margin,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/fixture_force_tracking,Episode_Reward/fixture_lost,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_ee_orn_roll,Episode_Reward/tracking_lin_vel_force_world,Fixture/force_ceiling_n,Fixture/lost_fraction,Fixture/mean_error_n,Fixture/relative_force_error,Fixture/relative_force_error_ema,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
11019,1790233900.750,-0.06857001,-0.117295,0.5249991,-0.01106281,-0.3483854,-0.007406365,-0.3105005,-0.02651488,-0.003376766,-0.4912679,-0.01853619,-0.0005874186,-0.001378,-0.0004081826,0.5622658,-0.008317328,-0.001259306,0,-0.02464202,0.09320123,-0.07000001,-0.09907132,-0.007452548,0.2278153,0.1306979,-0.002213494,-0.001522091,0.2548939,0.4507558,0.182269,0.6282138,15,0.7777779,21.78821,4.326035,3.353389,0.0004982332,1e-05,17.78044,0.002031708,2.854764e-08,0.001429937,0.0001035092,0.0104142,0.1,0.1,0,1e-05,-0.004870511,1.959904,1.225117,1.543887,35501,0.663758,298.52,26.61012
11020,1790233903.557,-0.04507976,-0.07965433,0.3446997,-0.006525721,-0.2145541,-0.006067235,-0.08099999,-0.01585919,-0.002062454,-0.2711897,-0.01117229,-0.0003986963,0,-0.0002454732,0.3744502,-0.005561547,0,0,-0.01559298,0.04737257,-0.08000001,-0.05752876,-0.006144589,0.1505142,0.09285311,-0.001479538,-0.0010508,0.1667046,0.2920586,0.1017846,0.4333799,15,0.8000001,28.80895,5.448011,3.699483,0.0004951879,1.5e-05,17.78737,0.002026247,2.826369e-08,0.001396101,0.0001349298,0.009119593,0,0.1,0,1.5e-05,-0.005570342,1.998724,1.226101,1.571509,35138,0.6640508,296.15,26.6294
11021,1790233906.345,-0.03769964,-0.06467959,0.276375,-0.006270166,-0.1007942,-0.003619928,-0.02875001,-0.01299738,-0.001681858,-0.1591965,-0.01108405,-0.000329686,-0.0008075002,-0.0003078675,0.3055311,-0.005218646,-0.0006571565,-0.01335776,-0.01215649,0.04493643,-0.08750001,-0.05369025,-0.007016608,0.1227842,0.06908873,-0.00126439,-0.0007085884,0.1273727,0.245744,0.08742943,0.3373786,15,1,15.86353,2.768012,4.094394,0.0004691093,2.25e-05,17.79729,0.001994852,2.966046e-08,0.001402897,0.0001228163,0.01045191,0,0.1,0,2.25e-05,-0.006213906,1.965404,1.22107,1.558117,35371,0.664452,312.23,28.11932
11022,1790233909.146,-0.03447368,-0.06314309,0.2541003,-0.004651942,-0.1521746,-0.003964037,-0.086,-0.01175132,-0.001542805,-0.06612783,-0.008580083,-0.0003000365,0,-0.0001319289,0.2832898,-0.004438311,0,0,-0.01188308,0.06039248,-0.1,-0.04805281,-0.005526996,0.1107518,0.06841444,-0.001015385,-0.0005758469,0.1201608,0.2335077,0.0725634,0.3150993,15,1,13.82741,2.646653,3.696733,0.0004574171,2.25e-05,17.80902,0.001901064,2.908314e-08,0.001323673,0.000119945,0.01116787,0.05,0.1,0,2.25e-05,-0.006605035,1.851243,1.218845,1.572345,35219,0.6648558,270.93,26.36035
11023,1790233911.963,-0.04690862,-0.07978445,0.353,-0.007159756,-0.1487433,-0.004868174,-0.1208334,-0.01826807,-0.002281814,-0.2245561,-0.01359635,-0.0004190054,-0.001071667,-0.0002781951,0.3840544,-0.006178103,-0.0009963766,-0.0004165041,-0.0158078,0.05914928,-0.09166667,-0.06304887,-0.006921488,0.1542605,0.08646065,-0.001520959,-0.001061651,0.1674077,0.3133387,0.09877019,0.4162583,15,1,16.08569,2.528913,3.676393,0.000458615,2.25e-05,17.81931,0.001938778,3.077785e-08,0.001340361,0.0001397712,0.009928937,0,0.05,0,2.25e-05,-0.006168059,1.752205,1.222534,1.585329,35010,0.6652134,290.48,28.22322
11024,1790233914.746,-0.0610177,-0.09991719,0.4440004,-0.00972422,-0.1489701,-0.005022224,-0.1378571,-0.02490872,-0.002994799,-0.3524201,-0.01962388,-0.0005321013,-0.002911429,-0.0007082525,0.4725863,-0.007790033,-0.003076268,-2.700011e-05,-0.02027067,0.06699553,-0.07142858,-0.09480171,-0.008211101,0.1972491,0.09683471,-0.001914577,-0.001292614,0.2037234,0.3785311,0.1377573,0.5226866,15,1,12.93022,1.681577,3.100599,0.0004421448,2.25e-05,17.82941,0.001877991,2.912636e-08,0.00131631,0.0001195064,0.009779129,0,0.05,0,2.25e-05,-0.007994325,1.627038,1.223663,1.550775,35432,0.6655936,334.32,32.24932
11025,1790233917.568,-0.05644719,-0.09502356,0.4255505,-0.008297361,-0.3239492,-0.007690636,-0.1935,-0.01870329,-0.002819704,-0.177557,-0.01313518,-0.0004801015,0,-0.0001325587,0.4790662,-0.006661783,0,0,-0.02009062,0.1193522,-0.08000001,-0.06955756,-0.00629813,0.1825945,0.1136329,-0.001706763,-0.001091408,0.2051017,0.4041201,0.1316871,0.5340573,15,0.8000001,16.19812,3.219539,2.888741,0.0004538922,2.25e-05,17.8396,0.001908115,2.845188e-08,0.001289261,0.0001649332,0.01152799,0.05,0.1,0,2.25e-05,-0.004294593,1.783063,1.229501,1.576508,35033,0.6659415,330.25,32.46302
11026,1790233920.352,-0.07516642,-0.1239924,0.5648193,-0.01175494,-0.4907053,-0.009312548,-0.2763639,-0.02534547,-0.003658428,-0.3148022,-0.01703231,-0.0006109448,0,-0.0001807455,0.6304206,-0.008813286,0,0,-0.02753123,0.1512422,-0.07272728,-0.08285969,-0.007341804,0.2403006,0.1502254,-0.002369158,-0.001580766,0.2704328,0.5261587,0.1560635,0.7098681,15,0.7272727,19.55978,3.429015,3.055848,0.0004459763,2.25e-05,17.85022,0.001800164,2.736601e-08,0.001264505,8.965522e-05,0.008807081,0,0.05,0,2.25e-05,-0.007430126,1.432204,1.219047,1.556743,35414,0.6663526,344.07,32.33001
11027,1790233923.156,-0.08039939,-0.1229568,0.5537515,-0.01376017,-0.0980705,-0.005209786,-0.085,-0.04018994,-0.003635675,-0.4196281,-0.03622914,-0.0006767704,-0.009870002,-0.001319873,0.6010774,-0.01157591,-0.009034466,-0.005256779,-0.02400535,0.02430794,-0.06666668,-0.1028618,-0.01527493,0.2493514,0.0720137,-0.002541424,-0.001846257,0.2558821,0.4570578,0.1765639,0.6029968,15,1,21.81989,8.715563,3.978938,0.000423073,3.375e-05,17.86362,0.001826485,2.705559e-08,0.001256644,0.0001467408,0.01305224,0,0.1,0,3.375e-05,-0.007598445,1.270583,1.224526,1.571447,35159,0.6668674,388.05,33.57738
11028,1790233925.970,-0.06519638,-0.107598,0.4958583,-0.009756858,-0.3785154,-0.007190985,-0.2635717,-0.02119602,-0.003239783,-0.3767974,-0.01470036,-0.0005435921,0,-0.0002302396,0.5555655,-0.007701489,0,0,-0.02229236,0.1343341,-0.0857143,-0.06721956,-0.006764242,0.218497,0.1342541,-0.002026191,-0.001407193,0.2443047,0.4689144,0.1611932,0.625666,15,0.8571429,17.12952,2.495342,3.36261,0.0004113666,2.25e-05,17.87586,0.001764735,2.749522e-08,0.001213419,0.0001399215,0.01219314,0.05,0.05,0,2.25e-05,-0.004904362,1.290469,1.213168,1.590822,35058,0.6672243,372.38,36.63
11029,1790233928.799,-0.1049204,-0.1713788,0.8046012,-0.01595253,-0.8585148,-0.01378539,-0.3760002,-0.03776366,-0.005276349,-0.2993049,-0.02516663,-0.0008536451,0,-0.0002431083,0.8707843,-0.01205518,0,0,-0.03885406,0.2970166,-0.06,-0.09869295,-0.008559981,0.33765,0.2125013,-0.003462263,-0.00268896,0.3937009,0.7922718,0.2644401,1.018077,15,0.6,16.42503,1.85157,3.308789,0.0004025105,1.5e-05,17.88422,0.001728443,2.730784e-08,0.00118975,0.0001361555,0.01027497,0.05,0.05,0,1.5e-05,-0.004036968,1.529887,1.23456,1.586133,34851,0.6674613,354.08,34.12831
11030,1790233931.645,-0.04637046,-0.07884181,0.3429384,-0.006606142,-0.01772049,-0.003439312,-0.02,-0.02010836,-0.002191065,-0.3288085,-0.01625463,-0.0004311744,-0.003405001,-0.0006348823,0.3734013,-0.006227027,-0.003212659,-2.341485e-06,-0.01466429,0.01328207,-0.0625,-0.07932519,-0.00825901,0.1542403,0.06641866,-0.001588322,-0.001046473,0.1656386,0.2748947,0.1145311,0.3973954,15,1,9.663778,1.770018,3.241549,0.0003969626,2.25e-05,17.89214,0.001728084,2.583331e-08,0.001174393,0.0001567031,0.009911523,0,0.1,0,2.25e-05,-0.007561632,1.305598,1.23411,1.60281,34651,0.6678222,379.37,37.67534
11031,1790233934.475,-0.1432181,-0.2283643,1.052504,-0.02240411,-0.6731236,-0.01061651,-0.1483333,-0.05558341,-0.007338765,-1.068371,-0.04414281,-0.001184768,-0.008620003,-0.001382293,1.184725,-0.01669609,-0.01018607,-7.637904e-05,-0.0461165,0.2273191,-0.06666668,-0.1445435,-0.01534705,0.4764929,0.2125352,-0.004445544,-0.002953991,0.5033478,0.9507427,0.3890397,1.220487,15,1,16.51899,1.887629,3.004221,0.0003858682,1e-05,17.90068,0.001676866,2.757599e-08,0.001157859,0.0001331109,0.01085672,0.15,0.1,0,1e-05,-0.004629752,1.176655,1.216831,1.602006,34873,0.6680518,406.68,40.96094
11032,1790233937.313,-0.1119169,-0.1738109,0.8040032,-0.01750696,-0.4651834,-0.008976856,-0.2572729,-0.04957836,-0.005396855,-0.6419882,-0.04000686,-0.0009040468,-0.008634547,-0.00109241,0.8815559,-0.01373736,-0.009353062,-0.003013517,-0.03568974,0.1535414,-0.06363636,-0.1223625,-0.01370313,0.3575675,0.1468397,-0.003474027,-0.002523602,0.3821026,0.7214979,0.2563176,0.9378831,15,0.875,17.00663,3.369976,3.045436,0.0003761956,1.5e-05,17.90756,0.001735126,2.704486e-08,0.001148181,0.0002107217,0.008802147,0,0.1,0,1.5e-05,-0.006831371,1.242963,1.219534,1.608263,34763,0.6683604,374.3,38.10997
