attempt,step,time_s,phase,jaw_centre_error_m,tip_goal_error_m,jaw_command_m,approach_elevation_deg,jaw_tilt_deg,base_height_m,fell,cup_lift_m,cup_tilt_deg
0,79,1.58,stand,0.0357,0.0357,0.03,-4.9,73.27,0.3134,0,0.0,0.0
0,80,1.6,stand,0.03381,0.03381,0.03,-4.34,70.65,0.3136,0,0.0,0.0
0,81,1.62,stand,0.03326,0.03326,0.03,-3.78,67.33,0.3137,0,0.0,0.0
0,82,1.64,stand,0.03321,0.03321,0.03,-2.9,66.7,0.3139,0,0.0,0.0
0,83,1.66,stand,0.03314,0.03314,0.03,-3.0,66.36,0.3142,0,0.0,0.0
0,84,1.68,stand,0.03205,0.03205,0.03,-3.06,62.69,0.3144,0,0.0,0.0
0,85,1.7,stand,0.03422,0.03422,0.03,-3.73,59.8,0.3147,0,0.0,0.0
0,86,1.72,stand,0.03471,0.03471,0.03,-4.03,58.81,0.3149,0,0.0,0.0
0,87,1.74,stand,0.02666,0.02666,0.03,-2.97,59.16,0.315,0,0.0,0.0
0,88,1.76,stand,0.02799,0.02799,0.03,-3.13,58.41,0.3152,0,0.0,0.0
0,89,1.78,stand,0.02659,0.02659,0.03,-3.16,58.43,0.3155,0,0.0,0.0
0,90,1.8,stand,0.02903,0.02903,0.03,-3.43,59.09,0.3157,0,0.0,0.0
0,91,1.82,stand,0.02551,0.02551,0.03,-3.05,61.49,0.3159,0,0.0,0.0
0,92,1.84,stand,0.0284,0.0284,0.03,-3.49,61.75,0.3161,0,0.0,0.0
0,93,1.86,stand,0.02652,0.02652,0.03,-3.44,62.33,0.3163,0,0.0,0.0
0,94,1.88,stand,0.02795,0.02795,0.03,-4.17,62.16,0.3165,0,0.0,0.0
0,95,1.9,stand,0.02915,0.02915,0.03,-4.91,63.47,0.3167,0,0.0,0.0
0,96,1.92,stand,0.0261,0.0261,0.03,-5.19,65.4,0.3167,0,0.0,0.0
0,97,1.94,stand,0.02741,0.02741,0.03,-6.06,65.64,0.3168,0,0.0,0.0
0,98,1.96,stand,0.03039,0.03039,0.03,-6.25,65.95,0.3169,0,0.0,0.0
0,99,1.98,stand,0.0287,0.0287,0.03,-5.69,66.39,0.3169,0,0.0,0.0
0,100,2.0,stand,0.03058,0.03058,0.03,-5.63,66.04,0.317,0,0.0,0.0
0,101,2.02,stand,0.03013,0.03013,0.03,-5.33,64.52,0.3171,0,0.0,0.0
0,102,2.04,stand,0.02927,0.02927,0.03,-5.31,62.9,0.3171,0,0.0,0.0
0,103,2.06,stand,0.03102,0.03102,0.03,-5.99,62.11,0.3172,0,0.0,0.0
0,104,2.08,stand,0.03097,0.03097,0.03,-6.37,60.89,0.3173,0,0.0,0.0
0,105,2.1,stand,0.03177,0.03177,0.03,-6.68,61.34,0.3173,0,0.0,0.0
0,106,2.12,stand,0.03316,0.03316,0.03,-7.04,61.01,0.3174,0,0.0,0.0
0,107,2.14,stand,0.03554,0.03554,0.03,-7.49,60.91,0.3175,0,0.0,0.0
0,108,2.16,stand,0.03689,0.03689,0.03,-7.76,60.97,0.3175,0,0.0,0.0
0,109,2.18,stand,0.03826,0.03826,0.03,-7.85,61.18,0.3175,0,0.0,0.0
0,110,2.2,stand,0.04066,0.04066,0.03,-7.86,61.38,0.3175,0,0.0,0.0
0,111,2.22,stand,0.03999,0.03999,0.03,-7.16,62.15,0.3175,0,0.0,0.0
0,112,2.24,stand,0.038,0.038,0.03,-6.43,62.73,0.3174,0,0.0,0.0
0,113,2.26,stand,0.03669,0.03669,0.03,-6.25,62.9,0.3174,0,0.0,0.0
0,114,2.28,stand,0.03669,0.03669,0.03,-6.47,62.92,0.3174,0,0.0,0.0
0,115,2.3,stand,0.0374,0.0374,0.03,-6.95,62.99,0.3174,0,0.0,0.0
0,116,2.32,stand,0.0398,0.0398,0.03,-7.38,63.06,0.3174,0,0.0,0.0
0,117,2.34,stand,0.03963,0.03963,0.03,-7.13,63.77,0.3174,0,0.0,0.0
0,118,2.36,stand,0.03821,0.03821,0.03,-6.99,64.5,0.3173,0,0.0,0.0
0,119,2.38,stand,0.03867,0.03867,0.03,-7.05,64.97,0.3172,0,0.0,0.0
0,120,2.4,stand,0.03921,0.03921,0.03,-7.01,65.69,0.3171,0,0.0,0.0
0,121,2.42,stand,0.03973,0.03973,0.03,-6.9,66.46,0.317,0,0.0,0.0
0,122,2.44,stand,0.04038,0.04038,0.03,-6.73,67.24,0.3169,0,0.0,0.0
0,123,2.46,stand,0.03946,0.03946,0.03,-6.33,67.9,0.3167,0,0.0,0.0
0,124,2.48,approach,0.03827,0.03827,0.03,-6.16,68.43,0.3165,0,0.0,0.0
0,125,2.5,approach,0.03606,0.03606,0.03,-6.16,68.72,0.3164,0,0.0,0.0
0,126,2.52,approach,0.03511,0.03511,0.03,-6.32,68.84,0.3163,0,0.0,0.0
0,127,2.54,approach,0.03483,0.03483,0.03,-6.56,69.13,0.3161,0,0.0,0.0
0,128,2.56,approach,0.03409,0.03409,0.03,-6.75,69.47,0.316,0,0.0,0.0
0,129,2.58,approach,0.03392,0.03392,0.03,-7.01,69.77,0.3158,0,0.0,0.0
0,130,2.6,approach,0.03292,0.03292,0.03,-7.19,70.14,0.3156,0,0.0,0.0
0,131,2.62,approach,0.03261,0.03261,0.03,-7.42,70.42,0.3153,0,0.0,0.0
0,132,2.64,approach,0.03318,0.03318,0.03,-7.85,70.63,0.3151,0,0.0,0.0
0,133,2.66,approach,0.03305,0.03305,0.03,-8.11,71.01,0.3149,0,0.0,0.0
0,134,2.68,approach,0.03316,0.03316,0.03,-8.38,71.34,0.3146,0,0.0,0.0
0,135,2.7,approach,0.03405,0.03405,0.03,-8.78,71.61,0.3144,0,0.0,0.0
0,136,2.72,approach,0.03423,0.03423,0.03,-9.18,71.85,0.3141,0,0.0,0.0
0,137,2.74,approach,0.03462,0.03462,0.03,-9.7,71.94,0.3139,0,0.0,0.0
0,138,2.76,approach,0.03365,0.03365,0.03,-10.0,72.17,0.3136,0,0.0,0.0
0,139,2.78,approach,0.03454,0.03454,0.03,-10.68,71.96,0.3134,0,0.0,0.0
0,140,2.8,approach,0.03438,0.03438,0.03,-10.82,72.28,0.3131,0,0.0,0.0
0,141,2.82,approach,0.03381,0.03381,0.03,-11.16,72.39,0.3129,0,0.0,0.0
0,142,2.84,approach,0.03372,0.03372,0.03,-11.7,72.18,0.3126,0,0.0,0.0
0,143,2.86,approach,0.03394,0.03394,0.03,-12.14,71.95,0.3124,0,0.0,0.0
0,144,2.88,approach,0.0356,0.0356,0.03,-12.56,71.69,0.3121,0,0.0,0.0
0,145,2.9,approach,0.03237,0.03237,0.03,-11.83,72.69,0.3119,0,0.0,0.0
0,146,2.92,approach,0.03086,0.03086,0.03,-12.19,72.51,0.3117,0,0.0,0.0
0,147,2.94,approach,0.03197,0.03197,0.03,-13.47,71.25,0.3116,0,0.0,0.0
0,148,2.96,approach,0.03038,0.03038,0.03,-13.16,71.78,0.3114,0,0.0,0.0
0,149,2.98,approach,0.03098,0.03098,0.03,-13.58,71.32,0.3114,0,0.0,0.0
0,150,3.0,approach,0.03027,0.03027,0.03,-13.43,71.55,0.3113,0,0.0,0.0
0,151,3.02,approach,0.03033,0.03033,0.03,-13.95,71.11,0.3113,0,0.0,0.0
0,152,3.04,approach,0.02944,0.02944,0.03,-14.14,70.99,0.3114,0,0.0,0.0
0,153,3.06,approach,0.03,0.03,0.03,-14.93,70.23,0.3115,0,0.0,0.0
0,154,3.08,approach,0.03199,0.03199,0.03,-16.32,68.95,0.3116,0,0.0,0.0
0,155,3.1,approach,0.03069,0.03069,0.03,-16.19,69.4,0.3118,0,0.0,0.0
0,156,3.12,approach,0.03077,0.03077,0.03,-16.91,68.84,0.3119,0,0.0,0.0
0,157,3.14,approach,0.03152,0.03152,0.03,-17.66,68.33,0.3121,0,0.0,0.0
0,158,3.16,approach,0.03254,0.03254,0.03,-18.54,67.64,0.3123,0,0.0,0.0
0,159,3.18,approach,0.03237,0.03237,0.03,-19.24,67.09,0.3124,0,0.0,0.0
0,160,3.2,approach,0.03226,0.03226,0.03,-19.95,66.48,0.3125,0,0.0,0.0
0,161,3.22,approach,0.03278,0.03278,0.03,-20.63,66.07,0.3126,0,0.0,0.0
0,162,3.24,approach,0.03405,0.03405,0.03,-21.08,65.9,0.3127,0,0.0,0.0
0,163,3.26,approach,0.03025,0.03025,0.03,-20.25,67.32,0.3127,0,0.0,0.0
0,164,3.28,approach,0.02822,0.02822,0.03,-20.48,67.16,0.3128,0,0.0,0.0
0,165,3.3,approach,0.02917,0.02917,0.03,-21.8,65.75,0.313,0,0.0,0.0
0,166,3.32,approach,0.02881,0.02881,0.03,-21.96,65.82,0.313,0,0.0,0.0
0,167,3.34,approach,0.02866,0.02866,0.03,-22.14,65.84,0.3131,0,0.0,0.0
0,168,3.36,approach,0.02763,0.02763,0.03,-22.21,66.06,0.3133,0,0.0,0.0
0,169,3.38,approach,0.02611,0.02611,0.03,-22.09,66.4,0.3134,0,0.0,0.0
0,170,3.4,approach,0.0266,0.0266,0.03,-22.93,65.53,0.3136,0,0.0,0.0
0,171,3.42,approach,0.02881,0.02881,0.03,-24.21,64.17,0.3138,0,0.0,0.0
0,172,3.44,approach,0.02881,0.02881,0.03,-24.51,64.03,0.3139,0,0.0,0.0
0,173,3.46,approach,0.02856,0.02856,0.03,-24.95,63.71,0.314,0,0.0,0.0
0,174,3.48,approach,0.02959,0.02959,0.03,-25.67,63.03,0.3142,0,0.0,0.0
0,175,3.5,approach,0.0302,0.0302,0.03,-26.31,62.47,0.3143,0,0.0,0.0
0,176,3.52,approach,0.03092,0.03092,0.03,-26.98,61.87,0.3144,0,0.0,0.0
0,177,3.54,approach,0.03062,0.03062,0.03,-27.42,61.55,0.3144,0,0.0,0.0
0,178,3.56,approach,0.03164,0.03164,0.03,-28.11,60.95,0.3144,0,0.0,0.0
0,179,3.58,approach,0.03248,0.03248,0.03,-28.46,60.74,0.3144,0,0.0,0.0
0,180,3.6,approach,0.03223,0.03223,0.03,-28.44,60.93,0.3143,0,0.0,0.0
0,181,3.62,approach,0.02872,0.02872,0.03,-27.73,61.83,0.3143,0,0.0,0.0
0,182,3.64,approach,0.02752,0.02752,0.03,-27.99,61.63,0.3142,0,0.0,0.0
0,183,3.66,approach,0.02844,0.02844,0.03,-28.73,60.87,0.3142,0,0.0,0.0
0,184,3.68,approach,0.02992,0.02992,0.03,-29.49,60.05,0.3142,0,0.0,0.0
0,185,3.7,approach,0.02799,0.02799,0.03,-29.16,60.45,0.3141,0,0.0,0.0
0,186,3.72,approach,0.02786,0.02786,0.03,-29.56,60.07,0.3141,0,0.0,0.0
0,187,3.74,approach,0.02842,0.02842,0.03,-30.19,59.45,0.3142,0,0.0,0.0
0,188,3.76,approach,0.02794,0.02794,0.03,-30.55,59.09,0.3142,0,0.0,0.0
0,189,3.78,approach,0.02845,0.02845,0.03,-31.09,58.54,0.3142,0,0.0,0.0
0,190,3.8,approach,0.02992,0.02992,0.03,-31.97,57.66,0.3142,0,0.0,0.0
0,191,3.82,approach,0.03123,0.03123,0.03,-32.73,56.92,0.3142,0,0.0,0.0
0,192,3.84,approach,0.03075,0.03075,0.03,-33.06,56.64,0.3142,0,0.0,0.0
0,193,3.86,approach,0.03064,0.03064,0.03,-33.51,56.2,0.3142,0,0.0,0.0
0,194,3.88,approach,0.03136,0.03136,0.03,-34.11,55.63,0.3141,0,0.0,0.0
0,195,3.9,approach,0.03179,0.03179,0.03,-34.59,55.18,0.314,0,0.0,0.0
0,196,3.92,approach,0.03186,0.03186,0.03,-34.96,54.84,0.3139,0,0.0,0.0
0,197,3.94,approach,0.03164,0.03164,0.03,-35.23,54.59,0.3138,0,0.0,0.0
0,198,3.96,approach,0.03259,0.03259,0.03,-35.85,53.97,0.3136,0,0.0,0.0
0,199,3.98,approach,0.02982,0.02982,0.03,-35.21,54.69,0.3134,0,0.0,0.0
0,200,4.0,approach,0.02782,0.02782,0.03,-34.99,54.95,0.3133,0,0.0,0.0
0,201,4.02,approach,0.0267,0.0267,0.03,-35.01,54.96,0.3132,0,0.0,0.0
0,202,4.04,approach,0.02587,0.02587,0.03,-35.09,54.88,0.3132,0,0.0,0.0
0,203,4.06,approach,0.02648,0.02648,0.03,-35.89,54.05,0.3132,0,0.0,0.0
0,204,4.08,approach,0.02831,0.02831,0.03,-37.25,52.66,0.3132,0,0.0,0.0
0,205,4.1,approach,0.02844,0.02844,0.03,-37.62,52.32,0.3132,0,0.0,0.0
0,206,4.12,approach,0.02861,0.02861,0.03,-38.09,51.87,0.3133,0,0.0,0.0
0,207,4.14,approach,0.0293,0.0293,0.03,-38.86,51.1,0.3134,0,0.0,0.0
0,208,4.16,approach,0.0302,0.0302,0.03,-39.78,50.18,0.3135,0,0.0,0.0
0,209,4.18,approach,0.03175,0.03175,0.03,-40.75,49.22,0.3135,0,0.0,0.0
0,210,4.2,approach,0.0314,0.0314,0.03,-41.08,48.92,0.3135,0,0.0,0.0
0,211,4.22,approach,0.03142,0.03142,0.03,-41.82,48.18,0.3135,0,0.0,0.0
0,212,4.24,approach,0.03068,0.03068,0.03,-42.22,47.68,0.3135,0,0.0,0.0
0,213,4.26,approach,0.02979,0.02979,0.03,-42.44,47.36,0.3135,0,0.0,0.0
0,214,4.28,approach,0.0303,0.0303,0.03,-42.97,46.78,0.3135,0,0.0,0.0
0,215,4.3,approach,0.02956,0.02956,0.03,-43.11,46.61,0.3134,0,0.0,0.0
0,216,4.32,approach,0.02948,0.02948,0.03,-43.47,46.26,0.3134,0,0.0,0.0
0,217,4.34,approach,0.02966,0.02966,0.03,-43.93,45.8,0.3133,0,0.0,0.0
0,218,4.36,approach,0.02883,0.02883,0.03,-44.02,45.68,0.3132,0,0.0,0.0
0,219,4.38,approach,0.02884,0.02884,0.03,-44.51,45.2,0.3131,0,0.0,0.0
0,220,4.4,approach,0.02925,0.02925,0.03,-45.15,44.59,0.313,0,0.0,0.0
0,221,4.42,approach,0.02971,0.02971,0.03,-45.75,44.0,0.313,0,0.0,0.0
0,222,4.44,approach,0.03032,0.03032,0.03,-46.39,43.37,0.3129,0,0.0,0.0
0,223,4.46,approach,0.03082,0.03082,0.03,-46.96,42.8,0.3128,0,0.0,0.0
0,224,4.48,enter,0.03084,0.03084,0.03,-47.37,42.38,0.3126,0,0.0,0.0
0,225,4.5,enter,0.03463,0.03463,0.03,-47.79,41.94,0.3125,0,0.0,0.0
0,226,4.52,enter,0.03495,0.03495,0.03,-47.45,42.23,0.3122,0,0.0,0.0
0,227,4.54,enter,0.03554,0.03554,0.03,-47.47,42.23,0.312,0,0.0,0.0
0,228,4.56,enter,0.03796,0.03796,0.03,-47.93,41.8,0.3118,0,0.0,0.0
0,229,4.58,enter,0.03786,0.03786,0.03,-47.57,42.1,0.3116,0,0.0,0.0
0,230,4.6,enter,0.03745,0.03745,0.03,-47.28,42.39,0.3114,0,0.0,0.0
0,231,4.62,enter,0.03822,0.03822,0.03,-47.27,42.43,0.3113,0,0.0,0.0
0,232,4.64,enter,0.03834,0.03834,0.03,-47.0,42.69,0.3112,0,0.0,0.0
0,233,4.66,enter,0.03784,0.03784,0.03,-46.64,43.04,0.3112,0,0.0,0.0
0,234,4.68,enter,0.03801,0.03801,0.03,-46.51,43.2,0.3112,0,0.0,0.0
0,235,4.7,enter,0.03848,0.03848,0.03,-46.42,43.3,0.3113,0,0.0,0.0
