step,wall_time,Episode_Reward/action_rate,Episode_Reward/alive,Episode_Reward/base_motion,Episode_Reward/failure,Episode_Reward/joint_limits,Episode_Reward/joint_vel,Episode_Reward/reach_coarse,Episode_Reward/reach_fine,Episode_Reward/upright,Episode_Termination/bad_orientation,Episode_Termination/base_contact,Episode_Termination/low_base,Episode_Termination/outside_workspace,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Metrics/ee_position/position_error_m,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
46,1789466987.163,-0.06474051,0.3609997,-0.009888086,-0.004,0,-0.004074024,0.3768433,0.004995841,-0.03340831,0.359375,0,0,0,0.640625,13.37437,1e-05,-0.03587343,0.02368883,0.483602,0.3738937,0.03311777,3773,0.5087518,458.5,9.8585
47,1789466987.562,-0.06474051,0.3609997,-0.009888086,-0.004,0,-0.004074024,0.3768433,0.004995841,-0.03340831,0.359375,0,0,0,0.640625,13.37871,1e-05,-0.03458643,0.02557106,0.483602,0.3620117,0.03294802,3889,0.5089175,458.5,9.8585
48,1789466987.964,-0.06474051,0.3609997,-0.009888086,-0.004,0,-0.004074024,0.3768433,0.004995841,-0.03340831,0.359375,0,0,0,0.640625,13.38526,1e-05,-0.03349879,0.0249838,0.483602,0.3660386,0.03289223,3850,0.5091133,458.5,9.8585
49,1789466988.373,-0.06854906,0.3851249,-0.01070242,-0.004,0,-0.003988638,0.4624873,0.01031958,-0.03540516,0.359375,0,0,0,0.640625,13.3892,1.5e-05,-0.03844029,0.02370558,0.4886736,0.3734207,0.03265095,3782,0.5091255,457.23,9.913219
50,1789466988.805,-0.07455051,0.4267095,-0.0104887,-0.0025,0,-0.00388419,0.652296,0.0210771,-0.03682546,0.3639323,0,0,0,0.6360677,13.38866,1e-05,-0.04284324,0.02406592,0.4410021,0.3939714,0.03412986,3587,0.5091053,454.99,9.902705
51,1789466989.241,-0.06918359,0.396876,-0.008668457,-0.001833333,0,-0.003889428,0.5026842,0.001361019,-0.03046655,0.3665365,0,0,0,0.6334636,13.39026,1e-05,-0.03513485,0.03121946,0.3690519,0.3956463,0.03353238,3578,0.5092219,454.99,9.881099
52,1789466989.697,-0.08592215,0.500002,-0.0098478,0,0,-0.003874563,0.617295,0.001187504,-0.01649388,0.3470052,0,0,0,0.6529948,13.39208,1e-05,-0.04025554,0.03028065,0.1360148,0.4145067,0.036587,3405,0.5091943,454.99,9.864177
53,1789466990.142,-0.08118132,0.4733767,-0.01050143,-0.0005,0,-0.004236691,0.6587624,0.008622853,-0.02909451,0.3320312,0,0,0,0.6679688,13.39412,1e-05,-0.03716335,0.02380587,0.2858753,0.4087901,0.03309035,3476,0.5093582,452.87,9.859674
54,1789466990.557,-0.07645076,0.4360425,-0.01075384,-0.003,0,-0.004335986,0.8386368,0.03047242,-0.03691876,0.3359375,0,0,0,0.6640625,13.40244,1e-05,-0.03929333,0.02348416,0.4886175,0.3782864,0.03379869,3727,0.5096467,449.43,9.953996
55,1789466990.967,-0.08646186,0.500002,-0.01074457,0,0,-0.004123578,1.134872,0.03822296,-0.01851804,0.3079427,0,0,0,0.6920573,13.41048,1e-05,-0.03840006,0.02814304,0.09738301,0.3724544,0.03342795,3784,0.5098102,449.43,10.11423
56,1789466991.376,-0.0870655,0.500002,-0.0109861,0,-1.671827e-05,-0.004018938,1.124068,0.03498956,-0.01981098,0.2799479,0,0,0,0.7200521,13.41394,1e-05,-0.03848385,0.02579967,0.09225494,0.371618,0.03398561,3786,0.5098515,449.43,10.23056
57,1789466991.784,-0.08861051,0.500002,-0.01080347,0,-3.900929e-05,-0.003944087,1.031616,0.03809304,-0.0179477,0.2519531,0,0,0,0.7480469,13.41368,1e-05,-0.03854772,0.02572183,0.1108018,0.3723884,0.03281379,3790,0.5097873,449.43,10.33011
58,1789466992.190,-0.08864719,0.500002,-0.01205013,0,0,-0.00431237,0.4925782,0.002446756,-0.01701376,0.2161458,0,0,0,0.7838542,13.41423,1e-05,-0.03885294,0.02670285,0.1396886,0.3692231,0.03304791,3818,0.5099,449.43,10.39364
59,1789466992.598,-0.08911628,0.500002,-0.01022536,0,0,-0.003869888,0.6695069,0.004969325,-0.01875363,0.2005208,0,0,0,0.7994792,13.41982,1e-05,-0.03530294,0.01980679,0.1928522,0.371542,0.03305602,3796,0.5100934,449.43,10.39472
60,1789466993.001,-0.08921616,0.500002,-0.01055948,0,0,-0.003901808,0.285571,0.001391017,-0.01655571,0.1875,0,0,0,0.8125,13.4261,1e-05,-0.03478227,0.01784645,0.2281099,0.3659627,0.03336716,3846,0.5102427,449.43,10.39472
61,1789466993.404,-0.08802088,0.500002,-0.01086265,0,0,-0.004501757,1.128137,0.04875444,-0.02007627,0.1673177,0,0,0,0.8326823,13.42936,1e-05,-0.0342221,0.01574537,0.1141268,0.3651831,0.03410339,3846,0.5102922,449.43,10.55475
62,1789466993.843,-0.08696467,0.500002,-0.01068602,0,0,-0.004136549,0.8776726,0.0231488,-0.01919952,0.15625,0,0,0,0.84375,13.43173,1e-05,-0.03795309,0.01618224,0.1451689,0.4024508,0.0334065,3524,0.510382,485.5,12.35006
63,1789466994.253,-0.03767039,0.2165008,-0.00825353,-0.002333333,0,-0.001982354,0.5074599,0.03847799,-0.006883143,0.1510417,0,0.01432292,0,0.8346354,13.43517,1e-05,-0.02678096,0.0352971,0.08887811,0.3724427,0.03324986,3786,0.5104842,480.65,12.32899
64,1789466994.654,-0.08691052,0.500002,-0.01037319,0,0,-0.004026618,1.233105,0.1066928,-0.0155478,0.140625,0,0.015625,0,0.84375,13.43775,1e-05,-0.03579696,0.01653321,0.06909303,0.3641133,0.03360152,3862,0.5105326,480.65,12.32899
65,1789466995.059,-0.08649036,0.500002,-0.01088563,0,0,-0.004067316,0.586277,0.03556594,-0.01924857,0.1302083,0,0.015625,0,0.8541667,13.44019,1e-05,-0.03525693,0.01420226,0.1377213,0.3684661,0.03317595,3824,0.5106252,480.65,12.23247
66,1789466995.458,-0.08506885,0.500002,-0.0109915,0,0,-0.003809226,0.8676499,0.003937084,-0.0170988,0.109375,0,0.015625,0,0.875,13.44304,1e-05,-0.03565483,0.01035514,0.07886282,0.3617032,0.03371668,3884,0.5106879,480.65,12.19845
67,1789466995.866,-0.08506885,0.500002,-0.0109915,0,0,-0.003809226,0.8676499,0.003937084,-0.0170988,0.109375,0,0.015625,0,0.875,13.44542,1e-05,-0.0343898,0.01109747,0.07886282,0.3668795,0.03807044,3793,0.510765,480.65,12.19845
68,1789466996.270,-0.08506885,0.500002,-0.0109915,0,0,-0.003809226,0.8676499,0.003937084,-0.0170988,0.109375,0,0.015625,0,0.875,13.44759,1e-05,-0.03480265,0.01274502,0.07886282,0.3659956,0.03436184,3836,0.5108169,480.65,12.19845
69,1789466996.668,-0.08506885,0.500002,-0.0109915,0,0,-0.003809226,0.8676499,0.003937084,-0.0170988,0.109375,0,0.015625,0,0.875,13.44905,1e-05,-0.03709605,0.01161222,0.07886282,0.3620594,0.03307891,3887,0.5108427,480.65,12.19845
70,1789466997.071,-0.08589688,0.500002,-0.01081301,0,0,-0.004128054,0.9319818,0.01801305,-0.01824088,0.09570312,0,0.015625,0,0.8886719,13.45096,1e-05,-0.03479355,0.01567436,0.1430992,0.3672647,0.03271866,3840,0.5109309,480.65,12.23622
71,1789466997.490,-0.08750623,0.500002,-0.01000505,0,-0.0005777702,-0.00434584,1.008179,0.01625798,-0.03037288,0.07096355,0,0.015625,0,0.9134115,13.45538,1e-05,-0.03389317,0.01462245,0.1552963,0.3799183,0.03520608,3700,0.5110823,480.65,12.28689
72,1789466997.897,-0.0860507,0.500002,-0.01180303,0,0,-0.004571435,1.061671,0.01256642,-0.01959451,0.0625,0,0.015625,0,0.921875,13.45993,1e-05,-0.02960588,0.01492437,0.1502667,0.3683896,0.03531003,3804,0.5111917,480.65,12.28718
73,1789466998.304,-0.08840126,0.500002,-0.01138753,0,0,-0.004045041,1.197269,0.05655175,-0.0177182,0.0625,0,0.015625,0,0.921875,13.46322,1e-05,-0.03032799,0.01554862,0.0807915,0.371103,0.03296375,3801,0.5112637,480.65,12.38194
