step,base_height_m,tilt_deg,base_drift_m,leg_joint_dev_rad,arm_joint_dev_rad,leg_torque_nm
176,0.266138,1.22285,0.072767,0.346117,0.0103659,8.66131
177,0.266108,1.21466,0.0729524,0.345959,0.0103707,8.65544
178,0.266089,1.20545,0.0731247,0.345729,0.0103753,8.64843
179,0.266079,1.1955,0.0732826,0.345444,0.0103754,8.63489
180,0.266076,1.18548,0.073425,0.34513,0.0103774,8.632
181,0.266081,1.17536,0.0735512,0.344794,0.0103741,8.62329
182,0.26609,1.16584,0.0736602,0.344456,0.0103691,8.61483
183,0.266103,1.15741,0.0737517,0.344135,0.0103634,8.60704
184,0.266119,1.15012,0.0738251,0.343841,0.0103576,8.60078
185,0.266134,1.14449,0.0738798,0.343593,0.0103511,8.59484
186,0.266149,1.14021,0.0739157,0.343393,0.0103471,8.58977
187,0.266162,1.13746,0.0739321,0.343256,0.0103414,8.58889
188,0.26617,1.1366,0.0739302,0.343197,0.0103363,8.5893
189,0.266173,1.13712,0.0739095,0.343209,0.0103333,8.59058
190,0.266171,1.13901,0.0738714,0.343295,0.0103301,8.59405
191,0.266166,1.14278,0.0738175,0.343444,0.0103279,8.59918
192,0.266159,1.14808,0.0737486,0.343652,0.0103273,8.6053
193,0.266151,1.15471,0.0736659,0.343898,0.0103282,8.61251
194,0.266144,1.16247,0.0735705,0.344174,0.0103308,8.61996
195,0.266141,1.1712,0.0734629,0.344458,0.010335,8.62724
196,0.266142,1.18002,0.0733443,0.344734,0.01034,8.63384
197,0.266148,1.18894,0.0732161,0.344991,0.0103444,8.64
198,0.266159,1.19763,0.0730794,0.345222,0.0103491,8.64524
199,0.266177,1.20626,0.0729356,0.345417,0.0103537,8.6494
200,0.266202,1.21402,0.0727857,0.345572,0.0103578,8.65251
201,0.266232,1.22109,0.0726313,0.345683,0.0103607,8.65443
202,0.266267,1.22749,0.0724736,0.345753,0.0103628,8.6556
203,0.266307,1.23305,0.0723141,0.345785,0.0103636,8.65582
204,0.26635,1.23765,0.0721537,0.345785,0.0103653,8.6551
205,0.266395,1.24159,0.0719941,0.345758,0.0103634,8.65405
206,0.26644,1.24506,0.0718368,0.345713,0.0103603,8.65298
207,0.266486,1.24835,0.071683,0.345667,0.010357,8.65139
208,0.26653,1.25148,0.0715339,0.345621,0.0103529,8.65028
209,0.266571,1.25461,0.0713906,0.345584,0.0103488,8.64949
210,0.266609,1.25788,0.0712542,0.345562,0.0103445,8.64921
211,0.266642,1.26098,0.0711252,0.345557,0.0103424,8.64949
212,0.266671,1.26439,0.0710051,0.345576,0.0103383,8.65043
213,0.266694,1.26749,0.0708945,0.345614,0.0103351,8.65165
214,0.266711,1.27088,0.0707944,0.345675,0.0103314,8.65356
215,0.266724,1.27457,0.0707054,0.345757,0.0103289,8.65564
216,0.266733,1.27825,0.0706278,0.34585,0.0103276,8.65815
217,0.266736,1.28146,0.0705617,0.345947,0.0103281,8.6611
218,0.266734,1.28436,0.0705078,0.34606,0.0103277,8.66387
219,0.266729,1.28694,0.0704666,0.346173,0.0103282,8.66667
220,0.266722,1.28907,0.070438,0.346278,0.0103296,8.66915
221,0.266714,1.29074,0.0704217,0.34637,0.0103314,8.67112
222,0.266706,1.29195,0.0704172,0.346439,0.010333,8.67269
223,0.266699,1.29347,0.0704252,0.34649,0.0103334,8.67317
224,0.266695,1.29483,0.0704456,0.346519,0.0103347,8.67425
225,0.266691,1.29528,0.0704758,0.346518,0.0103373,8.67419
226,0.266687,1.29468,0.0705154,0.346491,0.0103393,8.67183
227,0.266681,1.29301,0.0705642,0.34644,0.010341,8.67061
228,0.266675,1.29028,0.0706217,0.346369,0.0103422,8.66831
229,0.266667,1.28664,0.0706872,0.346278,0.0103426,8.6657
230,0.266659,1.28237,0.0707604,0.346175,0.0103423,8.66282
231,0.266649,1.27763,0.0708403,0.346062,0.0103415,8.65985
232,0.266637,1.27242,0.0709265,0.345948,0.0103405,8.65694
233,0.266624,1.26718,0.0710183,0.345837,0.010339,8.65422
234,0.266608,1.26207,0.0711151,0.345734,0.0103372,8.65177
235,0.266592,1.2571,0.0712162,0.345638,0.0103355,8.64964
236,0.266573,1.25258,0.0713205,0.345557,0.0103341,8.64783
237,0.266554,1.24851,0.0714271,0.345488,0.0103332,8.64632
238,0.266533,1.24474,0.071535,0.34543,0.0103329,8.64512
239,0.266511,1.24112,0.071643,0.345384,0.010333,8.64412
240,0.266489,1.2378,0.0717504,0.345346,0.0103336,8.64338
241,0.266465,1.23448,0.071856,0.345318,0.0103345,8.64282
242,0.266442,1.23131,0.071959,0.345293,0.0103349,8.64231
243,0.266418,1.2278,0.0720582,0.345266,0.0103378,8.64164
244,0.266395,1.22461,0.0721534,0.345247,0.0103389,8.64119
245,0.266373,1.22157,0.0722438,0.345228,0.0103401,8.64073
246,0.266353,1.21853,0.0723288,0.345208,0.0103426,8.64027
247,0.266335,1.21579,0.0724077,0.345187,0.0103434,8.63968
248,0.266319,1.21321,0.0724803,0.345165,0.0103443,8.63909
249,0.266305,1.21095,0.0725458,0.34514,0.0103449,8.6384
250,0.266294,1.20885,0.0726039,0.34511,0.0103458,8.63758
251,0.266285,1.20707,0.0726542,0.345081,0.0103463,8.63636
252,0.26628,1.20561,0.0726961,0.34505,0.0103469,8.63563
253,0.266276,1.20415,0.0727288,0.345016,0.0103476,8.63568
254,0.266274,1.20285,0.0727522,0.344983,0.0103479,8.63438
255,0.266275,1.20203,0.0727673,0.344953,0.0103475,8.63327
256,0.266278,1.20171,0.0727749,0.344928,0.0103469,8.6325
257,0.266283,1.20171,0.0727747,0.344906,0.0103469,8.63278
258,0.266287,1.20154,0.0727658,0.344886,0.0103483,8.63212
259,0.266292,1.20106,0.0727483,0.344871,0.0103482,8.63196
260,0.266296,1.20073,0.0727235,0.344867,0.010347,8.63201
261,0.2663,1.20106,0.0726924,0.344875,0.0103454,8.63238
262,0.266305,1.20187,0.0726556,0.344899,0.0103438,8.63324
263,0.26631,1.20333,0.0726136,0.344935,0.0103429,8.63443
264,0.266316,1.20512,0.0725666,0.344982,0.0103423,8.63577
265,0.266323,1.20756,0.0725149,0.345037,0.0103424,8.63727
266,0.26633,1.20998,0.0724592,0.345094,0.0103426,8.63883
267,0.266337,1.21273,0.0724001,0.345156,0.0103427,8.64044
268,0.266345,1.21547,0.0723385,0.345221,0.010343,8.64207
269,0.266354,1.21836,0.0722749,0.345285,0.0103432,8.64371
270,0.266363,1.22109,0.07221,0.345347,0.0103435,8.64523
271,0.266373,1.22429,0.0721444,0.345409,0.0103437,8.6467
272,0.266384,1.22733,0.0720784,0.345465,0.0103442,8.64798
273,0.266396,1.23035,0.0720126,0.345513,0.0103447,8.6491
274,0.266409,1.23305,0.0719473,0.345554,0.0103451,8.64999
275,0.266422,1.23559,0.0718833,0.345589,0.0103452,8.65077
276,0.266436,1.23796,0.0718209,0.345618,0.0103452,8.65137
277,0.266449,1.24017,0.0717608,0.345642,0.010345,8.65193
278,0.266463,1.24207,0.0717031,0.345662,0.0103447,8.65232
279,0.266476,1.24395,0.0716484,0.345676,0.0103443,8.65259
280,0.266489,1.24553,0.0715969,0.345687,0.0103438,8.65279
281,0.266502,1.2471,0.0715489,0.345696,0.0103432,8.653
282,0.266513,1.24835,0.0715044,0.345701,0.0103427,8.65306
283,0.266525,1.24945,0.0714637,0.345704,0.0103422,8.65307
284,0.266534,1.25039,0.071427,0.345705,0.0103415,8.65304
285,0.266542,1.25117,0.0713948,0.34571,0.0103406,8.65322
286,0.266549,1.25164,0.071367,0.345713,0.0103398,8.65345
287,0.266554,1.25211,0.0713437,0.345716,0.0103392,8.65356
288,0.266558,1.25242,0.071325,0.345722,0.0103388,8.6536
289,0.26656,1.25273,0.071311,0.34573,0.0103383,8.65374
290,0.266562,1.25305,0.0713015,0.345738,0.0103374,8.65403
