step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/arm_torque_margin,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/fixture_force_tracking,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/mech_effort,Episode_Reward/mech_overforce,Episode_Reward/mech_overspeed,Episode_Reward/mech_progress,Episode_Reward/mech_push,Episode_Reward/mech_torn,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_ee_orn_roll,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Mechanism/frontier_opened_ema,Mechanism/frontier_opened_fraction,Mechanism/latch_released_fraction,Mechanism/opened_fraction,Mechanism/opened_hinge,Mechanism/opened_pull,Mechanism/opened_push,Mechanism/opened_side,Mechanism/opened_up,Mechanism/peak_ceiling_n,Mechanism/torn_fraction,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
13020,1790280928.911,-0.3378699,-0.4377032,0.7559981,-0.03305283,-0.3853055,-0.001618485,-0.017,-0.1270522,-0.004630792,-0.03016355,-0.08313942,-0.0009658629,-0.004092,-0.001475898,0.6874215,-0.02151227,-0.002065801,-0.0001535565,-0.02278457,0.07645135,-0.04132629,-0.01478159,-0.007904186,0,-7.86707e-05,0.3044081,0,0,0.3950482,0.1998716,-0.003558123,-0.003009277,0.2850167,0.6704987,0.2779517,0.9006647,0.0008996432,0.0001708594,29.62528,0.004444971,2.499942e-10,0.003412974,0.0001323534,0.01350702,0,0.05,0,0.0001708594,-0.01115745,0.5002691,0.4601746,0.3333333,nan,0.3333333,0,1,0,1,0,40,0,1.327369,1.564888,33988,1.285038,492.65,59.99136
13021,1790280931.772,-0.3564333,-0.4597034,0.7919978,-0.03386334,-0.7082351,-0.002232591,-0.002142857,-0.1284948,-0.005043046,-0.02554788,-0.08162005,-0.0009911326,0,-0.001319881,0.7116872,-0.02306495,0,0,-0.02343069,0.2670943,-0.04510062,-0.01472695,-0.01208966,0,-0.003942347,0.715554,0,0,0.4109289,0.2327636,-0.003701339,-0.003178707,0.3059844,0.7365299,0.3413971,0.9389787,0.0008962962,0.0001708594,29.62679,0.004368248,2.456537e-10,0.003343414,0.0001285384,0.01150411,0,0.05,0,0.0001708594,-0.01786857,0.4342829,0.5714824,0.75,1,0.7142857,0,1,1,0.5,0,40,0,1.297987,1.551332,34500,1.285183,516.47,64.46103
13022,1790280934.641,-0.3744372,-0.4928937,0.8279983,-0.03624047,-0.3402541,-0.001316923,-0.004,-0.1532361,-0.005737487,-0.007744388,-0.104563,-0.001052736,-0.017516,-0.001874524,0.8182623,-0.02198377,-0.01252063,-0.001159451,-0.02336822,0.05709175,-0.04345063,-0.01618416,-0.006869735,0,-0.0005113509,0.3663388,0,0,0.4374356,0.1286037,-0.00431895,-0.003790799,0.3155719,0.7548295,0.3631935,0.9749801,0.0008936495,0.0001708594,29.62626,0.004323603,2.493754e-10,0.003297134,0.0001328197,0.01181527,0,0.05,0,0.0001708594,-0.01342016,0.3705374,0.6674567,1,1,1,1,1,1,1,1,40,0,1.298523,1.559848,34391,1.284961,535.48,67.80281
13023,1790280937.508,-0.3990043,-0.5071108,0.8639991,-0.04229619,-0.4908374,-0.002633338,-0.016,-0.1667864,-0.005761887,-0.01861478,-0.1100123,-0.001093782,-0.014216,-0.001894811,0.8518329,-0.02378253,-0.01115602,-0.001102025,-0.0265313,0.07988819,-0.05137978,-0.01603511,-0.01201071,0,-0.002701395,0.4131919,0,0,0.4476724,0.1504065,-0.004376888,-0.003942258,0.3287503,0.7675174,0.3594337,1.014904,0.000878822,0.0001708594,29.62212,0.004428188,2.497138e-10,0.003316054,0.0002333117,0.01306901,0,0.05,0,0.0001708594,-0.01625299,0.3748424,0.6094967,0.6666667,1,0.6666667,0.5,1,0.5,0.5,0.5,40,0,1.296738,1.558557,34428,1.284798,565.05,68.46628
13024,1790280940.371,-0.4065413,-0.5270683,0.9,-0.04127102,-0.7130769,-0.002406718,-0.003,-0.1531106,-0.00578943,-0.1411369,-0.1005355,-0.001113546,-0.006320002,-0.001568725,0.8530329,-0.02652424,-0.004281782,-0.0002230979,-0.0277609,0.2238414,-0.05524582,-0.01652901,-0.01392797,0,-0.002825392,0.876394,0,0,0.4591076,0.2177626,-0.004352232,-0.003836888,0.3418046,0.8351104,0.3716371,1.063648,0.0009004493,0.0001708594,29.62007,0.004280141,2.498833e-10,0.003242269,0.0001374214,0.0130538,0,0.05,0,0.0001708594,-0.01251824,0.3573094,0.5910963,0.75,1,0.75,1,1,1,0,1,40,0,1.284663,1.559514,34563,1.284511,589.27,73.08405
13025,1790280943.248,-0.4238226,-0.5417488,0.9360008,-0.04202351,-0.8927032,-0.005824838,-0.025,-0.1671537,-0.006416976,-0.05755314,-0.1054886,-0.00115886,0,-0.00189889,0.8629863,-0.02893784,0,0,-0.02971525,0.2156594,-0.08032466,-0.01735761,-0.02074232,0,-0.0001270205,0.7931857,0,0,0.4582756,0.2671436,-0.004394358,-0.003853941,0.3377989,0.7765384,0.3362938,1.107252,0.000900669,0.0001708594,29.6138,0.004250803,2.471601e-10,0.003218629,0.0001315051,0.0120431,0,0.05,0,0.0001708594,-0.01446548,0.3612658,0.5987417,0.6666667,nan,0.6666667,1,1,0.3333333,1,0,40,0,1.307528,1.557001,34317,1.284071,612.85,76.54953
13026,1790280946.131,-0.4488342,-0.5587503,0.9720016,-0.04539627,-0.533777,-0.002162976,-0.05124999,-0.1907878,-0.006448537,-0.02747836,-0.1284201,-0.001236961,-0.022395,-0.00189363,0.9740924,-0.02535862,-0.01367251,-0.001982258,-0.03069344,0.2283944,-0.04598328,-0.01904071,-0.00975126,0,-0.0005668082,0.7058089,0,0,0.5040014,0.1409952,-0.005208812,-0.00470554,0.3727102,0.968609,0.3899684,1.129539,0.0008776712,0.0001708594,29.60674,0.004215832,2.469733e-10,0.003174625,0.0001635353,0.01367943,0,0.05,0,0.0001708594,-0.01248576,0.3080896,0.6505102,1,1,1,1,1,0,1,0,40,0,1.291835,1.579301,34238,1.283586,630.21,77.38451
13027,1790280949.007,-0.4564203,-0.5673015,1.008003,-0.04611221,0,-0.0005622014,-0.01,-0.2126455,-0.007502741,-0.01043335,-0.1506021,-0.0013334,-0.04502001,-0.002790556,1.093107,-0.02646564,-0.03128527,-0.002627207,-0.02809271,0,-0.05388144,-0.01721036,0,0,0,0,0,0,0.5401187,0,-0.005904595,-0.005403848,0.3904179,0.9188125,0.4559608,1.163372,0.0008619333,0.0001708594,29.59909,0.004169624,2.475584e-10,0.003181631,0.0001260601,0.01362429,0,0.05,0,0.0001708594,-0.01241986,0.3124418,0.7511042,1,1,1,1,1,1,1,1,45,0,1.302468,1.562484,34312,1.283048,660.03,84.12581
13028,1790280951.861,-0.4751034,-0.6156738,1.044003,-0.04552804,-1.042067,-0.005236725,-0.025625,-0.1799721,-0.006885828,-0.08302695,-0.1138451,-0.001291811,0,-0.001686756,0.9623548,-0.03252928,0,0,-0.03308636,0.2653088,-0.07647891,-0.01879774,-0.0264667,0,-0.002841382,1.098107,0,0,0.5238105,0.3016868,-0.004853545,-0.004194948,0.3858161,0.8665497,0.4430652,1.232932,0.000876062,0.0001708594,29.58905,0.004108398,2.44025e-10,0.003108444,0.000123892,0.01224746,0,0.05,0,0.0001708594,-0.01281676,0.2945955,0.6670486,0,1,0.5,0.6666667,1,0,0.5,0.3333333,45,0,1.29864,1.543625,34586,1.282249,683.79,85.98862
13029,1790280954.739,-0.4969009,-0.624886,1.080004,-0.051736,-0.9074938,-0.003514424,-0.028,-0.1940137,-0.007475123,-0.08083567,-0.1267841,-0.001339643,-0.01058,-0.001805013,1.032976,-0.03087185,-0.006557661,-0.0001239204,-0.03259414,0.1896919,-0.07053131,-0.01921574,-0.02416984,0,-0.002376585,0.7877299,0,0,0.5540694,0.2505308,-0.005307611,-0.004725789,0.4147952,0.9285531,0.4539457,1.271713,0.0008635245,0.0001139063,29.57728,0.004015763,2.37182e-10,0.003028517,0.0001237219,0.01651839,0.1,0.1,0,0.0001139063,-0.01442616,0.3379251,0.6081301,0.75,1,0.75,0.5,1,1,1,0.5,45,0,1.312048,1.554806,34289,1.281631,706.24,88.50556
