step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/arm_torque_margin,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/fixture_force_tracking,Episode_Reward/fixture_lost,Episode_Reward/fixture_seat,Episode_Reward/fixture_tool_speed,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_ee_orn_roll,Episode_Reward/tracking_lin_vel_force_world,Fixture/force_ceiling_n,Fixture/lost_backed_off_fraction,Fixture/lost_fraction,Fixture/lost_lifted_off_fraction,Fixture/lost_slid_off_fraction,Fixture/mean_error_n,Fixture/press_lost_fraction,Fixture/press_slip_radius_m,Fixture/relative_force_error,Fixture/relative_force_error_ema,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
14502,1790244895.865,-0.2912264,-0.3966274,0.7559981,-0.0294303,-0.1713461,-0.0006458666,-0.005,-0.1173578,-0.00463465,-0.00856358,-0.08168977,-0.000982905,-0.014685,-0.001089653,0.7736764,-0.01784262,-0.01091856,-0.0004752758,-0.02162554,0.09658491,0,-8.607431e-20,-0.04222358,-0.02304441,-0.01451095,0.4017407,0.1125844,-0.00388818,-0.003378538,0.319365,0.7651774,0.3814615,0.8921006,35,0,0,0,0,2.733705,,0.15,0.2057707,0.430007,0.0006249153,0.0001708594,28.27314,0.002247875,2.445629e-14,0.001559272,6.368692e-05,0.01490838,0,0.1,0,0.0001708594,-0.01250812,0.1686168,1.373958,1.539461,33741,1.197426,465.37,53.02071
14503,1790244898.793,-0.284486,-0.3787872,0.7368314,-0.02767396,-0.376475,-0.000386063,-0.002222223,-0.1044382,-0.004543168,-0.03934311,-0.06858592,-0.0009434017,-0.007446667,-0.0009306606,0.7156574,-0.01757153,-0.004934995,-0.0008155608,-0.01957394,0.2461495,-0.01111111,-0.1449345,-0.2499453,-0.02562549,-0.01166584,0.3905163,0.1659851,-0.003572386,-0.002933881,0.3049209,0.7246948,0.3631092,0.8820523,35,0.1428572,0.1428572,0.1428572,0.1428572,4.703103,0.8625001,0.15,0.316598,0.496241,0.0006402004,0.0001139063,28.2534,0.002580781,2.454985e-14,0.001875889,6.469144e-05,0.0143781,0.05,0.05,0,0.0001139063,-0.01251432,0.2097417,1.381103,1.534921,33711,1.196539,469.03,50.79999
14504,1790244901.703,-0.3366066,-0.4202797,0.8279983,-0.0366114,-0.7537813,-0.0004842904,0,-0.1124056,-0.004884455,-0.008348229,-0.07066081,-0.001019723,0,-0.0008791151,0.786802,-0.02153324,0,0,-0.02390879,0.5990579,0,-5.658084e-17,-0.1761245,-0.03337647,-0.01240087,0.4120744,0.2380996,-0.003698975,-0.002936057,0.3193705,0.858713,0.4512282,1.006642,35,0,0,0,0,2.143164,0.8625001,0.15,0.1585523,0.4334573,0.0006428631,0.0001139063,28.24021,0.0023928,2.362417e-14,0.001685602,6.433456e-05,0.01331744,0.05,0.1,0,0.0001139063,-0.01233591,0.2219297,1.347735,1.54997,33924,1.195783,486.99,54.15628
14505,1790244904.609,-0.3385618,-0.455495,0.8639991,-0.03817546,-0.4141954,-0.0004739972,0,-0.1401808,-0.005012331,-0.008818304,-0.09675768,-0.001123428,-0.01706,-0.001122907,0.8721782,-0.0195286,-0.01147639,-0.006070548,-0.02244363,0.08039944,0,-0.1748569,-0.1265636,-0.02980461,-0.01548835,0.4625183,0.1301612,-0.004366185,-0.003817441,0.3514971,0.8192984,0.421358,1.009088,35,0,0,0,1,18.38205,0.8625001,0.15,0.6853148,0.4687693,0.0006357153,0.0001139063,28.22624,0.002332608,2.410533e-14,0.001628908,6.798482e-05,0.01506524,0.05,0.1,0,0.0001139063,-0.01275965,0.1884947,1.355538,1.537976,33973,1.195054,506.79,56.92614
14506,1790244907.524,-0.3436242,-0.4791767,0.9,-0.03353866,-0.2690119,-0.001145181,-0.01,-0.1400133,-0.005809532,-0.1182138,-0.09466116,-0.001175129,-0.01265334,-0.001549222,0.8871366,-0.02056601,-0.01027874,-0.0002062511,-0.02431776,0.09828234,0,-0.2180017,-0.1581258,-0.03650501,-0.01622379,0.4807622,0.163643,-0.004556494,-0.003958391,0.378204,0.8361434,0.4049431,1.062671,35,1,0,0,0,4.67593,0.8625001,0.15,0.6028413,0.4204006,0.0006254003,0.0001139063,28.21752,0.002628321,2.410305e-14,0.001931986,7.093466e-05,0.0118241,0,0.05,0,0.0001139063,-0.01160172,0.3016479,1.349646,1.553714,33858,1.19472,509.06,56.35219
14507,1790244910.550,-0.3612281,-0.4814201,0.9360008,-0.03464375,-0.5277424,-0.0005715096,-0.0007142859,-0.1327868,-0.005823576,-0.02405039,-0.0868936,-0.001215629,-0.01006857,-0.001181626,0.9038754,-0.022023,-0.007183156,-0.0007650254,-0.02338124,0.3164897,0,-0.2376683,-0.3724028,-0.03011411,-0.01560065,0.5027546,0.2078978,-0.004681704,-0.003824679,0.3932241,0.909023,0.4441661,1.126933,35,0.6,0,0,0,4.312886,0.8625001,0.15,0.4564897,0.4188542,0.000628958,7.59375e-05,28.21228,0.002519468,2.523006e-14,0.001806557,8.3953e-05,0.01487113,0.1,0.1,0,7.59375e-05,-0.01077683,0.3173867,1.378037,1.635543,32620,1.194581,535.45,58.24673
14508,1790244913.466,-0.3543011,-0.4772276,0.9032158,-0.03627022,-0.4586874,-0.0008405517,-0.01,-0.1297528,-0.005570557,-0.01702703,-0.08484747,-0.001152574,-0.009231431,-0.001123213,0.8809611,-0.02144314,-0.006715095,-0.0001642771,-0.02468731,0.3067382,-0.01428572,-0.1698128,-0.2935662,-0.03382926,-0.01479888,0.475246,0.2001724,-0.004411152,-0.00371531,0.3816366,0.8596557,0.4224227,1.076219,35,0.4,0.2,0.2,0,3.66032,0.8625001,0.15,0.2671953,0.3909652,0.0006352629,0.0001139063,28.2095,0.002617802,2.475403e-14,0.001894872,8.766748e-05,0.01142966,0,0.1,0,0.0001139063,-0.01319794,0.2528461,1.373101,1.52971,33865,1.19432,551.65,60.39183
14509,1790244916.385,-0.3223268,-0.4447241,0.852002,-0.03295919,-0.2864167,-0.000400971,0,-0.1295729,-0.004993155,-0.01189776,-0.08786353,-0.001112318,-0.015268,-0.001294356,0.8419444,-0.01902572,-0.009892976,-0.001558262,-0.02061765,0.1048034,-0.02,-0.1474656,-0.2944445,-0.02736183,-0.01543329,0.4683952,0.1531912,-0.004235488,-0.003630766,0.3621022,0.8128271,0.3972122,1.00566,35,0.6666667,0.3333333,0.3333333,0,14.72338,0.8625001,0.15,0.7691135,0.416531,0.0006345392,0.0001139063,28.20195,0.002562779,2.372609e-14,0.001855456,7.278333e-05,0.01503724,0.05,0.1,0,0.0001139063,-0.01323001,0.2387581,1.365402,1.54106,33822,1.193949,557.81,61.93231
14510,1790244919.292,-0.401855,-0.5573754,1.044003,-0.04502783,-0.676717,-0.0008117204,0,-0.1481718,-0.006355887,-0.01101751,-0.09554109,-0.001299767,-0.009833336,-0.001125929,1.026273,-0.024458,-0.005942783,-0.0004470387,-0.02957144,0.4592933,0,-0.01606795,-0.1489355,-0.04251635,-0.01512966,0.5345246,0.2376276,-0.004998283,-0.004182194,0.4326013,1.004004,0.50471,1.254335,35,0,0,0,0,4.483293,0.8625001,0.15,0.2381835,0.4939292,0.0006374412,0.0001708594,28.19306,0.002455363,2.376468e-14,0.001727679,9.024292e-05,0.01517239,0,0.1,0,0.0001708594,-0.01320237,0.2006666,1.345796,1.548262,33967,1.193391,599.01,66.9719
14511,1790244922.200,-0.4130058,-0.5621058,1.080004,-0.04474665,0,-0.0003174426,0,-0.2057731,-0.006627032,-0.006246093,-0.1425572,-0.001443672,-0.04319999,-0.00216558,1.202759,-0.02242345,-0.03054146,-0.0003871988,-0.0310575,0,0,0,0,-0.04304069,-0.01829624,0.57921,0,-0.005747476,-0.005495436,0.4494505,1.057579,0.5207337,1.256732,35,0,0.5,0.5,0,4.168353,0.8625001,0.15,0.22664,0.3872699,0.000634371,0.0001708594,28.18229,0.002561181,2.420119e-14,0.001850112,7.669826e-05,0.01468807,0,0.05,0,0.0001708594,-0.01333108,0.2274716,1.358788,1.537191,33944,1.19276,603.73,70.15684
