step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
20,1789879828.921,-0.2216409,-0.2401281,0.6739987,-0.04165984,-0.003972969,-0.1194444,-0.07720603,-0.009784536,-0.0002895662,-0.05463566,-0.0009386499,-0.02173334,-0.0008379614,0.4795615,-0.01777171,-0.02252348,-0.0008658102,-0.02608175,-0.04034615,-0.024237,0.3491612,0.0548177,-0.002636273,-0.001919304,0.1681552,0.5059981,0.5400099,0.004855531,25.56577,0.00893726,0.0008878384,0.001196532,0.001997359,0.0006666667,-0.02403772,0.1202277,0.9510922,1.556259,39206,1.001145,462.27,37.11839
21,1789879831.447,-0.2515936,-0.2777121,0.7754979,-0.04390187,-0.004686601,-0.2257142,-0.08240645,-0.01134686,-9.988658e-05,-0.05736335,-0.001081849,-0.02315143,-0.0006688432,0.5899579,-0.02020622,-0.02333169,0,-0.02898637,-0.04655319,-0.02387992,0.3998224,0.07511923,-0.002976696,-0.002296945,0.2013804,0.4813569,0.6385579,0.004800171,25.52827,0.008526788,0.0007971285,0.001033526,0.001895963,0.0004444444,-0.02813976,0.1344598,0.9655068,1.55402,39016,0.9992051,479.2,38.98068
22,1789879833.949,-0.274692,-0.3094989,0.8279983,-0.05024338,-0.004806054,-0.2066666,-0.09373914,-0.01243848,0,-0.06625749,-0.00115792,-0.02852,-0.00131292,0.5768504,-0.02186807,-0.03005129,0,-0.03127223,-0.04951284,-0.02996519,0.4280599,0.05194731,-0.003153182,-0.002423773,0.2003233,0.5726274,0.7441391,0.004685975,25.50336,0.008213961,0.0007737541,0.0009649362,0.001789296,0.0001975309,-0.0283979,0.1248872,0.9435933,1.551858,39393,0.9981189,513.89,41.96471
23,1789879836.469,-0.2627943,-0.281614,0.8087992,-0.04675518,-0.004741568,-0.1609999,-0.09365528,-0.0114561,-0.0003207224,-0.06647611,-0.001126911,-0.033268,-0.001214723,0.5243402,-0.02106034,-0.03657433,-0.0006964536,-0.03117657,-0.05022483,-0.02817635,0.4181714,0.006634694,-0.003127988,-0.002347878,0.1964165,0.5317975,0.5869333,0.004623162,25.46763,0.007894807,0.0007001241,0.0008359122,0.001735609,0.0004444444,-0.0264727,0.1297058,0.9651737,1.548559,39106,0.994801,518.4,41.41215
24,1789879838.977,-0.2324964,-0.2438042,0.7015001,-0.04473491,-0.003429058,-0.03666667,-0.08386904,-0.01005027,-0.004002781,-0.0588204,-0.0009763983,-0.0253,-0.001171484,0.467117,-0.01778355,-0.02891525,0,-0.02567515,-0.03409995,-0.02609494,0.3686261,0.03008234,-0.002684683,-0.001944693,0.1853034,0.4792615,0.6424837,0.00454361,25.41114,0.007660924,0.0006662676,0.00079103,0.001660016,0.0006666667,-0.02506729,0.1132893,0.9394448,1.555653,39398,0.9922868,524.2,42.63871
25,1789879841.492,-0.3055577,-0.3300797,0.9360008,-0.05529654,-0.004651608,-0.2549999,-0.1049483,-0.01285944,-0.000610537,-0.07197758,-0.001315113,-0.00772,-0.001163055,0.8495525,-0.02478711,-0.008592626,0,-0.03327563,-0.03891084,-0.03715147,0.4856602,0.2201791,-0.003584696,-0.002702398,0.2753702,0.6424968,0.9570937,0.004474335,25.35476,0.007531129,0.0006490354,0.0007616355,0.001646122,0.0004444444,-0.02779312,0.1072739,0.9527957,1.557018,39167,0.9893953,574.93,46.8045
26,1789879844.008,-0.314656,-0.3388915,0.9720016,-0.05806264,-0.00553157,-0.1583333,-0.1074,-0.01428894,0,-0.07569005,-0.001356934,-0.03420667,-0.001134922,0.6670178,-0.02486885,-0.03921088,0,-0.03641185,-0.05318915,-0.03235642,0.5031613,0.03694997,-0.003672697,-0.002820322,0.2286719,0.6912264,0.6421554,0.004428841,25.3166,0.007409079,0.0006150513,0.0007730839,0.001592103,0.0004444444,-0.02694197,0.09197331,0.9471302,1.556141,39270,0.9873356,613.03,49.68106
27,1789879846.519,-0.3299086,-0.3581855,1.008003,-0.05633178,-0.00571973,-0.2316666,-0.1128884,-0.01438597,-0.009502335,-0.07855666,-0.001398638,-0.02698667,-0.001459318,0.7585686,-0.02699411,-0.03087098,0,-0.03862866,-0.05881837,-0.03359645,0.5199225,0.09878366,-0.003856983,-0.002863003,0.2663939,0.6601903,0.8668973,0.00435216,25.26358,0.00719744,0.0005815312,0.0007426456,0.001521103,0.0004444444,-0.02602573,0.1071323,0.9576402,1.546099,39262,0.9844673,623.4,50.12995
28,1789879849.044,-0.2649266,-0.2835541,0.8067023,-0.05003342,-0.004626253,-0.126,-0.09250854,-0.01148282,-0.004222266,-0.06593006,-0.001120393,-0.032608,-0.001372376,0.5389606,-0.02051291,-0.03416909,-0.001581667,-0.03168884,-0.04713137,-0.0297957,0.4166757,0.02218074,-0.003086228,-0.002297369,0.2091832,0.5091212,0.63544,0.004181277,25.22714,0.006861358,0.0005307589,0.0006729937,0.001476328,0.0004444444,-0.0213676,0.1155315,0.9536021,1.55873,39128,0.9818201,651.15,52.94714
29,1789879851.556,-0.3527104,-0.394734,1.080004,-0.06533107,-0.006208026,-0.2499999,-0.1183259,-0.0155669,-0.001028525,-0.08452688,-0.001509186,-0.03828,-0.001336924,0.7714772,-0.02837594,-0.04103206,0,-0.04002089,-0.05950681,-0.03330235,0.5585092,0.05504521,-0.004124275,-0.003120337,0.2805118,0.6796011,0.6666638,0.004132759,25.1516,0.006754856,0.0005071994,0.0006549295,0.001459969,0.0001975309,-0.02717549,0.08094198,0.9458385,1.559135,39243,0.9779068,681.45,54.94427
