step,base_height_m,tilt_deg,base_drift_m,leg_joint_dev_rad,arm_joint_dev_rad,leg_torque_nm,arm_contact_n
151,0.266937,1.56903,0.0705976,0.347296,0.0104435,8.69093,0
152,0.267001,1.56822,0.0704577,0.347025,0.0104467,8.6812,0
153,0.267072,1.56343,0.0703546,0.346604,0.0104449,8.66745,0
154,0.267146,1.55591,0.0702886,0.346093,0.0104373,8.65285,0
155,0.267219,1.5462,0.0702591,0.345524,0.0104267,8.63808,0
156,0.267286,1.53533,0.0702653,0.344934,0.0104141,8.62218,0
157,0.267344,1.52374,0.0703063,0.344355,0.0103997,8.6084,0
158,0.267389,1.51184,0.0703807,0.343819,0.0103854,8.59573,0
159,0.267419,1.49998,0.0704861,0.343349,0.0103716,8.58529,0
160,0.26743,1.48828,0.0706216,0.342958,0.0103595,8.57684,0
161,0.267424,1.47733,0.0707855,0.342663,0.0103473,8.57131,0
162,0.2674,1.46756,0.0709768,0.342466,0.0103375,8.56834,0
163,0.26736,1.45905,0.0711935,0.342363,0.0103306,8.56749,0
164,0.267304,1.45167,0.0714333,0.342351,0.0103272,8.56886,0
165,0.267234,1.44522,0.0716935,0.342417,0.0103253,8.57203,0
166,0.267152,1.43952,0.071972,0.342546,0.0103263,8.57613,0
167,0.267062,1.43421,0.072266,0.342718,0.0103301,8.57984,0
168,0.266966,1.4288,0.0725725,0.342907,0.0103369,8.5864,0
169,0.266868,1.42291,0.072889,0.343098,0.0103459,8.59084,0
170,0.266769,1.41633,0.0732128,0.343268,0.0103548,8.59497,0
171,0.266673,1.40876,0.0735419,0.3434,0.0103647,8.59733,0
172,0.266582,1.39996,0.073873,0.343466,0.0103747,8.59645,0
173,0.266499,1.39009,0.0742035,0.34348,0.0103842,8.59724,0
174,0.266423,1.37878,0.0745313,0.343423,0.0103944,8.59434,0
175,0.266357,1.36643,0.0748534,0.343291,0.010401,8.59005,0
176,0.266301,1.35311,0.075168,0.343096,0.0104079,8.58349,0
177,0.266254,1.33902,0.0754726,0.342841,0.0104109,8.57577,0
178,0.266215,1.32445,0.0757647,0.342542,0.0104122,8.56748,0
179,0.266183,1.30983,0.0760427,0.342201,0.0104134,8.55693,0
180,0.266157,1.29531,0.076304,0.341854,0.0104128,8.54951,0
181,0.266136,1.28125,0.0765474,0.341501,0.0104102,8.54056,0
182,0.266118,1.26809,0.0767708,0.341159,0.0104079,8.53218,0
183,0.266102,1.25586,0.0769732,0.34084,0.0104037,8.5245,0
184,0.266089,1.24479,0.0771534,0.340547,0.0104008,8.51794,0
185,0.266077,1.23521,0.0773101,0.340293,0.0103972,8.51228,0
186,0.266066,1.22725,0.0774429,0.340087,0.010395,8.5075,0
187,0.266055,1.22088,0.0775506,0.339932,0.0103911,8.5049,0
188,0.266044,1.21647,0.077634,0.339836,0.0103877,8.50398,0
189,0.266031,1.21386,0.0776922,0.339803,0.0103848,8.50426,0
190,0.266017,1.21299,0.0777258,0.339832,0.0103826,8.50326,0
191,0.266003,1.21395,0.0777351,0.339919,0.0103816,8.50962,0
192,0.26599,1.21691,0.0777211,0.340057,0.0103815,8.51334,0
193,0.26598,1.22124,0.0776836,0.340231,0.0103833,8.51853,0
