step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
20,1789986380.007,-0.2466736,-0.2672851,0.7539982,-0.04610172,-0.004091227,-0.1005555,-0.08700205,-0.01099717,-0.007180134,-0.0611362,-0.001052525,-0.01791111,-0.001107026,0.5660783,-0.01995797,-0.02089031,-0.0008726591,-0.0284926,-0.04600964,-0.02828041,0.3920497,0.09068964,-0.002910752,-0.002100945,0.1949389,0.493768,0.6388592,0.00511545,0.0006666667,25.47868,0.00894762,0.0006356714,0.0009914467,0.002205052,0.01276244,0,0.1,0,0.0006666667,-0.02579464,0.1099673,0.9660482,1.590598,38450,0.9961205,452.3,36.94648
21,1789986382.509,-0.2340759,-0.2591675,0.7361231,-0.04137877,-0.00445494,-0.160625,-0.07927865,-0.01076524,0,-0.05557454,-0.001025582,-0.0236275,-0.0008218714,0.5407194,-0.0195165,-0.02533054,-0.001206421,-0.02776068,-0.04544486,-0.02527269,0.3803142,0.05458785,-0.002854615,-0.002112359,0.1905365,0.46979,0.5741071,0.004978789,0.0001975309,25.4382,0.008733641,0.0006342494,0.0009613456,0.002159257,0.01617926,0.2,0.1,0,0.0001975309,-0.02730793,0.1138089,0.9518471,1.538398,39475,0.9938247,464.6,37.55261
22,1789986385.068,-0.2014914,-0.2308743,0.6269989,-0.03575798,-0.004110892,-0.145,-0.06854205,-0.009087919,0,-0.04792774,-0.0008753825,-0.01993333,-0.0007142547,0.4425336,-0.01600156,-0.02203633,-0.0009732781,-0.02506715,-0.04236714,-0.02231,0.3217677,0.04404522,-0.002473493,-0.001802708,0.1695347,0.4282998,0.5993614,0.004883099,0.0004444444,25.41136,0.008330263,0.0005665706,0.0007906216,0.002089972,0.009862885,0,0.15,0,0.0004444444,-0.02330559,0.1115764,0.9617102,1.590482,38517,0.9922631,486.9,38.98858
23,1789986387.622,-0.267086,-0.2871484,0.8127489,-0.05032019,-0.004330294,-0.05083334,-0.09571447,-0.01171903,-0.001321689,-0.06703244,-0.001135553,-0.02819334,-0.001521519,0.576559,-0.02193907,-0.0316649,-0.002124139,-0.03059752,-0.04662247,-0.02742558,0.4243702,0.04801351,-0.003170471,-0.002237043,0.1940911,0.5896878,0.6055154,0.004829888,0.0004444444,25.35178,0.008083588,0.0005329323,0.0006875853,0.002033182,0.01348703,0.05,0.1,0,0.0004444444,-0.02729831,0.09590179,0.9539232,1.594328,38577,0.9883372,529.26,42.40485
24,1789986390.185,-0.288285,-0.3119213,0.9,-0.05718651,-0.004964919,-0.1387499,-0.09687152,-0.01310569,0,-0.06924638,-0.001257686,-0.03089001,-0.001172527,0.6414886,-0.02358895,-0.03363077,0,-0.03288873,-0.05231353,-0.03055155,0.468178,0.0549359,-0.003418368,-0.002541208,0.2426088,0.6256098,0.7318186,0.00471226,0.0006666667,25.29517,0.007842341,0.0005201293,0.0006612984,0.001948654,0.01292626,0,0.1,0,0.0006666667,-0.02652792,0.1081383,0.966445,1.589295,38464,0.9854712,550.56,44.19572
25,1789986392.734,-0.3085927,-0.331885,0.9360008,-0.06142647,-0.005467722,-0.2949998,-0.1018143,-0.01354322,0,-0.07237309,-0.001309205,-0.02116,-0.001026103,0.7176015,-0.02466789,-0.02435588,0,-0.03500178,-0.05166635,-0.03434895,0.481876,0.1100534,-0.003571715,-0.002773971,0.260094,0.681652,0.9052679,0.004685364,0.0001975309,25.24076,0.007701082,0.0005203063,0.0006465233,0.001848889,0.01665238,0.2,0.1,0,0.0001975309,-0.02819935,0.1040872,0.9620328,1.580508,38663,0.9831793,579.62,46.11348
26,1789986395.303,-0.3112006,-0.3363253,0.9720016,-0.05351652,-0.005803104,-0.125,-0.09628341,-0.01361521,0,-0.06853642,-0.001362153,-0.03822,-0.0009495432,0.6366844,-0.02486842,-0.04494413,0,-0.03532138,-0.05444805,-0.03136694,0.5022066,0,-0.003663662,-0.002846812,0.2437115,0.6574401,0.6175721,0.004599537,0.0004444444,25.21439,0.007414563,0.000469976,0.000562461,0.001782589,0.009802002,0,0.15,0,0.0004444444,-0.02463582,0.1000407,0.9652109,1.598274,38347,0.981331,621.6,51.1696
27,1789986397.851,-0.3288267,-0.3538955,1.008003,-0.06263016,-0.006272288,-0.2699999,-0.1131233,-0.01434974,-0.007660936,-0.08061041,-0.001405882,-0.02593334,-0.001420641,0.8140361,-0.02583797,-0.02527513,-0.0003120272,-0.03828385,-0.05708883,-0.03697946,0.5162507,0.1339032,-0.003896502,-0.002946348,0.2598026,0.6733167,0.9449843,0.004553485,0.0001975309,25.15635,0.007281263,0.0004423693,0.0005478719,0.001737537,0.01324403,0.15,0.1,0,0.0001975309,-0.02953464,0.0917681,0.9554384,1.578772,38790,0.9783276,638.32,52.16062
28,1789986400.431,-0.3388152,-0.3560774,1.044003,-0.06745889,-0.006538494,-0.1733333,-0.1150341,-0.01458886,-0.001348585,-0.08126226,-0.001447559,-0.03843333,-0.001434957,0.7259685,-0.02866652,-0.04337866,0,-0.04007689,-0.07166445,-0.03476322,0.5386304,0.03629563,-0.004024827,-0.003054592,0.2749935,0.7195745,0.807147,0.004353642,0.0004444444,25.11241,0.006997286,0.000433361,0.0005392977,0.001670986,0.009814856,0,0.15,0,0.0004444444,-0.02542082,0.073799,0.9907899,1.58246,38202,0.9751574,668.97,53.68738
29,1789986403.008,-0.3477668,-0.3798972,1.080004,-0.06333143,-0.006470632,-0.1483333,-0.1136992,-0.0156223,-0.000278068,-0.08158694,-0.001502951,-0.03534668,-0.00125403,0.7874019,-0.02975236,-0.03940625,0,-0.03962233,-0.06919129,-0.03237012,0.5594315,0.0735516,-0.004067544,-0.003039379,0.2848447,0.6462042,0.8519766,0.004308268,0.0002962963,25.03836,0.006934576,0.0004315948,0.0005381717,0.001656541,0.01432951,0.1,0.1,0,0.0002962963,-0.02976329,0.0912837,0.9732554,1.597376,38241,0.9719723,688.39,55.70715
