attempt,step,time_s,phase,jaw_centre_error_m,tip_goal_error_m,jaw_command_m,approach_elevation_deg,jaw_tilt_deg,base_height_m,fell,cup_lift_m,cup_tilt_deg
0,88,1.76,stand,0.21675,0.21675,0.03,-25.62,4.39,0.3298,0,0.0,0.0
0,89,1.78,stand,0.21628,0.21628,0.03,-25.46,4.37,0.3299,0,0.0,0.0
0,90,1.8,stand,0.21576,0.21576,0.03,-25.28,4.34,0.33,0,0.0,0.0
0,91,1.82,stand,0.21521,0.21521,0.03,-25.11,4.3,0.3301,0,0.0,0.0
0,92,1.84,stand,0.21461,0.21461,0.03,-24.92,4.25,0.3301,0,0.0,0.0
0,93,1.86,stand,0.21393,0.21393,0.03,-24.71,4.19,0.3301,0,0.0,0.0
0,94,1.88,stand,0.21327,0.21327,0.03,-24.52,4.13,0.3301,0,0.0,0.0
0,95,1.9,stand,0.21279,0.21279,0.03,-24.38,4.07,0.33,0,0.0,0.0
0,96,1.92,stand,0.2125,0.2125,0.03,-24.28,3.99,0.33,0,0.0,0.0
0,97,1.94,stand,0.21233,0.21233,0.03,-24.19,3.91,0.33,0,0.0,0.0
0,98,1.96,stand,0.21219,0.21219,0.03,-24.11,3.83,0.3299,0,0.0,0.0
0,99,1.98,stand,0.21213,0.21213,0.03,-24.06,3.75,0.3299,0,0.0,0.0
0,100,2.0,stand,0.21213,0.21213,0.03,-24.03,3.67,0.3298,0,0.0,0.0
0,101,2.02,stand,0.21234,0.21234,0.03,-24.04,3.6,0.3298,0,0.0,0.0
0,102,2.04,stand,0.21267,0.21267,0.03,-24.08,3.54,0.3297,0,0.0,0.0
0,103,2.06,stand,0.21317,0.21317,0.03,-24.14,3.48,0.3297,0,0.0,0.0
0,104,2.08,stand,0.21361,0.21361,0.03,-24.2,3.42,0.3296,0,0.0,0.0
0,105,2.1,stand,0.21396,0.21396,0.03,-24.23,3.35,0.3296,0,0.0,0.0
0,106,2.12,stand,0.21416,0.21416,0.03,-24.22,3.28,0.3295,0,0.0,0.0
0,107,2.14,stand,0.21429,0.21429,0.03,-24.2,3.21,0.3295,0,0.0,0.0
0,108,2.16,stand,0.21443,0.21443,0.03,-24.19,3.13,0.3294,0,0.0,0.0
0,109,2.18,stand,0.21463,0.21463,0.03,-24.19,3.05,0.3293,0,0.0,0.0
0,110,2.2,stand,0.21495,0.21495,0.03,-24.22,2.98,0.3293,0,0.0,0.0
0,111,2.22,stand,0.21541,0.21541,0.03,-24.29,2.9,0.3292,0,0.0,0.0
0,112,2.24,stand,0.21599,0.21599,0.03,-24.38,2.83,0.3292,0,0.0,0.0
0,113,2.26,stand,0.21658,0.21658,0.03,-24.47,2.76,0.3291,0,0.0,0.0
0,114,2.28,stand,0.21712,0.21712,0.03,-24.54,2.69,0.329,0,0.0,0.0
0,115,2.3,stand,0.21762,0.21762,0.03,-24.62,2.61,0.329,0,0.0,0.0
0,116,2.32,stand,0.21811,0.21811,0.03,-24.69,2.55,0.3289,0,0.0,0.0
0,117,2.34,stand,0.21861,0.21861,0.03,-24.78,2.48,0.3289,0,0.0,0.0
0,118,2.36,stand,0.21912,0.21912,0.03,-24.86,2.41,0.3289,0,0.0,0.0
0,119,2.38,stand,0.21961,0.21961,0.03,-24.95,2.35,0.3288,0,0.0,0.0
