attempt,step,time_s,phase,jaw_centre_error_m,lateral_error_m,along_error_m,tip_goal_error_m,jaw_command_m,approach_elevation_deg,jaw_tilt_deg,base_height_m,base_shift_m,base_yaw_deg,base_forward_m,base_left_m,base_roll_deg,base_pitch_deg,arm_speed_rad_s,finger_contact_n,forearm_contact_n,fell,door_deg,handle_deg,claw_engaged,claw_force_n,force_cmd_n,bar_along_m,bar_depth_m,bar_across_m,bar_tilt_deg
0,2,0.04,spawn,0.03196,0.03085,0.00835,0.03196,0.0018,-3.83,1.35,0.3464,0.0028,0.177,-0.0028,-0.0003,-1.3,-0.16,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0346,0.2318,-0.0021,88.4429
1,2,0.04,spawn,0.03196,0.03085,0.00835,0.03196,0.0018,-3.83,1.35,0.3464,0.0028,0.177,-0.0028,-0.0003,-1.3,-0.16,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1029,0.2024,0.0004,89.4914
2,2,0.04,spawn,0.03196,0.03085,0.00835,0.03196,0.0018,-3.83,1.35,0.3464,0.0028,0.177,-0.0028,-0.0003,-1.3,-0.16,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0201,0.2359,0.0001,89.8248
3,2,0.04,spawn,0.03195,0.03085,0.00835,0.03195,0.0018,-3.83,1.35,0.3464,0.0028,0.177,-0.0028,-0.0003,-1.3,-0.16,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0266,0.22,-0.001,89.0452
4,2,0.04,spawn,0.03195,0.03084,0.00835,0.03195,0.0018,-3.83,1.35,0.3464,0.0028,0.177,-0.0028,-0.0003,-1.3,-0.16,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.2074,0.2132,-0.0997,79.783
5,2,0.04,spawn,0.03196,0.03085,0.00835,0.03196,0.0018,-3.83,1.35,0.3464,0.0028,0.177,-0.0028,-0.0003,-1.3,-0.16,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1851,0.2211,-0.0757,89.8666
6,2,0.04,spawn,0.03196,0.03085,0.00835,0.03196,0.0018,-3.83,1.35,0.3464,0.0028,0.177,-0.0028,-0.0003,-1.3,-0.16,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.183,0.2216,-0.0748,21.5555
7,2,0.04,spawn,0.03195,0.03084,0.00835,0.03195,0.0018,-3.83,1.35,0.3464,0.0028,0.177,-0.0028,-0.0003,-1.3,-0.16,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,-0.0055,0.2494,0.0036,88.8426
8,2,0.04,spawn,0.03196,0.03085,0.00835,0.03196,0.0018,-3.83,1.35,0.3464,0.0028,0.176,-0.0028,-0.0003,-1.3,-0.16,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0994,0.1996,0.0017,85.1667
9,2,0.04,spawn,0.03196,0.03085,0.00835,0.03196,0.0018,-3.83,1.35,0.3464,0.0028,0.176,-0.0028,-0.0003,-1.3,-0.16,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1174,0.2008,-0.0114,89.3157
10,2,0.04,spawn,0.03196,0.03085,0.00835,0.03196,0.0018,-3.83,1.35,0.3464,0.0028,0.176,-0.0028,-0.0003,-1.3,-0.16,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1474,0.1986,-0.0401,83.3232
11,2,0.04,spawn,0.03196,0.03085,0.00835,0.03196,0.0018,-3.83,1.35,0.3464,0.0028,0.176,-0.0028,-0.0003,-1.3,-0.16,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1266,0.2084,-0.0193,80.0842
12,2,0.04,spawn,0.03196,0.03085,0.00835,0.03196,0.0018,-3.83,1.35,0.3464,0.0028,0.176,-0.0028,-0.0003,-1.3,-0.16,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0962,0.2298,-0.0004,89.5425
13,2,0.04,spawn,0.03196,0.03085,0.00835,0.03196,0.0018,-3.83,1.35,0.3464,0.0028,0.176,-0.0028,-0.0003,-1.3,-0.16,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,-0.0021,0.2564,-0.0014,88.0473
14,2,0.04,spawn,0.03196,0.03085,0.00835,0.03196,0.0018,-3.83,1.35,0.3464,0.0028,0.176,-0.0028,-0.0003,-1.3,-0.16,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1506,0.1976,-0.0431,89.6077
15,2,0.04,spawn,0.03196,0.03085,0.00835,0.03196,0.0018,-3.83,1.35,0.3464,0.0028,0.176,-0.0028,-0.0003,-1.3,-0.16,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,-0.0053,0.2577,0.0033,88.7752
0,3,0.06,spawn,0.03798,0.03617,0.01159,0.03798,0.0024,-3.42,1.76,0.3447,0.0037,0.236,-0.0037,-0.0003,-1.76,-0.34,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0313,0.2285,-0.0007,89.4537
1,3,0.06,spawn,0.03798,0.03617,0.01159,0.03798,0.0024,-3.42,1.76,0.3447,0.0037,0.236,-0.0037,-0.0003,-1.76,-0.34,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0999,0.1982,0.0014,88.0038
2,3,0.06,spawn,0.03798,0.03617,0.01159,0.03798,0.0024,-3.42,1.76,0.3447,0.0037,0.236,-0.0037,-0.0003,-1.76,-0.34,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0168,0.232,0.0012,88.4079
3,3,0.06,spawn,0.03798,0.03617,0.01159,0.03798,0.0024,-3.42,1.76,0.3447,0.0037,0.236,-0.0037,-0.0003,-1.76,-0.34,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0235,0.2163,0.0002,89.7957
4,3,0.06,spawn,0.03798,0.03617,0.01159,0.03798,0.0024,-3.42,1.76,0.3447,0.0037,0.236,-0.0037,-0.0003,-1.76,-0.34,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.2043,0.2093,-0.0957,77.2076
5,3,0.06,spawn,0.03798,0.03617,0.01159,0.03798,0.0024,-3.42,1.76,0.3447,0.0037,0.236,-0.0037,-0.0003,-1.76,-0.34,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1823,0.2169,-0.0716,88.4593
6,3,0.06,spawn,0.03798,0.03617,0.01159,0.03798,0.0024,-3.42,1.76,0.3447,0.0037,0.236,-0.0037,-0.0003,-1.76,-0.34,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1796,0.2174,-0.0708,3.1991
7,3,0.06,spawn,0.03798,0.03617,0.01159,0.03798,0.0024,-3.42,1.76,0.3447,0.0037,0.236,-0.0037,-0.0003,-1.76,-0.34,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,-0.009,0.2443,0.0079,89.9534
8,3,0.06,spawn,0.03799,0.03617,0.0116,0.03799,0.0024,-3.42,1.76,0.3447,0.0037,0.236,-0.0037,-0.0003,-1.76,-0.34,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0964,0.195,0.0026,82.968
9,3,0.06,spawn,0.03798,0.03617,0.0116,0.03798,0.0024,-3.42,1.76,0.3447,0.0037,0.236,-0.0037,-0.0003,-1.76,-0.34,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1146,0.1959,-0.0076,87.7915
10,3,0.06,spawn,0.03798,0.03617,0.0116,0.03798,0.0024,-3.42,1.76,0.3447,0.0037,0.236,-0.0037,-0.0003,-1.76,-0.34,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1445,0.194,-0.0363,80.9334
11,3,0.06,spawn,0.03799,0.03617,0.01159,0.03799,0.0024,-3.42,1.76,0.3447,0.0037,0.236,-0.0037,-0.0003,-1.76,-0.34,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1235,0.2036,-0.0153,77.516
12,3,0.06,spawn,0.03798,0.03617,0.0116,0.03798,0.0024,-3.42,1.76,0.3447,0.0037,0.236,-0.0037,-0.0003,-1.76,-0.34,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.093,0.226,0.0007,89.1818
