step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
20,1789943291.628,-0.2328645,-0.2705762,0.7559981,-0.04297136,-0.00441067,-0.18,-0.08074339,-0.01125288,0,-0.05724479,-0.001059172,-0.03006,-0.0004756086,0.4906,-0.01998704,-0.03508226,0,-0.02718239,-0.04315072,-0.02599895,0.3914942,0,-0.002888526,-0.002140601,0.1964673,0.6362988,0.5653562,0.004387311,25.49508,0.006442071,0.000166658,0.0001591875,0.001728914,0.0129677,0,0.15,0.0002562891,-0.02857668,0.1849322,1.360146,0.5191393,13077,0.9973502,431.21,34.86499
21,1789943294.911,-0.2545558,-0.2754645,0.7919978,-0.0463264,-0.00414437,-0.16,-0.08309492,-0.01138485,-0.0001816619,-0.05972083,-0.001107371,-0.01726,-0.0007877749,0.6120508,-0.02136254,-0.02203345,0,-0.02773589,-0.03949443,-0.02495446,0.4097748,0.09286299,-0.003053315,-0.00227863,0.2024368,0.5303645,0.6638271,0.004348007,25.4911,0.006348974,0.0001666306,0.0001639496,0.001670387,0.01776717,0.4,0.1,2.25e-05,-0.03145074,0.1590813,2.758615,0.5140507,7509,0.9973004,458.18,36.64006
22,1789943297.964,-0.159905,-0.1783685,0.5152491,-0.03072806,-0.002788533,-0.005,-0.06016031,-0.007517239,0,-0.04260099,-0.0007176243,-0.01629,-0.001136248,0.3779253,-0.01314024,-0.01623076,-0.002294373,-0.02022948,-0.02533651,-0.02744668,0.2693716,0.05497607,-0.002032113,-0.001416015,0.1254881,0.3671024,0.4685055,0.004387282,25.48977,0.006188958,0.0001526335,0.0001535475,0.001495495,0.01045309,0,0.25,0.0001708594,-0.02237576,0.2095796,1.806627,1.198806,8177,0.99714,473.19,38.62306
23,1789943300.212,-0.2850462,-0.3115229,0.8639991,-0.05754099,-0.005027928,-0.08500002,-0.1000798,-0.01264358,-0.0001680756,-0.07107505,-0.001205524,-0.0374,-0.001380843,0.5384001,-0.02435516,-0.04046207,0,-0.02959182,-0.04662633,-0.04339231,0.4500704,0,-0.003237799,-0.002493487,0.1920908,0.6389302,0.3544165,0.004279691,25.48084,0.006019467,0.0001468893,0.0001506515,0.001442236,0.01726856,0.5,0.1,1e-05,-0.03221585,0.1539365,1.693739,0.5267892,11067,0.9965296,495.66,40.12504
24,1789943303.387,-0.2886524,-0.2989782,0.9,-0.05280955,-0.005642171,-0.2799999,-0.1049194,-0.01311186,0,-0.0722418,-0.001257069,0,-0.0009696754,0.8743525,-0.02254144,0,0,-0.03236022,-0.04320032,-0.03321006,0.458058,0.2620248,-0.003355346,-0.002598524,0.2610705,0.5501787,0.9383909,0.0041748,25.47449,0.005835494,0.0001372931,0.0001398603,0.00138354,0.009889925,0,0.35,0.0001708594,-0.01789789,0.1544579,2.691946,0.4711738,7769,0.9961873,511.64,41.38943
25,1789943305.263,-0.3022037,-0.3158697,0.9360008,-0.05796921,-0.005287222,-0.1924999,-0.1032603,-0.01372333,-0.0006431259,-0.07439516,-0.001313206,-0.03184,-0.0009844168,0.6295259,-0.0237467,-0.03920826,0,-0.03275329,-0.04292344,-0.03040787,0.4852114,0.02750726,-0.003519513,-0.002652059,0.2514026,0.574887,0.8944958,0.004149021,25.463,0.005711006,0.0001330173,0.0001424096,0.001286558,0.01688626,0.35,0.1,2.25e-05,-0.02791495,0.1496507,1.354672,0.5009534,13244,0.9955192,529.35,43.10359
26,1789943308.474,-0.3223071,-0.3430564,0.9705016,-0.06398379,-0.00438301,-0.03,-0.1187842,-0.01430941,-0.002019921,-0.08285775,-0.001348255,-0.01608,-0.001779588,0.7720522,-0.02413941,-0.01870925,0,-0.03437266,-0.04724851,-0.02796175,0.5067888,0.1765446,-0.003633873,-0.002589198,0.2218754,0.710604,0.871534,0.004172966,25.45019,0.005706738,0.0001314871,0.0001384593,0.001263826,0.01232703,0.15,0.3,7.59375e-05,-0.02772751,0.1498126,2.719653,0.477787,7686,0.9944974,558.49,45.23147
27,1789943311.808,-0.3272423,-0.3654425,1.008003,-0.05902318,-0.00625569,-0.3574998,-0.1125065,-0.01484871,-0.01025186,-0.07804568,-0.001403998,-0.03285,-0.0008319629,0.7248762,-0.02660192,-0.03408901,-0.0003774398,-0.03769701,-0.05691428,-0.03351725,0.5146884,0.06129679,-0.003845304,-0.003078342,0.2552463,0.6966355,0.8104604,0.004041643,25.43812,0.005559141,0.0001285437,0.0001364554,0.001252499,0.01385186,0.05,0.15,0.0001708594,-0.02598367,0.1745482,2.859065,0.4650776,7393,0.9944586,599.23,49.56324
28,1789943313.638,-0.3428582,-0.360392,1.044003,-0.06666356,-0.005386475,-0.155,-0.1213382,-0.01485225,-0.001460877,-0.08601017,-0.001454675,-0.01316,-0.002210989,0.8772034,-0.02758787,-0.01247133,0,-0.03871239,-0.05265785,-0.03686082,0.5410429,0.2206369,-0.003957925,-0.002937603,0.272436,0.6907927,0.8851012,0.004157374,25.44088,0.005633624,0.000131528,0.0001366946,0.001208027,0.01592365,0.45,0.1,1e-05,-0.03450414,0.122312,1.306014,0.5148904,13496,0.9945972,619.08,51.41609
29,1789943316.814,-0.3533415,-0.3713333,1.080004,-0.07565595,-0.005018176,-0.015,-0.1275899,-0.01574944,-0.0003315389,-0.092374,-0.001492348,-0.0173,-0.001961571,0.932354,-0.02860979,-0.01624148,0,-0.03751361,-0.05324891,-0.04343316,0.5591449,0.2195862,-0.004089441,-0.002919256,0.2457598,0.7740473,1.05384,0.004022387,25.43893,0.005480255,0.0001285202,0.0001329106,0.001196437,0.009979518,0,0.35,0.0001708594,-0.01878742,0.1831392,2.703401,0.4622777,7763,0.9940861,646.35,53.44039
