attempt,step,time_s,phase,jaw_centre_error_m,lateral_error_m,along_error_m,tip_goal_error_m,jaw_command_m,approach_elevation_deg,jaw_tilt_deg,base_height_m,base_shift_m,base_yaw_deg,base_forward_m,base_left_m,base_roll_deg,base_pitch_deg,arm_speed_rad_s,finger_contact_n,forearm_contact_n,fell,door_deg,handle_deg,claw_engaged,claw_force_n,force_cmd_n,bar_along_m,bar_depth_m,bar_across_m,bar_tilt_deg
9,2,0.04,spawn,0.03196,0.03085,0.00835,0.03196,0.0018,-3.83,1.35,0.3464,0.0028,0.176,-0.0028,-0.0003,-1.3,-0.16,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1182,0.2072,-0.0104,54.6349
10,2,0.04,spawn,0.03196,0.03085,0.00835,0.03196,0.0018,-3.83,1.35,0.3464,0.0028,0.176,-0.0028,-0.0003,-1.3,-0.16,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1498,0.2051,-0.0401,76.3176
11,2,0.04,spawn,0.03196,0.03085,0.00835,0.03196,0.0018,-3.83,1.35,0.3464,0.0028,0.176,-0.0028,-0.0003,-1.3,-0.16,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1293,0.2149,-0.0195,78.1259
12,2,0.04,spawn,0.03196,0.03085,0.00835,0.03196,0.0018,-3.83,1.35,0.3464,0.0028,0.176,-0.0028,-0.0003,-1.3,-0.16,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.0976,0.2337,0.002,82.7039
13,2,0.04,spawn,0.03196,0.03085,0.00835,0.03196,0.0018,-3.83,1.35,0.3464,0.0028,0.176,-0.0028,-0.0003,-1.3,-0.16,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.0119,0.2338,-0.0002,89.7296
14,2,0.04,spawn,0.03196,0.03085,0.00835,0.03196,0.0018,-3.83,1.35,0.3464,0.0028,0.176,-0.0028,-0.0003,-1.3,-0.16,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1497,0.204,-0.0419,67.6057
15,2,0.04,spawn,0.03196,0.03085,0.00835,0.03196,0.0018,-3.83,1.35,0.3464,0.0028,0.176,-0.0028,-0.0003,-1.3,-0.16,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.0051,0.237,0.0011,87.7202
0,3,0.06,spawn,0.03798,0.03617,0.01159,0.03798,0.0024,-3.42,1.76,0.3447,0.0037,0.236,-0.0037,-0.0003,-1.76,-0.34,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.0391,0.2147,0.0016,87.4717
1,3,0.06,spawn,0.03798,0.03617,0.01159,0.03798,0.0024,-3.42,1.76,0.3447,0.0037,0.236,-0.0037,-0.0003,-1.76,-0.34,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.101,0.2033,0.0035,62.4924
2,3,0.06,spawn,0.03798,0.03617,0.01159,0.03798,0.0024,-3.42,1.76,0.3447,0.0037,0.236,-0.0037,-0.0003,-1.76,-0.34,1.73,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.0222,0.2154,0.0033,71.1239
