step,tip_err_l1_m,tip_err_x_m,tip_err_y_m,tip_err_z_m,base_z_m,force_cmd_n,force_meas_n,force_est_n
209,0.84812,0.17120,0.14417,0.53276,0.23854,0.0000,0.0000,5.0818
210,0.85145,0.16793,0.14785,0.53567,0.23851,0.0000,0.0000,5.0820
211,0.85450,0.16454,0.15147,0.53850,0.23845,0.0000,0.0000,5.0837
212,0.85734,0.16107,0.15500,0.54126,0.23839,0.0000,0.0000,5.0846
213,0.85993,0.15753,0.15843,0.54397,0.23832,0.0000,0.0000,5.0858
214,0.86228,0.15392,0.16171,0.54664,0.23825,0.0000,0.0000,5.0859
215,0.86448,0.15026,0.16494,0.54927,0.23818,0.0000,0.0000,5.0808
216,0.86647,0.14656,0.16803,0.55187,0.23812,0.0000,0.0000,5.0811
217,0.86823,0.14277,0.17103,0.55443,0.23805,0.0000,0.0000,5.0738
218,0.86997,0.13901,0.17399,0.55697,0.23801,0.0000,0.0000,5.0682
219,0.87144,0.13514,0.17683,0.55947,0.23796,0.0000,0.0000,5.0560
220,0.87304,0.13138,0.17971,0.56196,0.23794,0.0000,0.0000,5.0482
221,0.87445,0.12754,0.18247,0.56444,0.23794,0.0000,0.0000,5.0402
222,0.87603,0.12386,0.18522,0.56695,0.23795,0.0000,0.0000,5.0292
223,0.87730,0.12016,0.18763,0.56951,0.23801,0.0000,0.0000,5.0194
224,0.87838,0.11645,0.18983,0.57210,0.23810,0.0000,0.0000,5.0101
225,0.87936,0.11274,0.19194,0.57468,0.23819,0.0000,0.0000,5.0039
226,0.88026,0.10901,0.19403,0.57722,0.23828,0.0000,0.0000,4.9955
227,0.88097,0.10521,0.19606,0.57970,0.23836,0.0000,0.0000,4.9875
228,0.88152,0.10137,0.19805,0.58211,0.23842,0.0000,0.0000,4.9827
229,0.88190,0.09747,0.19996,0.58446,0.23848,0.0000,0.0000,4.9782
230,0.88227,0.09358,0.20192,0.58677,0.23852,0.0000,0.0000,4.9712
231,0.88259,0.09073,0.20342,0.58844,0.23855,0.0000,0.0000,4.9679
232,0.88293,0.09087,0.20357,0.58849,0.23855,0.0000,0.0000,4.9707
233,0.88323,0.09094,0.20382,0.58847,0.23853,0.0000,0.0000,4.9853
234,0.88343,0.09093,0.20411,0.58839,0.23848,0.0000,0.0000,5.0019
235,0.88353,0.09087,0.20439,0.58827,0.23841,0.0000,0.0000,5.0176
236,0.88351,0.09075,0.20463,0.58813,0.23834,0.0000,0.0000,5.0341
237,0.88350,0.09065,0.20487,0.58798,0.23827,0.0000,0.0000,5.0492
238,0.88333,0.09049,0.20502,0.58783,0.23820,0.0000,0.0000,5.0640
239,0.88313,0.09031,0.20515,0.58767,0.23813,0.0000,0.0000,5.0742
240,0.88289,0.09014,0.20523,0.58752,0.23806,0.0000,0.0000,5.0825
241,0.88259,0.08994,0.20526,0.58738,0.23801,0.0000,0.0000,5.0874
242,0.88237,0.08980,0.20530,0.58727,0.23797,0.0000,0.0000,5.0924
243,0.88205,0.08961,0.20526,0.58718,0.23794,0.0000,0.0000,5.0970
244,0.88200,0.08956,0.20533,0.58711,0.23793,0.0000,0.0000,5.1014
245,0.88208,0.08956,0.20545,0.58708,0.23793,0.0000,0.0000,5.1080
246,0.88240,0.08974,0.20550,0.58715,0.23798,0.0000,0.0000,5.1071
247,0.88250,0.08991,0.20527,0.58732,0.23805,0.0000,0.0000,5.1093
248,0.88256,0.09010,0.20493,0.58753,0.23814,0.0000,0.0000,5.1134
249,0.88273,0.09032,0.20464,0.58776,0.23824,0.0000,0.0000,5.1408
250,0.88289,0.09053,0.20440,0.58796,0.23832,0.0000,0.0000,5.0338
251,0.88295,0.09067,0.20413,0.58815,0.23839,0.0000,0.0000,5.1113
252,0.88301,0.09080,0.20390,0.58832,0.23845,0.0000,0.0000,5.0828
253,0.88313,0.09094,0.20372,0.58848,0.23850,0.0000,0.0000,4.9712
254,0.88325,0.09106,0.20357,0.58862,0.23854,0.0000,0.0000,5.0339
