step,wall_time,Episode_Reward/action_rate,Episode_Reward/alive,Episode_Reward/base_height,Episode_Reward/base_motion,Episode_Reward/failure,Episode_Reward/joint_limits,Episode_Reward/joint_vel,Episode_Reward/reach_coarse,Episode_Reward/reach_fine,Episode_Reward/upright,Episode_Termination/bad_orientation,Episode_Termination/base_contact,Episode_Termination/low_base,Episode_Termination/outside_workspace,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Metrics/ee_position/position_error_m,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
42,1789554878.633,-0.09671451,0.500002,-0.04470865,-0.004223136,0,0,-0.003831702,1.459659,0.1367198,-0.02336539,0.03383382,0,0,0,0.9661662,15.07206,0.0008649756,-0.008603454,0.00597625,0.06433648,0.4540024,0.03815126,99871,0.5610995,500,18.56736
43,1789554879.133,-0.09569967,0.500002,-0.04382555,-0.004201605,0,0,-0.003751836,1.471312,0.1181835,-0.02395003,0.02748617,0,0,0,0.9725139,15.06807,0.0008649756,-0.009177933,0.005603872,0.06775226,0.4585378,0.03800941,98987,0.5612047,500,18.71825
44,1789554879.637,-0.09624375,0.500002,-0.04335115,-0.004058892,0,0,-0.003785562,1.527162,0.1527316,-0.02283928,0.02042643,0,0,0,0.9795736,15.08005,0.0008649756,-0.009416059,0.005440491,0.06169473,0.4622378,0.0379591,98265,0.5616977,500,18.92286
45,1789554880.136,-0.09742519,0.500002,-0.04252432,-0.00393231,0,0,-0.003648213,1.5548,0.1550544,-0.0238719,0.01318359,0,0,0,0.9868164,15.08245,0.0008649756,-0.008631623,0.005428485,0.05150936,0.455735,0.0394702,99255,0.5617259,500,19.20639
46,1789554880.634,-0.09650275,0.500002,-0.04568968,-0.004309755,0,0,-0.003737911,1.528886,0.1480527,-0.02367157,0.007263184,0,0,0,0.9927368,15.09586,0.001297463,-0.008912023,0.005227733,0.04343909,0.4565217,0.03830123,99332,0.5630497,500,19.39944
47,1789554881.125,-0.09744056,0.500002,-0.04554564,-0.004037418,0,0,-0.003721512,1.523783,0.1415399,-0.02443014,0.004048666,0,0,0,0.9959514,15.1412,0.0008649756,-0.008643675,0.005120693,0.05180634,0.448338,0.03823853,101015,0.5641237,500,19.50823
48,1789554881.606,-0.09492787,0.500002,-0.05128343,-0.003704635,0,0,-0.003894649,1.526673,0.1517002,-0.02650299,0.002685547,0,0,0,0.9973145,15.15989,0.0008649756,-0.009358921,0.005588018,0.04983079,0.4401181,0.03822231,102755,0.5649568,500,19.49762
49,1789554882.094,-0.09697976,0.500002,-0.0426532,-0.004397713,0,0,-0.003733921,1.550025,0.1504331,-0.0226968,0.0018514,0,0,0,0.9981486,15.17854,0.001297463,-0.007993299,0.004806273,0.05303415,0.4462793,0.03839016,101413,0.5654156,500,19.52395
50,1789554882.604,-0.0978639,0.500002,-0.04120158,-0.004360379,0,0,-0.003723985,1.609398,0.1836495,-0.023147,0.001159668,0,0,0,0.9988403,15.18938,0.001297463,-0.007281289,0.004892149,0.0666343,0.4659526,0.04011106,97126,0.5660424,500,19.54609
51,1789554883.119,-0.09824922,0.500002,-0.04149593,-0.004085257,0,0,-0.003669245,1.643878,0.21655,-0.02307074,0.0009358724,0,0,0,0.9990641,15.1946,0.0008649756,-0.007191309,0.004641745,0.0680626,0.4697759,0.03832054,96737,0.5661948,500,19.68407
52,1789554883.604,-0.0987979,0.500002,-0.03873865,-0.003982899,0,0,-0.003559912,1.631984,0.2272681,-0.02266674,0.0004882812,0,0,0,0.9995117,15.1895,0.0008649756,-0.008362587,0.005591615,0.04893457,0.4426186,0.0385325,102155,0.5660298,500,19.78169
53,1789554884.114,-0.09925334,0.500002,-0.04377586,-0.004038695,0,0,-0.003909766,1.638213,0.2128407,-0.02325084,0.0004272461,0,0,0,0.9995728,15.18836,0.001297463,-0.00674584,0.004418632,0.05541703,0.4681461,0.03892875,96932,0.5667274,500,20.252
54,1789554884.640,-0.09968602,0.500002,-0.04242027,-0.003890205,0,0,-0.003860574,1.642819,0.2196687,-0.02394594,0,0,0,0,1,15.21681,0.0008649756,-0.007870667,0.004313949,0.05837544,0.4837625,0.03830123,94149,0.5677457,500,21.23553
55,1789554885.166,-0.09929723,0.500002,-0.04112175,-0.003877556,0,0,-0.003850358,1.658105,0.2272282,-0.02311249,0,0,0,0,1,15.2212,0.001297463,-0.007694039,0.004205436,0.045496,0.4830298,0.03843093,94258,0.5678462,500,22.13759
56,1789554885.692,-0.09982382,0.500002,-0.04049063,-0.003902896,0,0,-0.00385959,1.671496,0.2400568,-0.02291171,0,0,0,0,1,15.22469,0.0003844336,-0.007054742,0.004102389,0.0502361,0.4836583,0.03825712,94176,0.5681577,500,22.36313
57,1789554886.218,-0.09997823,0.500002,-0.03981153,-0.00381149,0,0,-0.003816321,1.683901,0.2522014,-0.02280806,0,0,0,0,1,15.23565,0.0008649756,-0.008693532,0.004445069,0.04608197,0.4826381,0.03971887,94096,0.5688056,500,22.66814
58,1789554886.747,-0.1003961,0.500002,-0.03942838,-0.003779405,0,0,-0.003848898,1.693173,0.2591558,-0.02284337,0,0,0,0,1,15.24249,0.0008649756,-0.007211726,0.003643184,0.04680965,0.4855812,0.03952742,93603,0.5690745,500,22.91755
59,1789554887.272,-0.1006151,0.500002,-0.03785545,-0.00380593,0,0,-0.003882658,1.704603,0.2694632,-0.02231761,0,0,0,0,1,15.24816,0.001297463,-0.006432722,0.004183541,0.04310061,0.4820511,0.03901267,94330,0.5697541,500,23.07212
60,1789554887.798,-0.1010679,0.500002,-0.03833064,-0.003776485,0,0,-0.003834231,1.713876,0.2802426,-0.02250649,0,0,0,0,1,15.25287,0.0008649756,-0.007257848,0.003381244,0.04608689,0.4839747,0.03817868,94133,0.5696155,500,23.23767
61,1789554888.323,-0.101185,0.500002,-0.03640697,-0.003718202,0,0,-0.003833888,1.717876,0.2882203,-0.02172294,0,0,0,0,1,15.24386,0.001297463,-0.006540995,0.003798952,0.04727722,0.4824548,0.03847146,94355,0.5700521,500,23.3044
62,1789554888.836,-0.1016519,0.500002,-0.03717405,-0.003781041,0,0,-0.003814087,1.728632,0.290809,-0.02231388,0,0,0,0,1,15.255,0.0003844336,-0.005677951,0.003329551,0.03586153,0.4712105,0.0382874,96471,0.5704084,500,23.60055
63,1789554889.331,-0.1004066,0.500002,-0.03468466,-0.003908091,0,0,-0.00402563,1.748179,0.3196327,-0.02150722,0,0,0,0,1,15.24886,0.0008649756,-0.008121988,0.003759888,0.03516793,0.452682,0.03836536,100096,0.5703536,500,23.65202
64,1789554889.835,-0.1006819,0.500002,-0.03251495,-0.003749931,0,0,-0.003855511,1.744353,0.3082395,-0.02086337,0,0,0,0,1,15.24811,0.0008649756,-0.006842879,0.00540775,0.0484271,0.4615059,0.03808355,98384,0.5705743,500,23.63501
65,1789554890.342,-0.1018599,0.500002,-0.03495258,-0.003752457,0,0,-0.003883982,1.734784,0.30588,-0.02130112,0,0,0,0,1,15.25342,0.0008649756,-0.007782105,0.004982131,0.05232581,0.4660044,0.03808951,97505,0.5711299,500,23.649
66,1789554890.841,-0.1018512,0.500002,-0.03141314,-0.00367609,0,0,-0.003879542,1.749596,0.3242379,-0.0214463,0,0,0,0,1,15.27759,0.0008649756,-0.007280821,0.004665222,0.03495119,0.4561982,0.03814673,99428,0.5722077,500,23.71825
