step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/arm_torque_margin,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/mech_effort,Episode_Reward/mech_overspeed,Episode_Reward/mech_progress,Episode_Reward/mech_push,Episode_Reward/mech_torn,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_ee_orn_roll,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Mechanism/frontier_opened_ema,Mechanism/frontier_opened_fraction,Mechanism/latch_released_fraction,Mechanism/opened_fraction,Mechanism/opened_hinge,Mechanism/opened_pull,Mechanism/opened_push,Mechanism/opened_side,Mechanism/opened_up,Mechanism/peak_ceiling_n,Mechanism/torn_fraction,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
15020,1790262616.402,-0.09439361,-0.1348238,0.7559981,-0.01945318,-0.5775142,-0.002722299,0,-0.02396204,-0.006261236,0,-0.01746312,-0.0008662638,0,-0.0001279036,0.876377,-0.0110397,0,0,-0.02344561,-0.02810124,-0.006707424,-0.007542273,-0.01045083,0.8010361,0.02221768,0,0.3964853,0.2234259,-0.002741451,-0.001417869,0.3782943,0.8885576,0.2947795,0.9547215,0.0002682222,3.375e-05,17.0176,0.001729006,2.633957e-13,0.00143169,2.909368e-05,0.01005587,0,0.05,0,3.375e-05,-0.005643545,0.214146,0.4883428,1,1,1,1,1,1,0.5,0,50,0,1.217566,1.507276,36076,0.6323169,475.87,75.81116
15021,1790262619.166,-0.0961472,-0.1347808,0.7919978,-0.01951482,-0.6881828,-0.008130053,-0.105,-0.02578825,-0.006221156,-0.03748528,-0.01946997,-0.0008882051,0,-0.0002378865,0.9294698,-0.01163842,0,0,-0.03009782,-0.07801005,-0.008420489,-0.02935152,-0.0003583936,0.6457675,0.02514536,0,0.3803247,0.2236958,-0.003016674,-0.001572993,0.3827406,0.9027781,0.2103573,0.9914478,0.0002591558,5.0625e-05,17.02783,0.001609939,2.374512e-13,0.001322754,2.802925e-05,0.01069295,0,0.1,0,5.0625e-05,-0.005381402,0.1871698,0.4118154,0,1,0.3333333,0,0,0,1,0,50,0,1.221742,1.531762,35701,0.6326777,501.99,79.00622
15022,1790262621.920,-0.1029652,-0.1403686,0.8279983,-0.0197126,-0.6231475,-0.003672623,0,-0.02533882,-0.006819902,-0.0007161397,-0.01825982,-0.0009529082,0,-0.000186807,0.9629539,-0.01220468,0,0,-0.02934465,-0.06598695,-0.006882439,-0.01933589,-0.0003245207,0.7155971,0.008040967,0,0.4267343,0.2425783,-0.002967103,-0.001394331,0.408072,0.9682094,0.2273637,1.057482,0.000253173,3.375e-05,17.03882,0.001614318,2.176261e-13,0.001334405,2.674012e-05,0.01263814,0.1,0.1,0,3.375e-05,-0.005316398,0.2108682,0.4022896,1,nan,1,1,0.5,1,0,0,50,0,1.207805,1.534211,35850,0.6330479,524.43,82.61436
15023,1790262624.651,-0.1065762,-0.1456449,0.8639991,-0.0221292,-0.7522265,-0.006927344,-0.125,-0.02893437,-0.006948852,-0.02674519,-0.02014153,-0.0009706793,0,-0.0001922473,1.000165,-0.01243352,0,0,-0.03028365,-0.06483498,-0.006743669,-0.01621255,-0.004413295,0.3957044,0.07437059,0,0.4294661,0.2484432,-0.003245544,-0.001824691,0.4195082,0.8657449,0.2832329,1.091778,0.0002418991,3.375e-05,17.04768,0.001567286,1.921328e-13,0.001299978,2.54087e-05,0.008835675,0,0.05,0,3.375e-05,-0.007656367,0.1461809,0.4305862,0.5,0.75,0.4,0.4,1,0,0.5,0,50,0,1.206629,1.512276,36155,0.6332859,549.54,87.17715
15024,1790262627.391,-0.1123921,-0.1597714,0.9,-0.03068281,-0.7361834,-0.007874064,-0.1483333,-0.02891196,-0.006859807,-0.01366657,-0.02284176,-0.001026603,0,-0.0001571198,1.082356,-0.01455687,0,0,-0.02980307,-0.08816301,-0.00906257,-0.04073466,-0.0100653,0.6592981,0.06362687,0,0.4331095,0.254605,-0.003556801,-0.001983282,0.4366907,1.00793,0.3332666,1.111798,0.0002305083,2.25e-05,17.05445,0.00152316,1.695214e-13,0.001267265,2.538735e-05,0.01139872,0.1,0.1,0,2.25e-05,-0.002648069,0.2154222,0.4677618,0.6666667,0.5,0.6666667,1,1,0,1,0,50,0,1.224386,1.504032,36029,0.6335299,567.26,90.71463
15025,1790262630.154,-0.1226016,-0.1607951,0.9360008,-0.02589813,-0.3837724,-0.005807456,-0.0675,-0.05260451,-0.00673466,-0.07705702,-0.0396779,-0.0011168,-0.01458,-0.0006464246,1.101107,-0.01386104,-0.01742558,0,-0.02951965,-0.0657867,-0.01069438,-0.02079582,-0.01432471,0.4840783,0.01157801,0,0.4706272,0.1328737,-0.003568189,-0.002526085,0.4558129,0.9657662,0.330605,1.105754,0.0002257401,3.375e-05,17.06157,0.001489723,1.540418e-13,0.001239773,2.421047e-05,0.009540511,0,0.1,0,3.375e-05,-0.006149798,0.1463526,0.3494205,0,1,1,0,1,0,0,0,50,0,1.212474,1.539746,35718,0.6337736,601.53,95.34679
15026,1790262632.893,-0.1191483,-0.1612468,0.9720016,-0.02378723,-0.9008028,-0.008794786,-0.0675,-0.0306692,-0.007493015,-0.006402166,-0.02114462,-0.001082251,0,-9.915493e-05,1.150083,-0.0135,0,0,-0.0330053,-0.06755379,-0.00733645,-0.0158441,-1.728046e-05,0.8718712,0.01990186,0,0.4734372,0.2766636,-0.003647334,-0.002021108,0.4786844,1.125122,0.2495181,1.238771,0.0002263004,3.375e-05,17.06747,0.001471659,1.430475e-13,0.001221408,2.395019e-05,0.008679104,0,0.05,0,3.375e-05,-0.008331814,0.08520548,0.3747395,0,0.5,0,0,1,0,0,0,50,0,1.19126,1.535539,36051,0.6339322,635.48,99.8527
15027,1790262635.666,-0.1310996,-0.1730444,1.008003,-0.0307464,-0.5759747,-0.00739542,-0.09899997,-0.04870765,-0.007305942,-0.02948155,-0.03704146,-0.001173407,-0.008808002,-0.0003765997,1.204129,-0.01501205,-0.0116749,-0.0003620502,-0.03286252,-0.09584127,-0.01081286,-0.03418776,-0.01886322,0.669011,0.01349024,0,0.4908482,0.1897923,-0.003938384,-0.002352871,0.4806449,1.072561,0.3154767,1.203326,0.0002160086,2.25e-05,17.07186,0.001426028,1.306892e-13,0.001186625,2.339388e-05,0.01130794,0.1,0.1,0,2.25e-05,-0.004138791,0.1664069,0.4529116,0.5,0.5,0.3333333,1,1,0,0,0,50,0,1.217274,1.543873,35602,0.6340747,650.85,104.4113
15028,1790262638.434,-0.1276366,-0.1747129,1.044003,-0.02193371,-1.014664,-0.007977357,-0.0925,-0.03303368,-0.007665226,-0.02450583,-0.02347357,-0.001173635,0,-0.0002351645,1.206434,-0.01427021,0,0,-0.03747728,-0.0701171,-0.007462749,-0.03097343,-0.002468486,1.228769,0.04738974,0,0.514491,0.2989313,-0.004024209,-0.002179062,0.5067559,1.252967,0.3754161,1.314514,0.0002163403,3.375e-05,17.07697,0.001420327,1.238647e-13,0.001180264,2.372258e-05,0.01029283,0,0.1,0,3.375e-05,-0.004833618,0.1359013,0.4577195,0.5,nan,0.5,0.6666667,1,0,0,1,50,0,1.217501,1.537972,35675,0.6342477,671.63,107.4377
15029,1790262641.196,-0.1403966,-0.1914322,1.078504,-0.02753867,-0.5157675,-0.004985241,-0.055,-0.06344301,-0.007301346,-0.01989559,-0.04884548,-0.001275133,-0.01866001,-0.0009266864,1.24691,-0.0163715,-0.01802213,0,-0.03653864,-0.06758599,-0.01344625,-0.03510138,-0.04084291,0.5222802,0.0725299,0,0.5531272,0.1556012,-0.004242295,-0.002780708,0.5257212,1.06774,0.2925315,1.284946,0.0002110517,3.375e-05,17.08184,0.001410045,1.137175e-13,0.001175344,2.364945e-05,0.008259309,0,0.05,0,3.375e-05,-0.006786071,0.1226104,0.3958859,0.25,1,1,1,1,0,0,0.3333333,50,0,1.21306,1.538048,35732,0.6344017,700.1,113.2392
