step,wall_time,Episode_Reward/action_rate,Episode_Reward/alive,Episode_Reward/base_angular_motion,Episode_Reward/base_height,Episode_Reward/base_motion,Episode_Reward/failure,Episode_Reward/joint_limits,Episode_Reward/joint_vel,Episode_Reward/reach_coarse,Episode_Reward/reach_fine,Episode_Reward/upright,Episode_Termination/bad_orientation,Episode_Termination/base_contact,Episode_Termination/low_base,Episode_Termination/outside_workspace,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Metrics/ee_position/position_error_m,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
34,1789608528.188,-0.689903,0.500002,-0.1512339,-0.03930669,-0.003914395,0,0,-0.002240357,1.561912,0.1957463,-0.01950005,0.07594808,0,0,0,0.9240519,10.861,0.0008649756,-0.01051572,0.006361623,0.05196605,0.4992337,0.03891277,91335,0.441888,500,13.11582
35,1789608528.726,-0.6740509,0.500002,-0.1398397,-0.03667253,-0.003696363,0,0,-0.002117231,1.600714,0.1998515,-0.01823773,0.06333415,0,0,0,0.9366659,10.7472,0.0008649756,-0.01071264,0.006295429,0.04968264,0.4952302,0.03925252,91961,0.4391803,500,13.69368
36,1789608529.269,-0.6687459,0.500002,-0.1409461,-0.03615752,-0.003627852,0,0,-0.002108673,1.608702,0.2049501,-0.01874245,0.04899089,0,0,0,0.9510092,10.63464,0.0008649756,-0.01006587,0.006217483,0.04087023,0.4995182,0.03875756,91313,0.4365622,500,14.10361
37,1789608529.810,-0.6642498,0.500002,-0.1429577,-0.03381297,-0.003563061,0,0,-0.002068149,1.64315,0.2309654,-0.01761389,0.0368042,0,0,0,0.9631958,10.505,0.001297463,-0.009587504,0.006551446,0.04422229,0.4977813,0.03926945,91522,0.4333408,500,14.49152
38,1789608530.349,-0.651625,0.500002,-0.1318713,-0.03567981,-0.003524422,0,0,-0.002095195,1.652296,0.2400697,-0.01898056,0.02555339,0,0,0,0.9744467,10.40129,0.0005766504,-0.008223039,0.007034424,0.04540693,0.4951301,0.03899002,92024,0.4311296,500,14.82435
39,1789608530.890,-0.6515408,0.500002,-0.1365599,-0.03551985,-0.003632139,0,0,-0.002054701,1.667416,0.2529899,-0.01825402,0.01340739,0,0,0,0.9865927,10.275,0.0005766504,-0.009187345,0.005848465,0.04395824,0.4988723,0.03889966,91399,0.4281692,500,15.17844
40,1789608531.418,-0.6384501,0.500002,-0.135377,-0.03470263,-0.003653886,0,0,-0.00204209,1.68095,0.2732618,-0.01923208,0.003519694,0,0,0,0.9964803,10.17478,0.0008649756,-0.009130705,0.006168616,0.04296669,0.4844038,0.03930283,93854,0.4259399,500,15.44969
41,1789608531.936,-0.6372804,0.500002,-0.1268349,-0.03203341,-0.003548678,0,0,-0.001999528,1.687715,0.2757187,-0.01750764,0.0003662109,0,0,0,0.9996338,10.10505,0.0002562891,-0.004469598,0.01759834,0.03786181,0.4753036,0.03886127,95595,0.424736,500,16.58146
42,1789608532.439,-0.6314415,0.500002,-0.1253764,-0.03304176,-0.003513315,0,0,-0.002000492,1.696989,0.2789174,-0.01776846,0,0,0,0,1,10.02768,0.0005766504,-0.00854973,0.006356996,0.0416259,0.4600604,0.03901434,98486,0.4226326,500,16.58146
43,1789608532.942,-0.6314415,0.500002,-0.1253764,-0.03304176,-0.003513315,0,0,-0.002000492,1.696989,0.2789174,-0.01776846,0,0,0,0,1,9.936474,0.0005766504,-0.008877872,0.004354281,0.0416259,0.4605558,0.03900242,98390,0.4202566,500,16.58146
44,1789608533.450,-0.6314415,0.500002,-0.1253764,-0.03304176,-0.003513315,0,0,-0.002000492,1.696989,0.2789174,-0.01776846,0,0,0,0,1,9.793643,0.0008649756,-0.009910577,0.004269958,0.0416259,0.4658718,0.03865552,97421,0.4166871,500,16.58146
45,1789608533.955,-0.6314415,0.500002,-0.1253764,-0.03304176,-0.003513315,0,0,-0.002000492,1.696989,0.2789174,-0.01776846,0,0,0,0,1,9.66898,0.0005766504,-0.006891688,0.006178538,0.0416259,0.4624686,0.03869128,98076,0.4143806,500,16.58146
46,1789608534.465,-0.6314415,0.500002,-0.1253764,-0.03304176,-0.003513315,0,0,-0.002000492,1.696989,0.2789174,-0.01776846,0,0,0,0,1,9.565694,0.0005766504,-0.01048865,0.004156949,0.0416259,0.4681058,0.0389607,96934,0.4121714,500,16.58146
47,1789608534.973,-0.6314415,0.500002,-0.1253764,-0.03304176,-0.003513315,0,0,-0.002000492,1.696989,0.2789174,-0.01776846,0,0,0,0,1,9.452475,0.0008649756,-0.00834746,0.004724814,0.0416259,0.4652851,0.03904796,97459,0.4092408,500,16.58146
48,1789608535.485,-0.5915424,0.500002,-0.1191107,-0.02265087,-0.003697948,0,0,-0.001931855,1.744922,0.3119008,-0.01486355,0,0,0,0,1,9.336405,0.0005766504,-0.008106227,0.00445234,0.03521356,0.468853,0.03934789,96717,0.4069956,500,16.63706
49,1789608535.999,-0.5733641,0.500002,-0.108948,-0.02879037,-0.003149034,0,0,-0.001866795,1.776587,0.3607177,-0.0191147,0,0,0,0,1,9.222466,0.0005766504,-0.008666649,0.004029973,0.04841801,0.4710972,0.03877544,96400,0.4043071,500,16.67636
50,1789608536.519,-0.5705375,0.500002,-0.1083045,-0.03609061,-0.003315068,0,0,-0.001831676,1.777263,0.3592339,-0.01650469,0,0,0,0,1,9.092773,0.0008649756,-0.008799067,0.004697809,0.05086527,0.4756365,0.04050469,95229,0.4012738,500,16.78925
51,1789608537.050,-0.5618586,0.500002,-0.1086568,-0.02734034,-0.003371713,0,0,-0.001840035,1.786259,0.3779912,-0.01686803,0,0,0,0,1,8.980236,0.0005766504,-0.009072119,0.003770076,0.03730327,0.4841163,0.03981423,93813,0.3992069,500,17.1064
52,1789608537.578,-0.5519713,0.500002,-0.1055257,-0.02498458,-0.003396521,0,0,-0.001821134,1.787966,0.3837404,-0.01668964,0,0,0,0,1,8.854142,0.0008649756,-0.00856979,0.003539856,0.03126312,0.4837377,0.03986049,93873,0.3957794,500,17.38755
53,1789608538.118,-0.5457653,0.500002,-0.1070152,-0.02767508,-0.003415169,0,0,-0.001787434,1.80307,0.404247,-0.01769711,0,0,0,0,1,8.709906,0.0005766504,-0.008834587,0.00334786,0.03382383,0.4974475,0.03858161,91696,0.3932343,500,18.26855
