step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/arm_torque_margin,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/fixture_force_tracking,Episode_Reward/fixture_lost,Episode_Reward/fixture_seat,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_ee_orn_roll,Episode_Reward/tracking_lin_vel_force_world,Fixture/force_ceiling_n,Fixture/lost_backed_off_fraction,Fixture/lost_fraction,Fixture/lost_lifted_off_fraction,Fixture/lost_slid_off_fraction,Fixture/mean_error_n,Fixture/relative_force_error,Fixture/relative_force_error_ema,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
12075,1790237229.010,-0.2762748,-0.3288471,0.6009989,-0.03595442,-0.2473944,-0.000723585,-0.015,-0.1164296,-0.004146242,-0.0481777,-0.07555597,-0.0007587624,-0.007953335,-0.001522651,0.5657092,-0.01697284,-0.005945934,-0.000139018,-0.01683521,0.132422,-0.03333334,-0.003079645,-0.02618853,-0.01367363,0.3186409,0.1223095,-0.002837968,-0.002380727,0.2281108,0.6157817,0.2488016,0.6962282,15,0,0.5,0.5,0,6.218635,0.7414996,0.5088429,0.0007991176,7.59375e-05,29.22333,0.002207064,6.676016e-09,0.001299459,0.000108481,0.01435291,0.05,0.05,0,7.59375e-05,-0.01163221,0.3914774,1.276328,1.576781,34455,1.244884,359.51,40.89442
12076,1790237231.868,-0.2613491,-0.3170524,0.5773324,-0.03277777,-0.2749812,-0.0007880047,-0.002222223,-0.1092133,-0.00418203,-0.01076097,-0.07116632,-0.0007213854,-0.008002223,-0.00137231,0.548201,-0.01654902,-0.005296927,-0.0003942361,-0.01606552,0.1917025,-0.04444445,-0.00415365,-0.02904936,-0.01155025,0.3047158,0.1188234,-0.002638395,-0.002256151,0.2241088,0.5969926,0.2346737,0.6847342,15,0,0.5714287,0.4285715,0.1428572,4.462578,0.4452661,0.5207812,0.0008009192,7.59375e-05,29.22451,0.002198506,6.427803e-09,0.001273525,0.0001240561,0.01139033,0.05,0.1,0,7.59375e-05,-0.01034189,0.3487614,1.262373,1.585407,34519,1.244868,346.18,39.0561
12077,1790237234.732,-0.2132633,-0.2608131,0.4799999,-0.02565612,-0.04385927,-0.0006577305,0,-0.09140354,-0.003219957,-0.03169915,-0.0612524,-0.0006385337,-0.00688,-0.001217877,0.4354671,-0.01480392,-0.005170186,-0.007772155,-0.0141588,0.03440092,-0.06666668,-0.006091014,-0.02506416,-0.01115131,0.2527667,0.09766527,-0.002336429,-0.001962126,0.167005,0.4883651,0.2005456,0.5518393,15,0,1,1,0,4.337204,0.6109345,0.5316767,0.0007794911,7.59375e-05,29.22402,0.002093021,6.293404e-09,0.00124126,7.226437e-05,0.009792286,0,0.05,0,7.59375e-05,-0.01115333,0.3422129,1.270971,1.584187,34430,1.244889,378,43.05042
12078,1790237237.584,-0.3970667,-0.4856693,0.8639991,-0.05046633,-0.5310771,-0.0007885257,-0.04333334,-0.1619555,-0.006160689,-0.03444009,-0.1070306,-0.00107263,-0.01194667,-0.002534036,0.7808521,-0.02413245,-0.008586233,-0.006334957,-0.02415193,0.3579815,0,-6.083125e-17,-0.04615408,-0.01979502,0.4555397,0.1707241,-0.004179642,-0.003556555,0.3269188,0.8509989,0.3317804,0.9958909,15,0,0,0,0,6.08666,0.6391457,0.5435988,0.0008068962,7.59375e-05,29.22326,0.002149033,6.196768e-09,0.001265565,7.656554e-05,0.010776,0.05,0.1,0,7.59375e-05,-0.01157269,0.2755441,1.252947,1.588051,34601,1.244767,404.88,45.50459
12079,1790237240.439,-0.2702451,-0.3336007,0.5965002,-0.03368717,-0.0592417,-0.0005893718,-0.01416667,-0.121776,-0.00416028,-0.02439475,-0.08307219,-0.0007544772,-0.01722667,-0.001705865,0.5926434,-0.01591234,-0.01313367,-0.006844371,-0.01810714,0.04657946,-0.05,-0.009583389,-0.03757629,-0.01515652,0.315049,0.05672532,-0.00302165,-0.002583332,0.209876,0.583327,0.2269453,0.6638969,15,0,1,1,0,3.432763,0.5138881,0.5312219,0.0007910313,0.0001139063,29.21937,0.002194609,6.369137e-09,0.001302095,0.0001014765,0.01172104,0,0.1,0,0.0001139063,-0.012357,0.3529752,1.250515,1.59373,34562,1.244435,396.57,44.89122
12080,1790237243.403,-0.3690816,-0.4495507,0.8088007,-0.04464655,-0.3803106,-0.001082344,-0.021,-0.1523316,-0.005867643,-0.02539472,-0.1003253,-0.00101944,-0.012444,-0.001801736,0.7489828,-0.02302459,-0.008412189,-0.0009853512,-0.02427665,0.283136,-0.02,-0.01228666,-0.04462771,-0.01797246,0.4246736,0.1617817,-0.003856316,-0.003234793,0.3043954,0.8207779,0.3181168,0.9503199,15,0,0.3333333,0.3333333,0,0.6971337,0.4034238,0.5274459,0.0007787014,5.0625e-05,29.21488,0.002115306,6.629671e-09,0.001279272,5.732494e-05,0.01337952,0.1,0.05,0,5.0625e-05,-0.01317568,0.3662055,1.383544,1.569007,33294,1.244277,423.3,47.9964
12081,1790237246.359,-0.3602141,-0.4491813,0.8152514,-0.04759445,-0.270564,-0.001632613,-0.02125001,-0.1506663,-0.005843999,-0.1158264,-0.09915915,-0.001017517,-0.013115,-0.001688856,0.8019785,-0.02270219,-0.01016895,-0.0002673337,-0.02281205,0.1726719,-0.025,-0.0004844872,-0.03619919,-0.01497272,0.4272746,0.1511212,-0.003746931,-0.003357008,0.3133314,0.7788346,0.3264321,0.9467835,15,0,0.5,0.5,0,1.770179,0.4199916,0.5132328,0.0007743035,7.59375e-05,29.21296,0.00207826,6.482451e-09,0.001247609,5.634123e-05,0.009240328,0,0.1,0,7.59375e-05,-0.0114872,0.3350437,1.368633,1.575924,33384,1.244189,424.7,47.93319
12082,1790237249.305,-0.3462054,-0.422782,0.763251,-0.04367445,-0.3798319,-0.001002851,-0.08333333,-0.1418921,-0.005515631,-0.05303649,-0.09536745,-0.0009475736,-0.01419,-0.00187795,0.7162861,-0.02176316,-0.01040609,-0.0003097901,-0.02254208,0.2780331,-0.06666668,-0.06343429,-0.03932242,-0.01744137,0.4027072,0.1394327,-0.003592912,-0.002989005,0.2837239,0.7302903,0.2799476,0.8760676,15,0,1,0.5,0.5,2.01921,0.5380165,0.5534937,0.0007715729,0.0001139063,29.21085,0.002099031,6.458641e-09,0.001270331,5.712049e-05,0.01294303,0,0.1,0,0.0001139063,-0.01220879,0.4276205,1.397517,1.537282,33495,1.244175,414.03,46.25872
12083,1790237252.230,-0.2061895,-0.252739,0.4593344,-0.02788974,-0.1953976,-0.0005791412,-0.003888889,-0.08865474,-0.003147137,-0.0182013,-0.05835892,-0.0005736087,-0.005637776,-0.001184459,0.4169399,-0.0134689,-0.003979729,-0.0003359058,-0.0134057,0.138079,-0.07777779,-0.01264688,-0.02129327,-0.01037985,0.2406492,0.1016013,-0.002162594,-0.001830254,0.1786688,0.466227,0.1862346,0.5322627,15,0,0.875,0.875,0,2.659539,0.4528073,0.5385338,0.0007772719,0.0001139063,29.21196,0.002089676,6.292562e-09,0.001246144,6.625409e-05,0.01347275,0,0.05,0,0.0001139063,-0.01238489,0.4047081,1.360484,1.553926,33730,1.244344,411.01,46.86668
12084,1790237255.158,-0.2538689,-0.2972323,0.5448767,-0.03367763,-0.3850878,-0.0008111354,-0.01,-0.09359362,-0.003868859,-0.05786444,-0.05868766,-0.0006729226,0,-0.001284574,0.4900634,-0.016432,0,0,-0.01468982,0.2564673,-0.075,-0.009360515,-0.02208069,-0.01190992,0.2886756,0.1618298,-0.002481251,-0.002111239,0.205226,0.5900699,0.2410561,0.6518101,15,0,0.75,0.75,0,4.16603,0.5420813,0.540918,0.0007881373,0.0001139063,29.21437,0.002084892,6.283566e-09,0.001225398,7.135041e-05,0.01407587,0.05,0.1,0,0.0001139063,-0.01162111,0.4170023,1.367788,1.549076,33701,1.244585,464.75,52.94634
