step,tip_err_l1_m,tip_err_x_m,tip_err_y_m,tip_err_z_m,base_z_m,force_cmd_n,force_meas_n,force_est_n
134,0.02016,0.00758,0.00023,0.01235,0.27046,0.0000,0.0000,0.1080
135,0.02018,0.00690,0.00049,0.01279,0.27063,0.0000,0.0000,0.1235
136,0.01939,0.00657,0.00029,0.01252,0.27087,0.0000,0.0000,0.1435
137,0.01793,0.00688,0.00007,0.01098,0.27121,0.0000,0.0000,0.1600
138,0.01768,0.00865,0.00042,0.00861,0.27162,0.0000,0.0000,0.1616
139,0.01646,0.00956,0.00066,0.00624,0.27207,0.0000,0.0000,0.1480
140,0.01448,0.00936,0.00071,0.00441,0.27256,0.0000,0.0000,0.1266
141,0.01267,0.00867,0.00057,0.00343,0.27304,0.0000,0.0000,0.1099
142,0.01194,0.00822,0.00041,0.00331,0.27348,0.0000,0.0000,0.1060
143,0.01230,0.00796,0.00029,0.00405,0.27381,0.0000,0.0000,0.1127
144,0.01274,0.00729,0.00017,0.00529,0.27403,0.0000,0.0000,0.1275
145,0.01369,0.00646,0.00059,0.00664,0.27418,0.0000,0.0000,0.1481
146,0.01466,0.00649,0.00060,0.00757,0.27429,0.0000,0.0000,0.1718
147,0.01600,0.00623,0.00128,0.00850,0.27437,0.0000,0.0000,0.1920
148,0.01735,0.00589,0.00206,0.00940,0.27448,0.0000,0.0000,0.2091
149,0.01805,0.00578,0.00254,0.00974,0.27461,0.0000,0.0000,0.2253
150,0.01828,0.00554,0.00283,0.00991,0.27481,0.0000,0.0000,0.2408
151,0.01861,0.00489,0.00347,0.01025,0.27508,0.0000,0.0000,0.2533
152,0.01907,0.00447,0.00432,0.01028,0.27542,0.0000,0.0000,0.2675
153,0.01927,0.00544,0.00429,0.00954,0.27580,0.0000,0.0000,0.2774
154,0.01871,0.00552,0.00428,0.00891,0.27621,0.0000,0.0000,0.2858
155,0.01864,0.00474,0.00470,0.00920,0.27659,0.0000,0.0000,0.2956
156,0.01897,0.00494,0.00444,0.00958,0.27692,0.0000,0.0000,0.3134
157,0.02936,0.00490,0.00949,0.01496,0.27716,0.0000,0.0000,0.3340
158,0.03655,0.00338,0.01247,0.02070,0.27735,0.0000,0.0000,0.3617
159,0.04097,0.00160,0.01420,0.02518,0.27749,0.0000,0.0000,0.4117
160,0.04502,0.00154,0.01480,0.02869,0.27766,0.0000,0.0000,0.4776
161,0.04934,0.00369,0.01418,0.03147,0.27785,0.0000,0.0000,0.5741
162,0.05408,0.00647,0.01391,0.03371,0.27804,0.0000,0.0000,0.6861
163,0.05936,0.00979,0.01410,0.03547,0.27819,0.0000,0.0000,0.7917
164,0.06497,0.01363,0.01447,0.03687,0.27827,0.0000,0.0000,0.8893
165,0.06780,0.01727,0.01454,0.03599,0.27833,0.0000,0.0000,0.9668
166,0.06035,0.01691,0.01256,0.03087,0.27845,0.0000,0.0000,0.9971
167,0.05202,0.01616,0.01076,0.02510,0.27861,0.0000,0.0000,0.9554
168,0.04726,0.01631,0.00974,0.02121,0.27874,0.0000,0.0000,0.8877
169,0.04327,0.01648,0.00858,0.01821,0.27876,0.0000,0.0000,0.8336
170,0.03903,0.01656,0.00671,0.01576,0.27863,0.0000,0.0000,0.8146
171,0.03568,0.01808,0.00410,0.01350,0.27843,0.0000,0.0000,0.7907
172,0.03119,0.01917,0.00128,0.01074,0.27823,0.0000,0.0000,0.7925
173,0.02751,0.01920,0.00163,0.00667,0.27811,0.0000,0.0000,0.8062
174,0.02535,0.01932,0.00348,0.00254,0.27814,0.0000,0.0000,0.8402
175,0.02579,0.01985,0.00474,0.00120,0.27830,0.0000,0.0000,0.8952
176,0.03049,0.01933,0.00629,0.00488,0.27858,0.0000,0.0000,0.9660
177,0.03407,0.01830,0.00795,0.00782,0.27890,0.0000,0.0000,1.0619
178,0.03645,0.01702,0.00961,0.00982,0.27919,0.0000,0.0000,1.1543
179,0.03942,0.01628,0.01182,0.01132,0.27939,0.0000,0.0000,1.2114
180,0.04228,0.01584,0.01434,0.01210,0.27949,0.0000,0.0000,1.2519
181,0.04520,0.01596,0.01652,0.01271,0.27951,0.0000,0.0000,1.2724
182,0.04739,0.01578,0.01818,0.01342,0.27951,0.0000,0.0000,1.2796
183,0.04811,0.01418,0.01937,0.01456,0.27952,0.0000,0.0000,1.2590
184,0.04868,0.01176,0.02058,0.01634,0.27961,0.0000,0.0000,1.2252
185,0.04906,0.00860,0.02167,0.01879,0.27985,0.0000,0.0000,1.2218
186,0.05017,0.00801,0.02177,0.02038,0.28023,0.0000,0.0000,1.2528
187,0.04972,0.00723,0.02133,0.02117,0.28070,0.0000,0.0000,1.2829
188,0.04750,0.00482,0.02140,0.02129,0.28113,0.0000,0.0000,1.3080
189,0.04437,0.00139,0.02222,0.02075,0.28145,0.0000,0.0000,1.3228
190,0.04266,0.00019,0.02255,0.01993,0.28165,0.0000,0.0000,1.3468
191,0.04152,0.00203,0.02257,0.01692,0.28165,0.0000,0.0000,1.3365
192,0.04288,0.00714,0.02222,0.01352,0.28148,0.0000,0.0000,1.2095
193,0.04182,0.01010,0.02146,0.01026,0.28116,0.0000,0.0000,1.0197
194,0.03943,0.01130,0.02001,0.00812,0.28081,0.0000,0.0000,0.8369
195,0.03428,0.01072,0.01732,0.00624,0.28050,0.0000,0.0000,0.6744
196,0.02997,0.00932,0.01460,0.00605,0.28034,0.0000,0.0000,0.5367
197,0.02659,0.00575,0.01262,0.00823,0.28039,0.0000,0.0000,0.4393
198,0.02417,0.00175,0.01181,0.01061,0.28069,0.0000,0.0000,0.3871
199,0.02445,0.00009,0.01171,0.01266,0.28114,0.0000,0.0000,0.3642
200,0.02648,0.00155,0.01179,0.01314,0.28159,0.0000,0.0000,0.3599
201,0.02829,0.00312,0.01228,0.01289,0.28189,0.0000,0.0000,0.3705
202,0.03050,0.00504,0.01330,0.01216,0.28198,0.0000,0.0000,0.4018
203,0.03195,0.00563,0.01452,0.01179,0.28190,0.0000,0.0000,0.4468
204,0.03218,0.00584,0.01547,0.01087,0.28167,0.0000,0.0000,0.4991
205,0.02860,0.00349,0.01641,0.00870,0.28132,0.0000,0.0000,0.5484
206,0.02442,0.00055,0.01720,0.00666,0.28090,0.0000,0.0000,0.5521
207,0.02486,0.00356,0.01640,0.00490,0.28044,0.0000,0.0000,0.5310
208,0.02123,0.00327,0.01494,0.00302,0.27997,0.0000,0.0000,0.4974
209,0.01590,0.00059,0.01383,0.00149,0.27946,0.0000,0.0000,0.4760
210,0.01652,0.00273,0.01371,0.00008,0.27894,0.0000,0.0000,0.5022
211,0.01749,0.00326,0.01385,0.00038,0.27843,0.0000,0.0000,0.5451
