step,time_s,tip_err_l1_m,tip_err_x_m,tip_err_y_m,tip_err_z_m,base_z_m,force_cmd_n,force_est_n,base_vx_mps,base_vy_mps,base_wz_radps,base_roll_rad,base_pitch_rad,goal_radius_m,goal_pitch_rad,goal_yaw_rad,tip_x_m,tip_y_m,tip_z_m,action_absmax,torque_absmax_nm
39,0.78,0.720144,0.160956,0.277846,0.281342,0.146065,0,7.89393,-0.0794965,0.000921443,-0.0336855,-2.2397,0.00408212,0.5,0.452061,0,-0.396505,-0.155092,0.427068,13.2633,21.8978
40,0.8,0.674252,0.139456,0.292744,0.242052,0.146251,0,8.16147,-0.092063,0.0266825,-0.155356,-2.24406,0.00693455,0.5,0.447541,0,-0.366981,-0.167264,0.464323,13.4852,23.7
41,0.82,0.620904,0.113148,0.317507,0.190249,0.144431,0,8.00429,-0.0112567,-0.0119378,-0.116653,-2.23616,-0.00115207,0.5,0.443022,0,-0.335288,-0.191653,0.514087,14.0927,23.7
42,0.84,0.575187,0.0863794,0.346364,0.142443,0.144175,0,7.52099,-0.00728978,-0.0115211,-0.102505,-2.23925,-0.00104004,0.5,0.438502,0,-0.316294,-0.225713,0.559849,14.8429,23.7
43,0.86,0.553666,0.0832301,0.365852,0.104584,0.144152,0,6.14292,-0.0166584,-0.0136415,-0.0776472,-2.24153,-0.00288985,0.5,0.433983,0,-0.314489,-0.245762,0.59566,15.5182,23.7
44,0.88,0.55979,0.10359,0.372144,0.0840557,0.144156,0,6.115,-0.0113228,0.0179531,-0.027866,-2.24106,-0.00262717,0.5,0.429463,0,-0.335799,-0.251525,0.614136,15.4918,23.7
45,0.9,0.603376,0.142923,0.370029,0.0904242,0.144245,0,6.66487,-0.0114533,0.0166367,-0.0396341,-2.23981,-0.00216034,0.5,0.424944,0,-0.376413,-0.249154,0.605711,15.1836,23.7
46,0.92,0.593798,0.156328,0.334306,0.103164,0.144362,0,7.35024,-0.00179936,0.00926912,-0.0798781,-2.23688,-0.00186849,0.5,0.420425,0,-0.391337,-0.213464,0.59091,14.9855,23.7
47,0.94,0.527459,0.13148,0.286747,0.109231,0.144483,0,8.27212,-0.00367201,-0.00208558,-0.0593682,-2.2333,-0.00242138,0.5,0.415905,0,-0.366657,-0.16492,0.582778,14.4525,23.7
48,0.96,0.486722,0.115964,0.252788,0.11797,0.14455,0,8.51237,-0.00957551,-0.00484242,-0.058236,-2.23097,-0.00291485,0.5,0.411386,0,-0.351947,-0.13055,0.57197,14.3111,23.7
49,0.98,0.458003,0.102185,0.232215,0.123603,0.144525,0,8.84269,-0.0205242,-0.00429964,-0.0981908,-2.23012,-0.00293336,0.5,0.406866,0,-0.339189,-0.109689,0.564264,14.138,23.7
50,1,0.437398,0.0902071,0.220439,0.126752,0.144342,0,9.4656,0.00158775,0.00267614,-0.0338086,-2.2282,-0.00137866,0.5,0.402347,0,-0.329578,-0.0985757,0.559037,13.7783,23.7
51,1.02,0.425192,0.0849163,0.208638,0.131637,0.144356,0,9.84152,-0.00836289,0.0051134,-0.0554185,-2.22778,-0.000566572,0.5,0.397827,0,-0.328474,-0.0888595,0.552071,13.4542,23.7
52,1.04,0.405215,0.0702249,0.202322,0.132668,0.144661,0,10.4353,-0.0131836,-0.00540214,0.0217023,-2.22931,0.000137746,0.5,0.393308,0,-0.318727,-0.0856493,0.548955,12.8836,23.7
53,1.06,0.408518,0.0734075,0.204588,0.130523,0.144822,0,10.444,-0.00260721,-0.00921008,0.0127123,-2.23153,0.00172743,0.5,0.388788,0,-0.318439,-0.0845707,0.549011,12.3168,23.7
54,1.08,0.399606,0.0623702,0.216309,0.120928,0.1447,0,10.2848,-0.0107692,-0.00554818,-0.086545,-2.23185,0.00142413,0.5,0.384269,0,-0.30609,-0.0949609,0.556513,11.4405,23.7
55,1.1,0.381826,0.0412502,0.231535,0.109041,0.144058,0,10.571,-0.0144617,0.00856178,-0.118805,-2.22869,-0.00229338,0.5,0.37975,0,-0.285562,-0.110576,0.566303,10.5997,23.7
56,1.12,0.353971,0.0110153,0.238563,0.104393,0.144702,0,10.4083,0.0315783,-0.00660179,-0.135354,-2.23361,-0.00240761,0.5,0.37523,0,-0.264355,-0.123126,0.56885,9.73262,23.7
57,1.14,0.362541,0.0159454,0.247017,0.0995779,0.144929,0,9.76164,-0.0105147,0.00657395,-0.0135621,-2.23515,-0.00359646,0.5,0.370711,0,-0.2427,-0.134862,0.571561,10.2552,23.7
58,1.16,0.385813,0.0279715,0.268564,0.0892778,0.145261,0,7.94524,-0.0144027,-0.0254815,-0.13751,-2.2388,-0.00610972,0.5,0.366191,0,-0.236724,-0.159919,0.579753,11.16,23.7
59,1.18,0.402481,0.0355845,0.283512,0.0833851,0.145676,0,6.85385,0.0150545,-0.068035,-0.347991,-2.24236,-0.00796762,0.5,0.361672,0,-0.238326,-0.179159,0.583534,11.9649,23.7
60,1.2,0.425471,0.0502299,0.295708,0.0795336,0.148304,0,6.8526,0.0525668,-0.0832864,-0.723546,-2.26071,-0.0174496,0.5,0.357152,0,-0.240734,-0.200956,0.58527,12.3944,23.7
61,1.22,0.448292,0.0595504,0.310769,0.0779725,0.152886,0,7.28383,-0.00364017,-0.104535,-0.571692,-2.295,-0.0309389,0.5,0.352633,0,-0.24814,-0.22799,0.584713,12.8399,23.7
62,1.24,0.475702,0.0730801,0.323509,0.0791131,0.158078,0,8.44665,0.0542898,-0.072328,-0.131936,-2.3349,-0.0332592,0.5,0.348114,0,-0.249498,-0.251341,0.58145,13.1461,23.7
63,1.26,0.471364,0.0734909,0.312884,0.0849891,0.162231,0,8.73882,0.0318612,-0.0969131,-0.34701,-2.36453,-0.0238814,0.5,0.343594,0,-0.267491,-0.250987,0.573448,13.8279,23.7
64,1.28,0.456417,0.0782124,0.283669,0.0945362,0.164962,0,9.53012,0.0530056,-0.0627576,0.213739,-2.38427,-0.0120758,0.5,0.339075,0,-0.274324,-0.226971,0.561771,14.583,23.7
65,1.3,0.459121,0.107241,0.233897,0.117983,0.166913,0,9.94858,0.019362,0.00349553,0.204136,-2.39794,-0.0155237,0.5,0.334555,0,-0.253116,-0.181587,0.536192,15.2413,23.7
66,1.32,0.500258,0.150529,0.202517,0.147212,0.165909,0,11.0661,-0.0107153,0.0526851,0.582817,-2.38781,-0.00880877,0.5,0.330036,0,-0.206085,-0.144215,0.504826,15.5863,23.7
67,1.34,0.572451,0.19528,0.194826,0.182345,0.160037,0,11.5269,-0.0115878,0.177099,1.12232,-2.33863,0.0198877,0.5,0.325516,0,-0.145266,-0.11744,0.467554,15.8009,23.7
68,1.36,0.617481,0.214321,0.201752,0.201408,0.152287,0,12.1301,-0.0636831,0.108014,0.0356059,-2.27901,0.0435152,0.5,0.320997,0,-0.0963949,-0.0944657,0.446348,15.9191,23.5587
69,1.38,0.643464,0.226106,0.218389,0.198969,0.148077,0,13.6053,-0.120693,0.0508185,0.0314246,-2.24901,0.0227345,0.5,0.316478,0,-0.0655145,-0.101157,0.446641,15.779,23.7
70,1.4,0.663667,0.235595,0.233958,0.194114,0.144452,0,13.2057,-0.0392042,0.0433151,0.086614,-2.22398,0.000684589,0.5,0.311958,0,-0.0376654,-0.10864,0.449348,15.77,23.7
71,1.42,0.66939,0.237339,0.24422,0.187831,0.144462,0,13.4639,-0.00373883,-0.000298013,-0.0373393,-2.22466,0.00118336,0.5,0.307439,0,-0.0325231,-0.115856,0.453478,15.6952,23.7
72,1.44,0.634646,0.225032,0.240678,0.168935,0.14453,0,13.5394,-0.0213739,-4.47407e-05,0.0387458,-2.2264,0.00132456,0.5,0.302919,0,-0.0442103,-0.11164,0.470218,15.4463,23.7
73,1.46,0.591445,0.209307,0.22375,0.158388,0.144102,0,13.8252,-0.00478706,0.0101255,-0.120603,-2.2251,0.00424994,0.5,0.2984,0,-0.0611872,-0.0947953,0.478608,16.0465,23.7
74,1.48,0.571374,0.201066,0.204166,0.166142,0.143884,0,13.863,0.00753756,0.000642263,0.0844423,-2.22573,0.00519963,0.5,0.29388,0,-0.0708085,-0.075358,0.468692,16.5759,23.7
75,1.5,0.55494,0.1865,0.190035,0.178404,0.143691,0,14.1394,0.0235598,-0.0270421,0.361985,-2.22615,0.00406168,0.5,0.289361,0,-0.0824918,-0.0574822,0.454266,16.8701,23.7
76,1.52,0.512378,0.154778,0.175165,0.182435,0.143266,0,14.9313,0.0055412,-0.00222065,0.11717,-2.22454,0.00484278,0.5,0.284841,0,-0.112282,-0.0400657,0.448068,16.8742,23.7
77,1.54,0.452906,0.116263,0.157832,0.178812,0.142655,0,14.9223,0.00749039,0.00814391,0.0876731,-2.21815,0.0105135,0.5,0.280322,0,-0.147252,-0.0184206,0.44952,16.7402,23.4016
78,1.56,0.429912,0.0943905,0.159906,0.175616,0.143908,0,15.7637,-0.0130453,-0.023429,-0.0509856,-2.20055,0.0145739,0.5,0.275803,0,-0.169395,-0.0206836,0.450544,16.2932,23.3032
79,1.58,0.425379,0.0802877,0.195845,0.149245,0.143923,0,16.7607,0.0350778,-0.00568594,0.123722,-2.23285,0.00477942,0.5,0.271283,0,-0.167604,-0.0453828,0.474739,15.492,23.7
80,1.6,0.427015,0.0906189,0.215962,0.120434,0.142151,0,17.1285,-0.00540053,0.0022991,0.0083832,-2.23161,0.0144837,0.5,0.266764,0,-0.160081,-0.0658596,0.501371,15.3311,23.7
