attempt,step,time_s,phase,jaw_centre_error_m,lateral_error_m,along_error_m,tip_goal_error_m,jaw_command_m,approach_elevation_deg,jaw_tilt_deg,base_height_m,base_shift_m,base_yaw_deg,finger_contact_n,forearm_contact_n,fell,door_deg,handle_deg
1,31,0.62,spawn,0.01663,0.01013,0.01318,0.01547,0.00768,-0.77,88.27,0.3144,0.0249,0.324,0.0,0.0,0,0.0,-0.0
2,31,0.62,spawn,0.01669,0.00973,0.01356,0.01559,0.00768,-0.7,88.3,0.3144,0.0249,0.314,0.0,0.0,0,0.0,-0.0
3,31,0.62,spawn,0.01667,0.0102,0.01319,0.01551,0.00768,-0.79,88.31,0.3144,0.0249,0.324,0.0,0.0,0,0.0,-0.0
0,32,0.64,spawn,0.01714,0.01369,0.01032,0.01604,0.00792,-1.97,86.64,0.3143,0.0251,0.374,0.0,0.0,0,0.0,-0.0
1,32,0.64,spawn,0.01711,0.01369,0.01026,0.016,0.00792,-1.98,86.58,0.3143,0.0251,0.375,0.0,0.0,0,0.0,-0.0
2,32,0.64,spawn,0.017,0.01323,0.01067,0.01593,0.00792,-1.84,87.14,0.3143,0.0252,0.372,0.0,0.0,0,0.0,-0.0
3,32,0.64,spawn,0.01716,0.01374,0.01027,0.01605,0.00792,-1.99,86.64,0.3143,0.0251,0.377,0.0,0.0,0,0.0,-0.0
0,33,0.66,spawn,0.01988,0.01833,0.00772,0.01911,0.00816,-2.95,87.04,0.3141,0.0253,0.44,0.0,0.0,0,0.0,-0.0
1,33,0.66,spawn,0.01989,0.01835,0.00768,0.01912,0.00816,-2.96,86.98,0.3141,0.0253,0.441,0.0,0.0,0,0.0,-0.0
2,33,0.66,spawn,0.01952,0.01782,0.00796,0.01877,0.00816,-2.82,87.16,0.3141,0.0254,0.436,0.0,0.0,0,0.0,-0.0
3,33,0.66,spawn,0.01994,0.0184,0.00767,0.01917,0.00816,-2.96,86.97,0.3141,0.0253,0.443,0.0,0.0,0,0.0,-0.0
0,34,0.68,spawn,0.02563,0.02496,0.0058,0.02538,0.0084,-3.95,86.05,0.3139,0.0256,0.511,0.0,0.0,0,0.0,-0.0
1,34,0.68,spawn,0.02571,0.02505,0.00577,0.02547,0.0084,-3.97,86.02,0.3139,0.0255,0.511,0.0,0.0,0,0.0,-0.0
2,34,0.68,spawn,0.02533,0.02462,0.00598,0.02512,0.0084,-3.87,86.13,0.3139,0.0256,0.504,0.0,0.0,0,0.0,-0.0
3,34,0.68,spawn,0.0258,0.02515,0.00577,0.02557,0.0084,-3.98,86.01,0.3139,0.0256,0.513,0.0,0.0,0,0.0,-0.0
0,35,0.7,spawn,0.03229,0.03209,0.00361,0.03259,0.00864,-4.78,85.19,0.3137,0.0257,0.589,0.0,0.0,0,0.0,-0.0
1,35,0.7,spawn,0.03233,0.03213,0.00355,0.03262,0.00864,-4.79,85.21,0.3138,0.0257,0.589,0.0,0.0,0,0.0,-0.0
2,35,0.7,spawn,0.03204,0.03181,0.0038,0.03236,0.00864,-4.74,85.26,0.3138,0.0258,0.585,0.0,0.0,0,0.0,-0.0
3,35,0.7,spawn,0.03245,0.03225,0.00354,0.03275,0.00864,-4.79,85.2,0.3138,0.0257,0.592,0.0,0.0,0,0.0,-0.0
0,36,0.72,spawn,0.03808,0.03807,0.00044,0.03883,0.00888,-5.25,84.64,0.3135,0.0259,0.671,0.0,0.0,0,0.0,-0.0
1,36,0.72,spawn,0.03804,0.03804,0.00036,0.0388,0.00888,-5.25,84.69,0.3135,0.0258,0.671,0.0,0.0,0,0.0,-0.0
2,36,0.72,spawn,0.03793,0.03793,0.00075,0.03872,0.00888,-5.29,84.69,0.3136,0.0259,0.669,0.0,0.0,0,0.0,-0.0
3,36,0.72,spawn,0.03815,0.03815,0.00034,0.03891,0.00888,-5.25,84.69,0.3135,0.0259,0.674,0.0,0.0,0,0.0,-0.0
0,37,0.74,spawn,0.0436,0.04351,-0.00272,0.04473,0.00912,-5.56,84.13,0.3133,0.026,0.754,0.0,0.0,0,0.0,-0.0
1,37,0.74,spawn,0.04356,0.04347,-0.00279,0.04467,0.00912,-5.57,84.19,0.3133,0.0259,0.754,0.0,0.0,0,0.0,-0.0
2,37,0.74,spawn,0.04352,0.04345,-0.0024,0.04468,0.00912,-5.61,84.24,0.3133,0.026,0.754,0.0,0.0,0,0.0,-0.0
3,37,0.74,spawn,0.04365,0.04356,-0.00281,0.04476,0.00912,-5.57,84.19,0.3133,0.026,0.756,0.0,0.0,0,0.0,-0.0
0,38,0.76,spawn,0.0497,0.04943,-0.00516,0.05113,0.00936,-5.82,83.29,0.313,0.0261,0.842,0.0,0.0,0,0.0,-0.0
1,38,0.76,spawn,0.04969,0.04941,-0.00523,0.05112,0.00936,-5.84,83.34,0.313,0.026,0.842,0.0,0.0,0,0.0,-0.0
2,38,0.76,spawn,0.04954,0.04929,-0.00491,0.05099,0.00936,-5.85,83.52,0.3131,0.0262,0.843,0.0,0.0,0,0.0,-0.0
3,38,0.76,spawn,0.04977,0.04949,-0.00522,0.05119,0.00936,-5.84,83.27,0.313,0.026,0.844,0.0,0.0,0,0.0,-0.0
0,39,0.78,spawn,0.05543,0.05492,-0.00749,0.05722,0.0096,-5.86,80.32,0.3128,0.0261,0.938,0.0,0.0,0,0.0,-0.0
1,39,0.78,spawn,0.05544,0.05492,-0.00759,0.05723,0.0096,-5.87,80.36,0.3128,0.0261,0.938,0.0,0.0,0,0.0,-0.0
2,39,0.78,spawn,0.05515,0.05467,-0.00726,0.05696,0.0096,-5.88,80.74,0.3128,0.0262,0.94,0.0,0.0,0,0.0,-0.0
3,39,0.78,spawn,0.05551,0.05499,-0.00758,0.05729,0.0096,-5.86,80.21,0.3128,0.0261,0.94,0.0,0.0,0,0.0,-0.0
0,40,0.8,spawn,0.05977,0.0589,-0.01016,0.06196,0.00984,-5.73,76.24,0.3125,0.0262,1.031,0.0,0.0,0,0.0,-0.0
1,40,0.8,spawn,0.05979,0.0589,-0.01028,0.06197,0.00984,-5.73,76.11,0.3125,0.0261,1.031,0.0,0.0,0,0.0,-0.0
2,40,0.8,spawn,0.05961,0.05878,-0.00988,0.06181,0.00984,-5.74,76.48,0.3126,0.0263,1.033,0.0,0.0,0,0.0,-0.0
3,40,0.8,spawn,0.05985,0.05897,-0.01025,0.06203,0.00984,-5.72,76.02,0.3125,0.0262,1.033,0.0,0.0,0,0.0,-0.0
0,41,0.82,spawn,0.06319,0.06186,-0.01289,0.06579,0.01008,-5.59,71.18,0.3122,0.0262,1.118,0.0,0.0,0,0.0,-0.0
1,41,0.82,spawn,0.06319,0.06185,-0.01294,0.06579,0.01008,-5.59,70.97,0.3122,0.0261,1.118,0.0,0.0,0,0.0,-0.0
2,41,0.82,spawn,0.06312,0.06185,-0.0126,0.06572,0.01008,-5.56,71.34,0.3123,0.0263,1.119,0.0,0.0,0,0.0,-0.0
3,41,0.82,spawn,0.06326,0.06192,-0.01293,0.06585,0.01008,-5.58,70.91,0.3122,0.0262,1.12,0.0,0.0,0,0.0,-0.0
0,42,0.84,spawn,0.06641,0.06462,-0.01531,0.06945,0.01032,-5.56,65.69,0.312,0.0261,1.198,0.0,0.0,0,0.0,-0.0
1,42,0.84,spawn,0.06643,0.06463,-0.01534,0.06946,0.01032,-5.54,65.39,0.312,0.0261,1.196,0.0,0.0,0,0.0,-0.0
2,42,0.84,spawn,0.06633,0.06462,-0.015,0.06937,0.01032,-5.58,65.91,0.312,0.0263,1.196,0.0,0.0,0,0.0,-0.0
3,42,0.84,spawn,0.06649,0.0647,-0.01531,0.06951,0.01032,-5.54,65.38,0.312,0.0261,1.199,0.0,0.0,0,0.0,-0.0
