step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/arm_torque_margin,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/fixture_force_tracking,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/mech_effort,Episode_Reward/mech_overspeed,Episode_Reward/mech_progress,Episode_Reward/mech_push,Episode_Reward/mech_torn,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_ee_orn_roll,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Mechanism/frontier_opened_ema,Mechanism/frontier_opened_fraction,Mechanism/latch_released_fraction,Mechanism/opened_fraction,Mechanism/opened_hinge,Mechanism/opened_pull,Mechanism/opened_push,Mechanism/opened_side,Mechanism/opened_up,Mechanism/peak_ceiling_n,Mechanism/torn_fraction,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
13020,1790270083.004,-0.3431862,-0.4272891,0.7559981,-0.03595266,-0.6356243,-0.003392193,-0.02,-0.126101,-0.004809526,-0.01825914,-0.08069253,-0.0009523399,0,-0.001254734,0.6827844,-0.02283574,0,0,-0.02317188,0.2057286,-0.04504021,-0.01375131,-0.01502184,-0.00222687,0.6970364,0,0,0.383319,0.2195876,-0.003551715,-0.002992559,0.2878778,0.7221063,0.3048381,0.8944829,0.0008798331,0.0001139063,29.58986,0.004408527,2.490103e-10,0.003400613,0.0001280803,0.009869901,0,0.05,0,0.0001139063,-0.01318381,0.447524,0.6253886,1,1,1,1,1,0.5,1,1,40,0,1.857155,1.579206,28607,1.28233,493.4,61.27618
13021,1790270086.140,-0.3550733,-0.4656114,0.7919978,-0.03353658,-0.735387,-0.002244753,-0.01875,-0.1310501,-0.005265283,-0.01206421,-0.08439673,-0.0009708388,0,-0.001137193,0.7085764,-0.02217807,0,0,-0.02440078,0.2308974,-0.04382257,-0.01418256,-0.01842352,-0.001639523,0.7638166,0,0,0.4064993,0.2314383,-0.003762351,-0.00319042,0.2982678,0.7002115,0.2802822,0.938337,0.0008677779,0.0001139063,29.58891,0.004375612,2.421872e-10,0.00338385,0.0001239839,0.009360092,0,0.05,0,0.0001139063,-0.01339367,0.4250569,0.7582542,0.5,1,0.5,0.5,0.5,0,0.5,0,45,0,1.529439,1.58993,31514,1.282396,512.97,63.74472
13022,1790270089.590,-0.3687554,-0.4716508,0.8279983,-0.03670072,-0.7340223,-0.004136505,-0.0575,-0.1328536,-0.004998501,-0.09559064,-0.085572,-0.001051492,0,-0.001371694,0.7393517,-0.02212837,0,0,-0.02842635,0.09137624,-0.07674828,-0.01796566,-0.01578913,-0.001480385,0.6666166,0,0,0.4165404,0.2394744,-0.003734826,-0.003070949,0.3060982,0.6556195,0.3194689,0.9913595,0.0008789824,0.0001708594,29.58792,0.004314193,2.417997e-10,0.003308232,0.0001269783,0.01245545,0,0.1,0,0.0001708594,-0.01463579,0.4183774,0.610906,0.5,1,0.5,1,1,0,0,1,45,0,1.664598,1.762535,28684,1.282138,539.43,67.90133
13023,1790270093.742,-0.3544396,-0.4552502,0.7958566,-0.03443995,-0.7503283,-0.002034174,-0.01928571,-0.128295,-0.005217685,-0.06957089,-0.08197572,-0.0009930779,0,-0.00132231,0.7211946,-0.02355013,0,0,-0.02362293,0.1907867,-0.04302331,-0.01505824,-0.01919135,-0.001122718,0.672634,0,0,0.4100281,0.233046,-0.003649476,-0.003076239,0.2977297,0.6648098,0.312992,0.945601,0.0008679114,0.0001708594,29.58504,0.004266076,2.412388e-10,0.003275687,0.0001224778,0.01211733,0,0.05,0,0.0001708594,-0.01420105,0.3814117,0.4984143,0,1,0.4285715,0,0.6666667,0,0,0.5,45,0,2.445579,1.654308,23977,1.282152,560.57,68.76182
13024,1790270097.830,-0.4122648,-0.5204349,0.9,-0.04279163,-0.8434722,-0.002248014,-0.01583334,-0.1600818,-0.005876174,-0.01146845,-0.1018043,-0.001108336,0,-0.001654452,0.802094,-0.02696512,0,0,-0.026535,0.2618212,-0.04923752,-0.01615956,-0.01366634,-0.0008438064,0.9396502,0,0,0.4605746,0.2626961,-0.004093895,-0.003512062,0.3416034,0.7895002,0.3937919,1.063193,0.0008596915,0.0001708594,29.58214,0.004144317,2.371184e-10,0.003162547,0.0001220788,0.01230227,0,0.05,0,0.0001708594,-0.01547047,0.3732139,0.6368508,0.5,1,0.6666667,0.75,1,0.5,1,0,45,0,2.40555,1.63968,24301,1.281797,577.89,71.74629
13025,1790270101.938,-0.4318352,-0.5474347,0.9360008,-0.0420324,-0.4335645,-0.002827542,-0.01,-0.1896331,-0.006290355,-0.0140829,-0.1326473,-0.001202625,-0.02124,-0.002236892,0.926904,-0.02687163,-0.01408801,-0.001143768,-0.03054023,0.02311406,-0.06901093,-0.01950468,-0.01026679,0,0.3645415,0,0,0.4737578,0.1329446,-0.00547719,-0.004808259,0.338357,0.8447496,0.4209277,1.053767,0.0008628264,5.0625e-05,29.57635,0.00413191,2.530244e-10,0.003147502,0.0001215809,0.01013758,0.15,0.05,0,5.0625e-05,-0.006267275,0.2963202,0.5445707,0,0,0,1,1,0,0,0.5,45,0,2.406745,1.648042,24243,1.281529,612.86,76.73361
13026,1790270106.042,-0.4517332,-0.5809448,0.9720016,-0.04848033,-1.025108,-0.003394398,-0.015,-0.1634689,-0.006295207,-0.005158748,-0.1023576,-0.001190252,0,-0.001523352,0.9108785,-0.02922793,0,0,-0.03218106,0.216301,-0.0644626,-0.01727652,-0.02710245,-0.00100411,1.01123,0,0,0.4832996,0.2795453,-0.004438481,-0.003905495,0.3597487,0.8185262,0.3155906,1.152641,0.0008427123,7.59375e-05,29.57004,0.004057797,2.588323e-10,0.003097551,0.0001175328,0.007986425,0,0.1,0,7.59375e-05,-0.01404444,0.2785186,0.5855471,1,1,1,1,1,0,1,0,45,0,2.41131,1.656063,24168,1.280985,637.44,77.89165
13027,1790270110.306,-0.4604924,-0.59237,1.008003,-0.04757307,-0.7186852,-0.004139844,-0.03166667,-0.1760761,-0.006890263,-0.02766781,-0.1148151,-0.001278874,-0.006430001,-0.001580035,0.9614797,-0.02866737,-0.004366944,-6.536329e-05,-0.03126375,0.1686334,-0.07061712,-0.01878044,-0.01883484,-0.002632373,0.6288391,0,0,0.5085011,0.2475477,-0.004819627,-0.004280713,0.3758777,0.8523459,0.3842519,1.175791,0.0008335567,0.0001139063,29.56166,0.003963083,2.507215e-10,0.003017427,0.0001120996,0.01009395,0,0.1,0,0.0001139063,-0.01443218,0.2680866,0.6983012,1,1,1,1,1,1,1,0,45,0,2.448784,1.743174,23450,1.280312,659.63,82.77665
13028,1790270114.592,-0.4763471,-0.5919797,1.044003,-0.04393286,-1.073781,-0.003524244,-0.01,-0.1712821,-0.007004648,-0.006411226,-0.1109863,-0.001285861,0,-0.001647934,0.9588882,-0.03101282,0,0,-0.03236084,0.4038776,-0.06294589,-0.01754194,-0.01634526,-0.02248512,1.316303,0,0,0.5258648,0.3023155,-0.004882918,-0.004225867,0.3860116,1.023746,0.4576868,1.233057,0.0008337309,0.0001708594,29.55068,0.003921878,2.464541e-10,0.002977024,0.0001111226,0.01335721,0,0.1,0,0.0001708594,-0.01453843,0.2690011,0.6790428,1,1,1,1,1,0.5,1,0,45,0,2.357102,1.881636,23191,1.279489,686.62,84.50832
13029,1790270118.999,-0.4997434,-0.6274256,1.078504,-0.05052423,-0.606599,-0.001365218,0,-0.2034661,-0.007499279,-0.008051084,-0.1396171,-0.001359962,-0.02219,-0.002517163,1.071081,-0.02838454,-0.01541888,-0.001307514,-0.03151308,0.2525826,-0.05070819,-0.01978333,-0.005022583,-0.003365869,0.747527,0,0,0.5666455,0.1583194,-0.005758659,-0.005161744,0.411921,1.10821,0.4695663,1.27062,0.0008247184,0.0001708594,29.5406,0.003811233,2.670768e-10,0.002876357,0.0001101573,0.01334371,0,0.05,0,0.0001708594,-0.01174188,0.2563789,0.5070628,0.25,nan,1,0.25,1,1,0,0,45,0,2.400527,1.967649,22504,1.278844,704.6,86.14445
