step,tip_err_l1_m,tip_err_x_m,tip_err_y_m,tip_err_z_m,base_z_m,force_cmd_n,force_meas_n,force_est_n
110,0.02708,0.01921,0.00686,0.00101,0.30705,0.0000,0.0000,0.5881
111,0.02035,0.01339,0.00692,0.00003,0.30934,0.0000,0.0000,0.5631
112,0.01575,0.00744,0.00632,0.00198,0.31261,0.0000,0.0000,0.4745
113,0.01106,0.00508,0.00192,0.00406,0.31503,0.0000,0.0000,0.4013
114,0.00792,0.00381,0.00023,0.00388,0.31598,0.0000,0.0000,0.3149
115,0.00897,0.00539,0.00153,0.00206,0.31587,0.0000,0.0000,0.3551
116,0.01240,0.00878,0.00343,0.00019,0.31515,0.0000,0.0000,0.3614
117,0.02131,0.00974,0.01115,0.00042,0.31417,0.0000,0.0000,0.3540
118,0.02698,0.00709,0.01769,0.00220,0.31305,0.0000,0.0000,0.3068
119,0.03076,0.00416,0.02144,0.00515,0.31185,0.0000,0.0000,0.2533
120,0.03134,0.00326,0.02136,0.00671,0.31053,0.0000,0.0000,0.2390
121,0.03064,0.00344,0.02022,0.00698,0.30900,0.0000,0.0000,0.2606
122,0.02897,0.00567,0.01800,0.00530,0.30714,0.0000,0.0000,0.3181
123,0.02368,0.00791,0.01440,0.00137,0.30502,0.0000,0.0000,0.3826
124,0.02702,0.01321,0.00905,0.00476,0.30330,0.0000,0.0000,0.3729
125,0.03642,0.02104,0.00429,0.01109,0.30292,0.0000,0.0000,0.3570
126,0.03830,0.02218,0.00163,0.01450,0.30432,0.0000,0.0000,0.3305
127,0.03316,0.01868,0.00135,0.01313,0.30727,0.0000,0.0000,0.2905
128,0.02540,0.01482,0.00204,0.00853,0.31126,0.0000,0.0000,0.2492
129,0.01751,0.01209,0.00077,0.00464,0.31451,0.0000,0.0000,0.2570
130,0.01247,0.00843,0.00214,0.00189,0.31663,0.0000,0.0000,0.1579
131,0.01577,0.01039,0.00405,0.00133,0.31776,0.0000,0.0000,0.1035
132,0.02088,0.01451,0.00538,0.00100,0.31820,0.0000,0.0000,0.0607
133,0.02411,0.01658,0.00723,0.00030,0.31825,0.0000,0.0000,0.0473
134,0.02759,0.01475,0.00964,0.00321,0.31809,0.0000,0.0000,0.0633
135,0.02906,0.01187,0.01059,0.00659,0.31771,0.0000,0.0000,0.1010
136,0.03101,0.01171,0.01032,0.00898,0.31699,0.0000,0.0000,0.1321
137,0.03367,0.01340,0.01001,0.01026,0.31572,0.0000,0.0000,0.1531
138,0.03445,0.01533,0.00850,0.01061,0.31383,0.0000,0.0000,0.1660
139,0.03394,0.01607,0.00746,0.01042,0.31147,0.0000,0.0000,0.1420
140,0.03618,0.01547,0.00991,0.01079,0.30927,0.0000,0.0000,0.1175
141,0.03646,0.01245,0.01323,0.01078,0.30803,0.0000,0.0000,0.1216
142,0.02772,0.00513,0.01439,0.00820,0.30841,0.0000,0.0000,0.1217
143,0.02125,0.00507,0.01090,0.00528,0.31002,0.0000,0.0000,0.1558
144,0.01838,0.00342,0.01015,0.00482,0.31279,0.0000,0.0000,0.1735
145,0.01690,0.00617,0.00754,0.00319,0.31492,0.0000,0.0000,0.1852
146,0.01155,0.00719,0.00315,0.00120,0.31587,0.0000,0.0000,0.1881
147,0.00849,0.00804,0.00040,0.00006,0.31580,0.0000,0.0000,0.1970
148,0.00768,0.00646,0.00034,0.00087,0.31509,0.0000,0.0000,0.1749
149,0.00964,0.00282,0.00315,0.00367,0.31410,0.0000,0.0000,0.1440
150,0.01685,0.00163,0.00847,0.00675,0.31293,0.0000,0.0000,0.1366
151,0.02365,0.00347,0.01181,0.00837,0.31163,0.0000,0.0000,0.1446
152,0.02825,0.00722,0.01296,0.00806,0.31017,0.0000,0.0000,0.1543
153,0.02721,0.00752,0.01212,0.00757,0.30848,0.0000,0.0000,0.1617
154,0.02487,0.00719,0.01100,0.00668,0.30644,0.0000,0.0000,0.1671
155,0.02366,0.00934,0.00988,0.00444,0.30409,0.0000,0.0000,0.1753
156,0.02545,0.01531,0.00974,0.00039,0.30195,0.0000,0.0000,0.1371
157,0.03784,0.02270,0.01474,0.00040,0.30115,0.0000,0.0000,0.2027
158,0.03598,0.02113,0.01289,0.00197,0.30208,0.0000,0.0000,0.2905
159,0.03122,0.01577,0.00955,0.00590,0.30447,0.0000,0.0000,0.2774
160,0.02992,0.00905,0.00942,0.01144,0.30817,0.0000,0.0000,0.2234
161,0.02876,0.00636,0.00613,0.01627,0.31130,0.0000,0.0000,0.2017
162,0.03317,0.00521,0.00698,0.02098,0.31329,0.0000,0.0000,0.1224
163,0.03755,0.00599,0.00703,0.02453,0.31422,0.0000,0.0000,0.1082
164,0.04084,0.00607,0.00746,0.02731,0.31435,0.0000,0.0000,0.1167
165,0.04120,0.00311,0.00884,0.02925,0.31400,0.0000,0.0000,0.1181
166,0.04518,0.00279,0.01136,0.03104,0.31342,0.0000,0.0000,0.1129
167,0.04599,0.00348,0.01038,0.03213,0.31261,0.0000,0.0000,0.1270
168,0.04401,0.00428,0.00705,0.03268,0.31145,0.0000,0.0000,0.1361
169,0.04364,0.00735,0.00324,0.03305,0.30981,0.0000,0.0000,0.1252
170,0.04402,0.01053,0.00036,0.03314,0.30762,0.0000,0.0000,0.1035
171,0.04925,0.01459,0.00152,0.03313,0.30493,0.0000,0.0000,0.0998
172,0.05285,0.01902,0.00011,0.03373,0.30246,0.0000,0.0000,0.1467
