attempt,step,time_s,phase,jaw_centre_error_m,lateral_error_m,along_error_m,tip_goal_error_m,jaw_command_m,approach_elevation_deg,jaw_tilt_deg,base_height_m,base_shift_m,base_yaw_deg,finger_contact_n,forearm_contact_n,fell,cup_lift_m,cup_tilt_deg
0,17,0.34,spawn,0.00891,0.00324,0.0083,0.00872,0.0108,7.88,81.89,0.3159,0.0165,-0.271,0.0,0.0,0,0.0,0.0
1,17,0.34,spawn,0.00892,0.00326,0.0083,0.00873,0.0108,7.88,81.89,0.3159,0.0165,-0.271,0.0,0.0,0,0.0,0.0
2,17,0.34,spawn,0.00893,0.00326,0.00831,0.00873,0.0108,7.88,81.89,0.3159,0.0165,-0.271,0.0,0.0,0,0.0,0.0
3,17,0.34,spawn,0.00889,0.00325,0.00828,0.0087,0.0108,7.88,81.89,0.3159,0.0165,-0.27,0.0,0.0,0,0.0,0.0
0,18,0.36,spawn,0.01142,0.00429,0.01059,0.01158,0.0114,6.97,80.21,0.3157,0.0173,-0.293,0.0,0.0,0,0.0,0.0
1,18,0.36,spawn,0.01143,0.00431,0.01058,0.01158,0.0114,6.97,80.2,0.3157,0.0173,-0.292,0.0,0.0,0,0.0,0.0
2,18,0.36,spawn,0.01144,0.00431,0.0106,0.01159,0.0114,6.97,80.21,0.3157,0.0173,-0.293,0.0,0.0,0,0.0,0.0
3,18,0.36,spawn,0.0114,0.0043,0.01056,0.01156,0.0114,6.97,80.2,0.3157,0.0173,-0.292,0.0,0.0,0,0.0,0.0
0,19,0.38,spawn,0.01344,0.00388,0.01287,0.0136,0.012,5.98,76.92,0.3155,0.018,-0.275,0.0,0.0,0,0.0,0.0
1,19,0.38,spawn,0.01343,0.00387,0.01286,0.01358,0.012,5.98,76.91,0.3155,0.018,-0.274,0.0,0.0,0,0.0,0.0
2,19,0.38,spawn,0.01345,0.00389,0.01287,0.0136,0.012,5.98,76.92,0.3155,0.018,-0.275,0.0,0.0,0,0.0,0.0
3,19,0.38,spawn,0.01341,0.00387,0.01284,0.01357,0.012,5.98,76.91,0.3155,0.018,-0.274,0.0,0.0,0,0.0,0.0
0,20,0.4,spawn,0.01544,0.00346,0.01504,0.01544,0.0126,4.94,72.92,0.3154,0.0187,-0.234,0.0,0.0,0,0.0,0.0
1,20,0.4,spawn,0.01543,0.00345,0.01504,0.01543,0.0126,4.94,72.92,0.3154,0.0187,-0.234,0.0,0.0,0,0.0,0.0
2,20,0.4,spawn,0.01544,0.00345,0.01505,0.01544,0.0126,4.94,72.92,0.3154,0.0187,-0.234,0.0,0.0,0,0.0,0.0
3,20,0.4,spawn,0.0154,0.00343,0.01501,0.0154,0.0126,4.94,72.92,0.3154,0.0187,-0.234,0.0,0.0,0,0.0,0.0
0,21,0.42,spawn,0.01798,0.00643,0.0168,0.01809,0.0132,4.02,69.12,0.3152,0.0194,-0.213,0.0,0.0,0,0.0,0.0
1,21,0.42,spawn,0.01799,0.00646,0.01679,0.01809,0.0132,4.02,69.1,0.3152,0.0194,-0.213,0.0,0.0,0,0.0,0.0
2,21,0.42,spawn,0.01799,0.00645,0.0168,0.0181,0.0132,4.02,69.11,0.3152,0.0194,-0.213,0.0,0.0,0,0.0,0.0
3,21,0.42,spawn,0.01795,0.00642,0.01676,0.01805,0.0132,4.02,69.11,0.3152,0.0194,-0.212,0.0,0.0,0,0.0,0.0
0,22,0.44,spawn,0.01868,0.00715,0.01726,0.0191,0.0138,4.17,74.08,0.3151,0.0199,-0.149,0.0,0.0,0,0.0,0.0
1,22,0.44,spawn,0.01868,0.00715,0.01726,0.0191,0.0138,4.18,74.06,0.3151,0.0199,-0.149,0.0,0.0,0,0.0,0.0
2,22,0.44,spawn,0.01869,0.00716,0.01726,0.01911,0.0138,4.17,74.08,0.3151,0.0199,-0.149,0.0,0.0,0,0.0,0.0
3,22,0.44,spawn,0.01865,0.00715,0.01722,0.01906,0.0138,4.17,74.07,0.315,0.0199,-0.149,0.0,0.0,0,0.0,0.0
0,23,0.46,spawn,0.02183,0.01385,0.01687,0.02257,0.0144,3.99,79.22,0.3149,0.0205,-0.142,0.0,0.0,0,0.0,0.0
1,23,0.46,spawn,0.02185,0.01388,0.01688,0.02259,0.0144,3.99,79.2,0.3149,0.0205,-0.142,0.0,0.0,0,0.0,0.0
2,23,0.46,spawn,0.02185,0.01387,0.01688,0.02259,0.0144,3.99,79.21,0.3149,0.0205,-0.142,0.0,0.0,0,0.0,0.0
3,23,0.46,spawn,0.02182,0.01386,0.01685,0.02256,0.0144,3.99,79.21,0.3149,0.0205,-0.142,0.0,0.0,0,0.0,0.0
0,24,0.48,spawn,0.02171,0.01334,0.01713,0.02331,0.015,3.26,84.53,0.3148,0.0211,-0.078,0.0,0.0,0,0.0,0.0
1,24,0.48,spawn,0.02174,0.01338,0.01714,0.02334,0.015,3.26,84.52,0.3148,0.0211,-0.078,0.0,0.0,0,0.0,0.0
2,24,0.48,spawn,0.02173,0.01336,0.01714,0.02333,0.015,3.26,84.53,0.3148,0.0211,-0.078,0.0,0.0,0,0.0,0.0
3,24,0.48,spawn,0.0217,0.01334,0.01711,0.0233,0.015,3.26,84.53,0.3148,0.0211,-0.077,0.0,0.0,0,0.0,0.0
0,25,0.5,spawn,0.02101,0.00932,0.01883,0.02291,0.0156,3.17,85.79,0.3148,0.0217,-0.016,0.0,0.0,0,0.0,0.0
1,25,0.5,spawn,0.02103,0.00935,0.01884,0.02293,0.0156,3.17,85.76,0.3148,0.0217,-0.016,0.0,0.0,0,0.0,0.0
2,25,0.5,spawn,0.02102,0.00933,0.01884,0.02292,0.0156,3.17,85.78,0.3148,0.0217,-0.016,0.0,0.0,0,0.0,0.0
