step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/arm_torque_margin,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/fixture_force_tracking,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/mech_effort,Episode_Reward/mech_overspeed,Episode_Reward/mech_progress,Episode_Reward/mech_push,Episode_Reward/mech_torn,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_ee_orn_roll,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Mechanism/frontier_opened_ema,Mechanism/frontier_opened_fraction,Mechanism/latch_released_fraction,Mechanism/opened_fraction,Mechanism/opened_hinge,Mechanism/opened_pull,Mechanism/opened_push,Mechanism/opened_side,Mechanism/opened_up,Mechanism/peak_ceiling_n,Mechanism/torn_fraction,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
16020,1790265543.669,-0.05849899,-0.07166876,0.4650006,-0.01872597,-0.2992496,-0.001163713,-0.11,-0.02335301,-0.003265185,-0.1274232,-0.02022553,-0.0005373569,0,-0.0005339117,0.4493749,-0.007418708,0,0,-0.01709852,0.07157166,-0.02550657,-0.006011324,-0.05713425,-0.008271616,0.4427242,0,-0.05,0.2318546,0.1338824,-0.002654415,-0.001755358,0.2069637,0.3977419,0.1874992,0.5361239,0.0006083124,2.25e-05,15.81871,0.003499361,3.075307e-13,0.002818307,7.274134e-05,0.01276395,0.05,0.1,0,2.25e-05,-0.005335578,1.120974,0.04865516,0,1,0,0,0,0,0,0,60,0.5,1.23887,1.620991,34373,0.5903263,349.02,48.10348
16021,1790265546.534,-0.07713001,-0.09986141,0.5784997,-0.02175806,-0.3995067,-0.0008754417,-0.01,-0.0323786,-0.004243545,-0.05486981,-0.02828645,-0.0006774147,0,-0.001315554,0.5243334,-0.009515638,0,0,-0.02025551,0.1053398,-0.03775167,-0.009690056,-0.03786857,-0.07918565,0.4791073,0,-0.06666668,0.2926278,0.1678448,-0.002956364,-0.002034511,0.2733997,0.5133583,0.2341413,0.6638316,0.0005697479,2.25e-05,15.83051,0.003305377,2.589397e-13,0.002668616,6.701283e-05,0.01028596,0,0.05,0,2.25e-05,-0.004217352,0.8055508,0.0377375,0,1,0,0,0,0,0,0,60,0.6666667,1.225914,1.628628,34437,0.5906863,353.48,48.74833
16022,1790265549.373,-0.07596508,-0.08945554,0.6184992,-0.01824785,-0.2506761,-0.001267106,-0.03833334,-0.03473315,-0.004803432,-0.1505157,-0.03122468,-0.000727032,-0.007560001,-0.00119129,0.6322683,-0.01080908,-0.00964806,-0.001959994,-0.02240567,0.03384811,-0.03633185,-0.01331032,-0.07041924,-0.002993737,0.3468564,0,-0.06666668,0.3102102,0.0980925,-0.002615642,-0.001723033,0.3016775,0.483843,0.1998529,0.7032458,0.0005414061,3.375e-05,15.84485,0.003188181,2.237899e-13,0.002581727,6.504747e-05,0.01077597,0,0.1,0,3.375e-05,-0.006961073,0.7718666,0.02944283,0,0,0,0,0,0,0,0,60,1,1.223205,1.605334,34754,0.59122,379.18,51.89269
16023,1790265552.215,-0.1031213,-0.1270735,0.8639991,-0.02221846,-0.7593758,-0.001565972,-0.1899999,-0.04516862,-0.006350565,-0.0371738,-0.03594555,-0.0009700783,0,-0.0004730839,0.7932013,-0.01401841,0,0,-0.03291164,0.1399606,-0.0937395,-0.01430083,-0.06837539,-0.001839913,0.797399,0,0,0.4254635,0.2471329,-0.003637156,-0.002495434,0.377746,0.6844613,0.3479881,0.9833484,0.0005426552,3.375e-05,15.86119,0.003101066,1.95694e-13,0.002490157,6.825464e-05,0.01165123,0,0.05,0,3.375e-05,-0.007253023,0.6456286,0.05743565,0,nan,1,0,1,1,0,0,60,0,1.227715,1.603094,34726,0.59173,393.66,55.21654
16024,1790265555.053,-0.067183,-0.08218604,0.5429999,-0.01773612,-0.3607933,-0.0008548395,-0.005,-0.02723487,-0.004017777,-0.01342007,-0.02234089,-0.0006163511,0,-0.0009253075,0.4932504,-0.009209221,0,0,-0.01916001,0.1097102,-0.03310901,-0.007233314,-0.02241065,-0.02306336,0.4913494,0,0,0.2771083,0.158219,-0.003567341,-0.002303577,0.2351654,0.4828922,0.1704904,0.6252481,0.0005206141,3.375e-05,15.87534,0.00297622,1.741586e-13,0.002388817,6.678901e-05,0.009719791,0,0.05,0,3.375e-05,-0.007511543,0.5501596,0.114401,1,nan,0,0,0,1,0,0,60,0,1.207253,1.620037,34769,0.592128,407.2,57.24106
16025,1790265557.907,-0.07951229,-0.09961466,0.6325001,-0.02083987,-0.1857698,-0.001718055,-0.065,-0.03549054,-0.004769843,-0.1185057,-0.03032444,-0.000756944,-0.004420001,-0.0009563654,0.6346852,-0.0109382,-0.006167998,-0.008395767,-0.02157361,0.03825366,-0.04353276,-0.01223265,-0.04275314,-0.01091614,0.2189255,0,-0.03333334,0.3178387,0.1289894,-0.002864364,-0.001889998,0.2928829,0.5448215,0.2162029,0.6954657,0.0005106273,5.0625e-05,15.89015,0.003004007,1.507908e-13,0.002426966,6.641402e-05,0.01356769,0,0.1,0,5.0625e-05,-0.006699543,0.6057781,0.09440693,0,1,0,0,0,0,0,0,60,0.5,1.227118,1.616397,34571,0.5926777,460.14,63.35705
16026,1790265560.755,-0.07249269,-0.08829909,0.5730003,-0.02007392,-0.4056173,-0.002243494,-0.1357143,-0.02985712,-0.004191631,-0.3277867,-0.0238952,-0.0006361719,0,-0.0009839701,0.5420722,-0.009346677,0,0,-0.02096686,0.06230622,-0.04376414,-0.007074102,-0.07307823,-0.03226533,0.4286703,0,-0.07142858,0.283367,0.1642538,-0.003145499,-0.002092086,0.2693209,0.4405974,0.2231124,0.669172,0.0005091216,2.25e-05,15.90676,0.002931846,1.340681e-13,0.002358171,6.455366e-05,0.01466234,0.1,0.05,0,2.25e-05,-0.005469488,0.6303539,0.05369867,0,0.8000001,0,0,0,0,0,0,60,0.7142857,1.203367,1.62569,34747,0.5931255,485.48,66.86913
16027,1790265563.607,-0.08907728,-0.1086589,0.7705002,-0.01580261,-0.1707366,-0.001512334,-0.04333333,-0.03253719,-0.006111427,-0.1046603,-0.02268828,-0.0008981319,-0.006386669,-0.0007252113,0.8308207,-0.008979334,-0.00775433,0,-0.02574628,0.01336202,-0.05635148,-0.007343697,-0.004729361,0,0.1300557,0,0,0.403877,0.1640071,-0.002771053,-0.001618812,0.3955061,0.6670792,0.2378291,0.9418153,0.0004851199,3.375e-05,15.91845,0.002937696,1.231744e-13,0.002389968,6.260804e-05,0.0118885,0,0.1,0,3.375e-05,-0.006660325,0.6148714,0.03527317,0,0,0,0,0,0,0,0,60,0,1.221026,1.619372,34609,0.593496,471.63,66.76151
16028,1790265566.422,-0.1280963,-0.1610652,0.9712517,-0.03853106,-0.9779983,-0.005224763,-0.09750002,-0.06797232,-0.007167922,-0.3827969,-0.05810528,-0.001133328,0,-0.0008913795,0.8227794,-0.0175253,0,0,-0.04303937,0.09572405,-0.054659,-0.02361625,-0.3042139,-0.03240419,1.221433,0,0,0.4364873,0.2653713,-0.004794998,-0.003022363,0.4196025,0.4945842,0.3609178,1.111028,0.0004708529,1.5e-05,15.9319,0.002780344,1.121325e-13,0.0022465,6.299115e-05,0.01506903,0.15,0.1,0,1.5e-05,-0.006314983,0.5444613,0.02208387,0,1,0.5,0,0,0,1,0,60,0,1.197957,1.606788,35049,0.5939071,492.95,69.4231
16029,1790265569.264,-0.1071612,-0.1273932,0.7679979,-0.0247261,-0.5935799,-0.002788864,-0.1,-0.05077153,-0.005405141,-0.05954606,-0.0483862,-0.0008984922,0,-0.001702416,0.6275012,-0.01237487,0,0,-0.02717531,0.1067767,-0.03625615,-0.02360256,-0.2044922,-0.1565672,0.7072539,0,-0.1,0.3673764,0.2165829,-0.005243634,-0.00357585,0.3619665,0.5366336,0.2353791,0.869131,0.0004735178,2.25e-05,15.94164,0.002848411,9.991572e-14,0.002312239,6.265346e-05,0.01299961,0,0.1,0,2.25e-05,-0.007063274,0.4876513,0.1535153,0,1,0,0,0,1,0,0,60,1,1.201583,1.628233,34738,0.5942124,537.32,74.81635
