step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_ee_orn_roll,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
20,1790175066.218,-0.2378443,-0.2645279,0.7277128,-0.0435359,-0.004214576,-0.1492857,-0.08462312,-0.01057614,-0.0005191019,-0.05928836,-0.00101002,-0.02318572,-0.0009812954,0.5110146,-0.0190449,-0.02461157,0,-0.02801923,-0.04323562,-0.02834871,0.3770115,0.05591308,-0.00280379,-0.002093362,0.1859657,0.5099993,0.2437624,0.5174687,0.004890228,0.0006666667,25.62579,0.008833136,0.0007242514,0.0009389039,0.002279754,0.0127284,0,0.15,0,0.0006666667,-0.02586276,0.1532764,0.9758241,1.547721,38954,1.004504,461.57,40.56689
21,1790175068.756,-0.2567848,-0.2819818,0.7919978,-0.04562214,-0.004491438,-0.1824999,-0.0843789,-0.01168224,-0.0001522001,-0.05969359,-0.001100196,-0.02448,-0.0007575684,0.5934175,-0.02080899,-0.02510425,0,-0.02847592,-0.04468016,-0.02864487,0.4106358,0.07306539,-0.003016363,-0.002316088,0.2060304,0.5425944,0.2375664,0.6256213,0.00472563,8.779149e-05,25.60155,0.00851673,0.0007002188,0.0009664499,0.002124431,0.016259,0.3,0.1,0,8.779149e-05,-0.02920969,0.1642266,0.9777875,1.55382,38830,1.003252,494.34,45.09645
22,1790175071.300,-0.2677368,-0.2956739,0.8182482,-0.04603156,-0.005761708,-0.1849999,-0.09249607,-0.01176451,0,-0.06334879,-0.001137727,-0.029,-0.001062859,0.5648254,-0.02065009,-0.03168993,-0.0007945822,-0.03366431,-0.05703811,-0.03354459,0.4200552,0.03858685,-0.003239104,-0.002424163,0.2213777,0.5700003,0.24126,0.6757069,0.004707871,0.0004444444,25.57999,0.008187042,0.0006159947,0.0008325193,0.002030657,0.009821407,0,0.25,0,0.0004444444,-0.02115992,0.1453234,0.9694011,1.56722,38753,1.00168,499,45.14905
23,1790175073.838,-0.2844218,-0.3044609,0.8639991,-0.05056573,-0.005641016,-0.165,-0.09602793,-0.01254626,-0.001528238,-0.06691876,-0.001203261,-0.026608,-0.001011292,0.6065208,-0.02249336,-0.0304935,0,-0.03287747,-0.05616089,-0.02851389,0.4441514,0.05748565,-0.003295402,-0.002557972,0.2275404,0.5363407,0.3209525,0.6719383,0.004597055,0.0004444444,25.55008,0.00789105,0.0005603271,0.0007647235,0.001968944,0.01363186,0.05,0.1,0,0.0004444444,-0.0263621,0.1328891,0.9703386,1.560888,38836,1.000582,533.34,46.66393
24,1790175076.385,-0.2926736,-0.3321135,0.9,-0.05627317,-0.00538774,-0.13,-0.1009892,-0.01324372,-0.008477909,-0.07095508,-0.001253809,-0.02310666,-0.001080712,0.7049183,-0.02442189,-0.02483213,0,-0.03277218,-0.05744777,-0.03280045,0.464607,0.1093873,-0.0034828,-0.002599117,0.2255707,0.5756598,0.2649522,0.7656212,0.004539597,0.0002962963,25.51769,0.007718531,0.0005506523,0.0007515574,0.001876724,0.0158262,0.15,0.15,0,0.0002962963,-0.02848218,0.1269241,0.9777517,1.563029,38690,0.9981757,542.81,49.49598
25,1790175078.919,-0.2871811,-0.3214009,0.871,-0.05014306,-0.005603272,-0.12,-0.1052997,-0.01293747,-0.0001855161,-0.07311782,-0.001218171,-0.03806001,-0.001516425,0.5347335,-0.02257144,-0.04069631,-0.001422818,-0.03615842,-0.05849522,-0.0293116,0.4504372,0,-0.003474889,-0.002458027,0.229816,0.5440584,0.2319102,0.5627141,0.004433452,0.0004444444,25.47505,0.007520247,0.0005350281,0.0007085453,0.001843222,0.01322294,0.05,0.15,0,0.0004444444,-0.02769683,0.1131353,0.9685938,1.558565,38899,0.9957001,593.21,52.33492
26,1790175081.471,-0.3225559,-0.3516012,0.9720016,-0.05744943,-0.005825558,-0.2112499,-0.1054856,-0.01407227,-0.001351808,-0.07358535,-0.001357384,-0.02561,-0.0009396273,0.7191268,-0.02618479,-0.03131574,0,-0.03506565,-0.05390628,-0.03200848,0.5016711,0.08219939,-0.003712175,-0.002863385,0.2592865,0.6167932,0.2940569,0.7365381,0.004321223,0.0006666667,25.43918,0.007265042,0.0005270003,0.0006756862,0.001741132,0.01349156,0,0.1,0,0.0006666667,-0.02751679,0.1156733,0.9803243,1.564,38636,0.9942056,588.62,52.95869
27,1790175083.998,-0.3017246,-0.3202637,0.9112518,-0.05832112,-0.005543446,-0.1491666,-0.1091049,-0.01318868,-0.01859168,-0.07669862,-0.001266221,-0.03045,-0.001679472,0.6356345,-0.02354262,-0.03091391,-0.001179312,-0.03740685,-0.05964148,-0.03055116,0.4713181,0.07397084,-0.003577396,-0.002580774,0.2305696,0.5392607,0.2645752,0.7671768,0.004264883,0.0002962963,25.40065,0.00716453,0.0005208998,0.0006869962,0.001691751,0.01676112,0.15,0.1,0,0.0002962963,-0.02968408,0.1066623,0.9614663,1.558806,39005,0.9921039,623.99,55.89014
28,1790175086.533,-0.3459381,-0.3743196,1.044003,-0.06100272,-0.006202384,-0.1933333,-0.1151609,-0.0148673,-0.0001011902,-0.08091682,-0.001453438,-0.03567333,-0.001130244,0.7227182,-0.02813005,-0.04195803,0,-0.03842655,-0.05841416,-0.0317022,0.5392331,0.03690224,-0.003961905,-0.003030242,0.2790717,0.6913702,0.256109,0.7961809,0.004168213,0.0002962963,25.36589,0.006895502,0.0004820713,0.0006294977,0.00161572,0.0134334,0.1,0.15,0,0.0002962963,-0.02864487,0.08280562,0.9619093,1.559846,38982,0.9897189,653.59,57.28774
29,1790175089.070,-0.3379484,-0.3933161,1.080004,-0.06271073,-0.005088217,-0.015,-0.1212053,-0.01514792,-0.000232116,-0.08662714,-0.001495076,-0.04862,-0.002109277,0.6970514,-0.02960521,-0.05354531,0,-0.03797983,-0.05655296,-0.02954939,0.570673,0,-0.004130556,-0.002827736,0.2625813,0.7071964,0.1864241,0.7866969,0.004144458,0.0002962963,25.32062,0.00677239,0.0004790621,0.0005720306,0.00157684,0.01405443,0.1,0.15,0,0.0002962963,-0.02813798,0.08653464,0.9682758,1.563428,38829,0.9871823,684.95,60.90446
30,1790175091.617,-0.3641945,-0.3976709,1.116005,-0.06772723,-0.00622671,-0.1812499,-0.126102,-0.0157899,-0.001637712,-0.08866517,-0.001554124,-0.02892,-0.001701861,0.8748902,-0.02977546,-0.0306389,0,-0.04140378,-0.06022538,-0.03658783,0.5778756,0.1357805,-0.004276583,-0.003143928,0.277737,0.7338206,0.2735711,0.9140656,0.004027568,0.0002962963,25.26507,0.006576341,0.0004541063,0.0005454629,0.001549204,0.0139085,0.1,0.15,0,0.0002962963,-0.02992362,0.08852418,0.9600675,1.57304,38807,0.9838779,711.33,63.58195
31,1790175094.151,-0.3355857,-0.3466264,1.021003,-0.06124006,-0.006274668,-0.09999996,-0.1243118,-0.01419419,-0.001120163,-0.08584615,-0.001416627,-0.03689334,-0.002009596,0.711985,-0.02596475,-0.03707276,-0.005129016,-0.04407027,-0.07100448,-0.03165302,0.5290548,0.07603855,-0.004048162,-0.002812178,0.2570368,0.6706547,0.3090665,0.6794633,0.00403522,0.0001975309,25.20509,0.006531182,0.0004237677,0.0005261097,0.001546085,0.01411583,0.15,0.15,0,0.0001975309,-0.03022058,0.08690391,0.9593596,1.567791,38899,0.9806475,741.77,68.07593
32,1790175096.704,-0.3700274,-0.4067369,1.140605,-0.07108991,-0.006659586,-0.1509999,-0.1295983,-0.01612206,-0.0005258615,-0.09186815,-0.001589722,-0.039752,-0.00174133,0.816723,-0.02978062,-0.04295113,-0.0005145147,-0.04299863,-0.06759169,-0.04005409,0.5904033,0.06987981,-0.004374412,-0.003154369,0.3044119,0.7547662,0.2942781,0.9697437,0.003906144,0.0004444444,25.14991,0.006354399,0.0004085619,0.0004973515,0.001542341,0.01061153,0,0.15,0,0.0004444444,-0.02584544,0.08846729,0.9684813,1.577505,38611,0.9771003,770.46,69.14191
