step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/arm_torque_margin,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/fixture_force_tracking,Episode_Reward/fixture_lost,Episode_Reward/fixture_seat,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_ee_orn_roll,Episode_Reward/tracking_lin_vel_force_world,Fixture/force_ceiling_n,Fixture/lost_backed_off_fraction,Fixture/lost_fraction,Fixture/lost_lifted_off_fraction,Fixture/lost_slid_off_fraction,Fixture/mean_error_n,Fixture/press_lost_fraction,Fixture/press_slip_radius_m,Fixture/relative_force_error,Fixture/relative_force_error_ema,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
14131,1790243785.860,-0.4183379,-0.5282062,0.7378315,-0.03443878,-0.3579566,-0.0004484143,-0.001666667,-0.1586916,-0.004513199,-0.01619322,-0.106729,-0.000952488,-0.009124445,-0.001995119,0.6446956,-0.02237705,-0.004842413,-0.002180742,-0.02218939,0.2184485,-0.01111111,-0.1537599,-0.03353273,-0.01580795,0.3917119,0.1673885,-0.004512182,-0.003941553,0.2672419,0.6501485,0.3482611,0.8465424,35,0.1428572,0.1428572,0,0.2857143,3.908631,0.9526185,0.15,0.2728243,0.3698171,0.001085191,0.0001708594,31.69624,0.002517076,4.425644e-13,0.001257258,0.0001746257,0.01131896,0,0.1,0,0.0001708594,-0.01697089,0.1371225,1.315991,1.551559,34281,1.442399,450.95,42.1078
14132,1790243788.740,-0.4391584,-0.5521228,0.7867482,-0.03891526,-0.4695355,-0.0005692515,-0.015,-0.1611259,-0.004163743,-0.02292755,-0.1076802,-0.001024724,0,-0.001507504,0.6495762,-0.02223798,0,0,-0.02537889,0.249024,0,-0.3075706,-0.04339582,-0.01919135,0.4111807,0.2320801,-0.004744268,-0.004226463,0.2863736,0.6843111,0.3154367,0.8876404,35,0,0,0,0.5,7.40518,0.9526185,0.15,0.3947779,0.3859523,0.001077488,0.0001708594,31.665,0.002674669,4.338832e-13,0.001384002,0.000213178,0.01480064,0.05,0.1,0,0.0001708594,-0.01465485,0.1927577,1.328352,1.54026,34268,1.440602,450.98,42.70544
14133,1790243791.597,-0.4961564,-0.6120426,0.8639991,-0.0383008,-0.284519,-0.0004789388,-0.001666667,-0.1856418,-0.005716828,-0.01052026,-0.1233495,-0.001135969,-0.007713334,-0.002067115,0.7661189,-0.02616618,-0.004796645,-0.0005495849,-0.02522165,0.1683796,0,-0.2717454,-0.03980391,-0.01812661,0.4586572,0.2084515,-0.005043597,-0.00460231,0.3107411,0.736921,0.4203448,0.9927667,35,0,0,0,0.5,2.095867,0.9526185,0.15,0.3606859,0.3511051,0.001094799,0.0001139063,31.63795,0.002692141,4.558397e-13,0.001381609,0.0002157323,0.01508837,0.1,0.1,0,0.0001139063,-0.01690304,0.1553021,1.306118,1.539482,34545,1.437888,479.24,45.41543
14134,1790243794.480,-0.4472483,-0.5642633,0.800625,-0.04261569,-0.001890161,-0.0005390259,-0.00375,-0.1945469,-0.005082165,-0.02043571,-0.1314737,-0.001057026,-0.02191,-0.002605699,0.758265,-0.0229942,-0.01314357,-0.00848478,-0.02310502,0.003350434,0,-0.2244612,-0.03392237,-0.01902786,0.4272843,0.09552495,-0.00537795,-0.004776222,0.285575,0.6588175,0.3727348,0.9042963,35,1,0,0,0,9.329065,0.9526185,0.15,0.3425233,0.3488067,0.001088102,0.0001139063,31.61276,0.002600241,4.402808e-13,0.001313469,0.0001986699,0.01188502,0.05,0.1,0,0.0001139063,-0.01177583,0.2092494,1.314952,1.556805,34231,1.436865,487.9,45.07823
14135,1790243797.371,-0.5215667,-0.6806743,0.9360008,-0.04105441,-0.319228,-0.001132122,-0.001428572,-0.1956712,-0.00575792,-0.0700814,-0.130224,-0.001237736,-0.01022857,-0.002637704,0.8060026,-0.02873952,-0.005207074,-0.001079411,-0.02955054,0.1822207,0,-0.3934175,-0.05492457,-0.02171461,0.4937546,0.2229767,-0.005587063,-0.004906626,0.3317559,0.7721056,0.3775979,1.064135,35,0.2,0,0,0.4,4.837638,0.9526185,0.15,0.3561119,0.3836817,0.001068554,0.0001708594,31.59431,0.002687399,4.386973e-13,0.001424098,0.0001947466,0.01223337,0,0.1,0,0.0001708594,-0.01543248,0.1694394,1.337017,1.541438,34151,1.434872,559.62,51.39864
14136,1790243800.261,-0.5430989,-0.6930715,0.9720016,-0.04477342,-0.06285135,-0.0007214898,-0.00125,-0.2068862,-0.005852602,-0.03377306,-0.1422162,-0.001300593,-0.013005,-0.003041686,0.8725285,-0.0297915,-0.008816453,-0.001315732,-0.02834575,0.02702646,0,-0.4191256,-0.04724499,-0.0237034,0.5157405,0.2013604,-0.005790127,-0.005257675,0.345758,0.7930772,0.4455057,1.091959,35,0.5,0,0,0.5,11.5122,0.9526185,0.15,0.7409267,0.4249557,0.001072078,0.0001708594,31.56791,0.002429745,4.325237e-13,0.001172749,0.0001849184,0.01398595,0,0.05,0,0.0001708594,-0.01390673,0.1865799,1.323463,1.55394,34164,1.433069,516.22,48.39164
14137,1790243803.262,-0.4957688,-0.6478208,0.9007522,-0.04068936,-0.2107785,-0.0006218857,0,-0.190079,-0.005430031,-0.05645999,-0.1288479,-0.001173296,-0.01152333,-0.002587633,0.8030947,-0.02615099,-0.006440084,-0.001374727,-0.02601176,0.1322051,-0.01666667,-0.300647,-0.04226967,-0.02247632,0.4795334,0.2001217,-0.00575446,-0.004906546,0.3296406,0.7640933,0.4149449,1.029726,35,0.25,0.25,0.25,0.25,2.332981,0.9526185,0.15,0.3262545,0.3567477,0.001045624,0.0001708594,31.54443,0.002298912,4.433229e-13,0.001073411,0.0001798773,0.0130859,0,0.05,0,0.0001708594,-0.0145586,0.1743922,1.348476,1.640762,32885,1.431313,539.85,51.07337
14138,1790243806.143,-0.3823887,-0.4950883,0.6945021,-0.03302079,-0.02911559,-0.0003040791,0,-0.1428909,-0.003745692,-0.05131195,-0.09643969,-0.0009335122,-0.006140001,-0.002082989,0.6123768,-0.02022591,-0.003387605,-0.003621635,-0.01933116,0.02883363,-0.05,-0.003357743,-0.03005604,-0.0141183,0.3742167,0.1645486,-0.004071169,-0.003671036,0.2430291,0.5164486,0.2859704,0.7786187,35,0,1,0,1,1.310481,0.9526185,0.15,0.2631252,0.3132784,0.001054841,0.0001139063,31.52335,0.002651653,4.354231e-13,0.00146089,0.0001359232,0.01392882,0.1,0.1,0,0.0001139063,-0.01353108,0.1918154,1.321156,1.547486,34268,1.430043,563.78,53.70306
14139,1790243809.015,-0.4591994,-0.5617747,0.8130029,-0.04197426,-0.3797398,-0.0004569576,-0.001666667,-0.1805907,-0.00511073,-0.01368394,-0.1245947,-0.001047233,-0.01592,-0.002504019,0.760304,-0.02405584,-0.009851569,-0.00333586,-0.02469158,0.276854,-0.03333334,-0.004617413,-0.03715623,-0.01845727,0.4314774,0.1350016,-0.005329396,-0.004633969,0.2965522,0.7693052,0.3909338,0.930078,35,0,0.5,0.5,0,2.807412,0.9526185,0.15,0.2130278,0.3450822,0.001047316,0.0001708594,31.50516,0.002700231,4.263422e-13,0.001442518,0.0002103976,0.01142406,0,0.1,0,0.0001708594,-0.01547684,0.1572186,1.320076,1.539043,34382,1.428134,605.56,58.63362
14140,1790243811.888,-0.6337463,-0.793101,1.116005,-0.05702935,-0.7098858,-0.0007664993,0,-0.2455693,-0.007156508,-0.05182704,-0.1653307,-0.001407199,-0.018904,-0.00335011,1.015585,-0.03378672,-0.01100379,-0.003059119,-0.03514207,0.4578268,0,-0.01174808,-0.05394241,-0.0241759,0.5887343,0.2214123,-0.007068142,-0.006126984,0.410439,1.055167,0.4817032,1.294809,35,0,0,0,0,3.970836,0.9526185,0.15,0.2635772,0.355738,0.001006461,0.0001708594,31.47712,0.002693766,4.184164e-13,0.001510748,0.0001765573,0.01343698,0,0.05,0,0.0001708594,-0.01428593,0.1801825,1.319499,1.541588,34358,1.426111,584.14,55.11014
