step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/arm_torque_margin,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/mech_effort,Episode_Reward/mech_overspeed,Episode_Reward/mech_progress,Episode_Reward/mech_torn,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_ee_orn_roll,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Mechanism/frontier_opened_ema,Mechanism/frontier_opened_fraction,Mechanism/latch_released_fraction,Mechanism/opened_fraction,Mechanism/opened_hinge,Mechanism/opened_pull,Mechanism/opened_push,Mechanism/opened_side,Mechanism/opened_up,Mechanism/peak_ceiling_n,Mechanism/torn_fraction,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
13020,1790256285.896,-0.3373799,-0.4383821,0.7559981,-0.03048947,-0.6338024,-0.002800351,-0.006666667,-0.1275027,-0.005038443,-0.01218554,-0.08229956,-0.0009562384,0,-0.001177622,0.6728177,-0.02138699,0,0,-0.02213866,-0.05232823,-0.01497086,-0.009047352,-3.877492e-05,0.6449765,0,0.3921326,0.2220812,-0.003484624,-0.002892928,0.2892113,0.8498799,0.3372014,0.8953704,0.0007532743,0.0001139063,29.54559,0.003486081,1.614808e-10,0.002635722,9.708547e-05,0.009963815,0,0.1,0,0.0001139063,-0.01235095,0.4882108,0.5250416,0,1,0,0,1,1,0,0,15,0,1.258981,1.557602,34901,1.27934,493.6,63.7376
13021,1790256288.757,-0.348564,-0.449499,0.7919978,-0.03145436,-0.7264649,-0.002220809,-0.0225,-0.1237413,-0.0051052,-0.01385953,-0.0804233,-0.0009822377,0,-0.001601398,0.7103639,-0.02245275,0,0,-0.02199254,-0.04582764,-0.01379522,-0.01072068,-0.002701212,0.7732514,0,0.4159738,0.2341665,-0.003509597,-0.002935447,0.2965284,0.8707635,0.3061059,0.9471657,0.0007593081,0.0001139063,29.54339,0.003447012,1.575693e-10,0.002591556,9.614771e-05,0.009249643,0,0.05,0,0.0001139063,-0.01214908,0.3813951,0.549014,0.5,1,0.75,0.5,1,1,1,0,15,0,1.307742,1.540289,34516,1.279221,513.02,66.92
13022,1790256291.781,-0.3751342,-0.4741861,0.8279983,-0.03795566,-0.7153475,-0.002016669,0,-0.1380321,-0.005260135,-0.01576761,-0.08958201,-0.001035642,0,-0.001526222,0.7309015,-0.02351046,0,0,-0.02336231,-0.0412823,-0.01541492,-0.01009209,-0.001740076,1.018721,0,0.432032,0.2440378,-0.003899565,-0.0031716,0.3175076,0.9614309,0.3015767,0.9854016,0.0007488782,0.0001708594,29.54136,0.00345559,1.614196e-10,0.002608654,9.805698e-05,0.01296157,0,0.1,0,0.0001708594,-0.01345917,0.3769568,0.6123849,1,1,1,1,1,1,0.5,1,15,0,1.370863,1.639108,32659,1.279042,539.59,70.12698
13023,1790256294.861,-0.3931219,-0.4888146,0.8639991,-0.03724897,-0.8374919,-0.002100041,-0.001666667,-0.1416007,-0.005608048,-0.01194275,-0.09123149,-0.001059155,0,-0.001322305,0.7794435,-0.0251848,0,0,-0.02410261,-0.04301103,-0.01457744,-0.01190761,-0.003760122,1.084614,0,0.4525593,0.2551464,-0.00393219,-0.003335372,0.3324658,1.001265,0.386476,1.034637,0.0007591926,7.59375e-05,29.53759,0.003416314,2.893733e-10,0.002557835,9.928644e-05,0.01069296,0.1,0.05,0,7.59375e-05,-0.00770998,0.2991762,0.5649974,1,1,0.8333334,0.8000001,1,1,0.5,0,15,0,1.402674,1.656668,32132,1.278757,562.99,72.36647
13024,1790256297.898,-0.4059374,-0.5086285,0.9,-0.0431796,-0.8339353,-0.003260378,-0.005833334,-0.1468014,-0.005712882,-0.003534769,-0.09501801,-0.00110318,0,-0.001487119,0.8303692,-0.02731622,0,0,-0.02609091,-0.05501288,-0.01607611,-0.009410783,-0.003376611,1.024441,0,0.4563528,0.2615133,-0.00411392,-0.003530723,0.3347794,1.020976,0.3850846,1.06938,0.000736059,0.0001139063,29.53103,0.003302667,2.104477e-10,0.002470401,9.620673e-05,0.01124964,0,0.1,0,0.0001139063,-0.01086105,0.2853132,0.6337817,1,1,1,1,1,1,1,0,15,0,1.468974,1.550661,32554,1.27823,587.79,76.91719
13025,1790256300.939,-0.4265993,-0.5383958,0.9360008,-0.04739608,-0.4290877,-0.000825408,0,-0.1853726,-0.006110578,-0.01004404,-0.1268283,-0.001219017,-0.01968,-0.001882179,0.9022038,-0.02397285,-0.0116465,-0.002484903,-0.0263084,-0.04791177,-0.01732032,-0.004880145,-0.0003733382,0.3884198,0,0.4969746,0.1394873,-0.005157663,-0.004658916,0.3661162,0.9814515,0.4217616,1.103427,0.0007412298,0.0001708594,29.52251,0.003334367,1.666235e-10,0.002495399,9.773772e-05,0.01316595,0,0.1,0,0.0001708594,-0.01216857,0.2548898,0.6702277,1,1,1,1,1,0.6666667,1,1,15,0,1.484816,1.5428,32469,1.277643,612.86,81.62749
13026,1790256303.983,-0.439933,-0.5600747,0.9720016,-0.04067919,-0.9871167,-0.004643975,0,-0.1626949,-0.005907423,-0.01034882,-0.1031373,-0.001206718,0,-0.001754108,0.8988537,-0.03031386,0,0,-0.03038842,-0.06901632,-0.01647939,-0.01810699,-0.001155664,0.7900643,0,0.4896263,0.2814721,-0.004334214,-0.003681097,0.3613988,1.044335,0.3535623,1.170322,0.0007538992,7.59375e-05,29.51717,0.003358833,1.871753e-10,0.002507063,9.787064e-05,0.01025319,0.1,0.05,0,7.59375e-05,-0.006438596,0.2097076,0.4704683,0,nan,0,0,1,0,0,0,20,0,1.460516,1.569242,32446,1.277369,637.35,82.32655
13027,1790256307.003,-0.4540694,-0.5885037,1.008003,-0.04555806,-0.7047958,-0.003257047,-0.004166667,-0.1701417,-0.006296692,-0.02644793,-0.1107418,-0.001278152,-0.007226666,-0.001803162,0.950538,-0.02943771,-0.003924546,-0.002297468,-0.02939742,-0.06281821,-0.01775865,-0.01050415,-0.002983549,0.6961498,0,0.5221148,0.251958,-0.004690427,-0.004050649,0.3901095,1.072126,0.4174584,1.192979,0.0007535146,0.0001139063,29.51061,0.003344084,1.68022e-10,0.002489101,0.0001014686,0.01009166,0,0.1,0,0.0001139063,-0.01109902,0.2227255,0.6007227,1,1,1,1,1,1,1,0.3333333,20,0,1.443444,1.562143,32707,1.276749,661.54,85.85461
13028,1790256310.065,-0.4773456,-0.5973626,1.044003,-0.04611235,-1.069134,-0.002385894,0,-0.1757393,-0.006770886,-0.007521756,-0.1126514,-0.001286272,0,-0.001787652,0.9305043,-0.02999811,0,0,-0.0307301,-0.05622339,-0.01763841,-0.01626664,-0.01339766,1.238919,0,0.5435542,0.3074099,-0.004776921,-0.004010539,0.3984358,1.237019,0.4455267,1.259879,0.0007625779,0.0001139063,29.50009,0.00335269,1.703375e-10,0.002485362,0.000104749,0.009008957,0,0.05,0,0.0001139063,-0.01251464,0.1970447,0.600577,1,1,1,0.8000001,1,0,0.3333333,1,20,0,1.46733,1.580599,32252,1.275887,686.5,89.3542
13029,1790256313.122,-0.4976293,-0.6179494,1.078504,-0.04773758,-0.5624804,-0.001751151,0,-0.1902851,-0.006620725,-0.01708677,-0.130589,-0.001372771,-0.01369,-0.001779003,1.033381,-0.02986512,-0.008227943,-0.009420356,-0.03187509,-0.05626686,-0.01894293,-0.006803051,-0.002004189,0.6813588,0,0.5641299,0.2143777,-0.005455394,-0.004920186,0.4189053,1.14645,0.4588858,1.230242,0.0007523168,0.0001139063,29.48457,0.003315023,1.80279e-10,0.002454852,0.0001078541,0.009058408,0,0.05,0,0.0001139063,-0.01350492,0.1584923,0.6510508,0,1,1,0.5,1,1,0,0,20,0,1.458742,1.585256,32294,1.274852,707.04,92.74019
