step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/arm_torque_margin,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/fixture_force_tracking,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/mech_effort,Episode_Reward/mech_overforce,Episode_Reward/mech_overspeed,Episode_Reward/mech_progress,Episode_Reward/mech_push,Episode_Reward/mech_torn,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_ee_orn_roll,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Mechanism/frontier_opened_ema,Mechanism/frontier_opened_fraction,Mechanism/latch_released_fraction,Mechanism/opened_fraction,Mechanism/opened_hinge,Mechanism/opened_pull,Mechanism/opened_push,Mechanism/opened_side,Mechanism/opened_up,Mechanism/peak_ceiling_n,Mechanism/torn_fraction,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
14519,1790285345.430,-0.1293994,-0.2047604,0.7007486,-0.01978734,-0.3700976,-0.0008678024,-0.001666667,-0.03694444,-0.005247918,-0.002925589,-0.02524105,-0.0008487717,-0.004199999,-0.0002617062,0.7703182,-0.01053564,-0.003878839,0,-0.01567104,0.08307739,-0.01911036,-0.006628091,-0.01620619,0,-0.002206174,0.4683356,0,0,0.3821532,0.1722661,-0.003059439,-0.001721092,0.3423235,0.7157816,0.3694986,0.8681361,0.000283915,7.59375e-05,21.26187,0.00162893,3.546681e-14,0.0013182,2.681444e-05,0.01085959,0,0.05,0,7.59375e-05,-0.01159258,0.1323967,0.6420757,0.5,0.5,0.75,0.5,1,0,1,0,80,0,1.234243,1.547477,35339,0.8093116,490.6,82.7375
14520,1790285348.251,-0.1499186,-0.2356033,0.7919978,-0.02539099,-0.6783621,-0.001715197,-0.03571428,-0.0398595,-0.006109717,-0.03472247,-0.02725387,-0.0009321043,0,-0.0002800305,0.8615597,-0.01352143,0,0,-0.01918103,0.2230704,-0.01995253,-0.007535954,-0.04478278,0,-0.006192948,0.8990692,0,0,0.4140199,0.2335664,-0.00369594,-0.002003108,0.3712414,0.7473299,0.4227476,0.9720773,0.0002780797,7.59375e-05,21.26266,0.001653377,3.306945e-14,0.001348858,2.643951e-05,0.01054814,0,0.05,0,7.59375e-05,-0.0112511,0.113677,0.7812642,0.8000001,1,0.8571429,1,1,1,0.6666667,0,80,0,1.241547,1.567221,34998,0.8092269,513.79,86.43642
14521,1790285351.053,-0.1518829,-0.2419365,0.8279983,-0.02182134,-0.298828,-0.001739822,-0.002,-0.05735138,-0.006080962,-0.01313411,-0.04100335,-0.001036501,-0.010924,-0.0005205553,0.9512541,-0.01246529,-0.01212813,0,-0.01791439,0.05813103,-0.02091961,-0.01050835,-0.006131049,0,-0.001241698,0.2656054,0,0,0.453024,0.1312691,-0.003288676,-0.00212221,0.4192209,0.8430218,0.3914934,1.034659,0.0002738197,5.0625e-05,21.26109,0.001633451,3.164702e-14,0.001332082,2.754972e-05,0.01028137,0.1,0.1,0,5.0625e-05,-0.008478104,0.1287961,0.7173769,1,1,0.5,0,0,1,1,0,80,0,1.249907,1.540295,35231,0.8092205,536.43,91.15696
14522,1790285353.862,-0.15748,-0.2533509,0.8639991,-0.02305778,-0.458535,-0.00186148,-0.002,-0.05359198,-0.006844656,-0.0183473,-0.03686145,-0.001051993,-0.007376002,-0.0004602472,0.9707848,-0.0132062,-0.007919683,0,-0.0190686,0.07442202,-0.02114691,-0.009313753,-0.01513744,0,-0.001490594,0.4698131,0,0,0.4707166,0.1779038,-0.003376313,-0.002036846,0.4286157,0.8061578,0.4610363,1.061142,0.0002674781,5.0625e-05,21.26102,0.001601535,3.02248e-14,0.001309306,2.475099e-05,0.008763107,0,0.05,0,5.0625e-05,-0.00971384,0.09772683,0.7137358,0.5,0,0.3333333,1,1,0,1,0,80,0,1.230349,1.566452,35148,0.8091812,563.89,95.33168
14523,1790285356.701,-0.1631566,-0.2600983,0.9,-0.02336445,-0.6432855,-0.001823647,-0.007000001,-0.04434301,-0.007223339,-0.007103465,-0.0299299,-0.001091507,-0.001896,-0.0001954237,0.9995453,-0.01398748,-0.002131857,0,-0.01962868,0.1588701,-0.02089698,-0.008397753,-0.01443429,0,-0.001966759,0.7140724,0,0,0.4863044,0.2470857,-0.003711918,-0.002108525,0.443496,0.86327,0.4853382,1.129099,0.0002678637,5.0625e-05,21.26091,0.0015791,2.763981e-14,0.001286752,2.448432e-05,0.01099493,0.05,0.1,0,5.0625e-05,-0.008391331,0.104562,0.6944152,0.5,0.6666667,0.5,0.5,1,1,1,0,80,0,1.259386,1.567747,34771,0.8091689,586.94,98.36562
14524,1790285359.469,-0.1820349,-0.2777122,0.9360008,-0.03030113,-0.8408434,-0.002562562,-0.01,-0.05210873,-0.007330241,-0.03488305,-0.03465258,-0.001099198,0,-0.000555677,1.030256,-0.01729805,0,0,-0.02399516,0.2872994,-0.03208174,-0.007628602,-0.03936263,0,-0.02811134,1.149684,0,0,0.476307,0.2724127,-0.004472024,-0.002767522,0.415982,0.9300313,0.5091159,1.120136,0.0002720048,7.59375e-05,21.25975,0.001626432,2.554303e-14,0.0013298,2.462725e-05,0.0111502,0,0.1,0,7.59375e-05,-0.01099947,0.1162296,0.7170483,1,1,1,1,1,0,1,0,80,0,1.225047,1.531698,35659,0.8090217,611.83,103.2467
14525,1790285362.269,-0.1810673,-0.2903952,0.9720016,-0.02726513,-0.6021299,-0.003648072,-0.048,-0.06907417,-0.007598813,-0.05889915,-0.04993483,-0.001187998,-0.011508,-0.0006367555,1.089957,-0.01554815,-0.0119429,-0.0001872023,-0.0247273,0.1836736,-0.03679019,-0.0135197,-0.02723958,0,-0.001802523,0.7291341,0,0,0.5075189,0.1693074,-0.004073333,-0.002705997,0.4550728,0.9295356,0.5039124,1.183149,0.000267948,0.0001139063,21.2574,0.001582489,2.327868e-14,0.001289337,2.520373e-05,0.01455696,0,0.1,0,0.0001139063,-0.01152879,0.1115295,0.6726447,0,nan,0.6666667,1,1,0.5,1,0,80,0,1.23003,1.558907,35247,0.8090424,628.22,105.1628
14526,1790285365.068,-0.1874944,-0.2821069,1.008003,-0.03119612,0,-0.001026329,0,-0.08205658,-0.007240745,-0.005010966,-0.06147902,-0.001223588,-0.02302,-0.001008513,1.139258,-0.0154463,-0.01768976,-0.0001548066,-0.02372422,0,-0.02669236,-0.01377249,0,0,0,0,0,0,0.5660185,0.1165312,-0.004061409,-0.002820227,0.5117278,0.9622378,0.4021796,1.193269,0.000259074,0.0001139063,21.25767,0.001611162,2.22368e-14,0.001328166,2.392168e-05,0.01408915,0,0.05,0,0.0001139063,-0.0111472,0.1023553,0.7971416,0.75,0.5,0.6666667,0.6,1,0.6666667,1,0,80,0,1.224733,1.563564,35255,0.8089111,655,113.0794
14527,1790285367.872,-0.1930793,-0.3080103,1.044003,-0.03334945,-0.9647059,-0.003562707,-0.009285716,-0.05229854,-0.00820288,-0.01027477,-0.03381567,-0.001219106,0,-0.0002308224,1.15253,-0.0173024,0,0,-0.02419136,0.2336756,-0.02645249,-0.009032546,-0.02963252,0,-0.008036999,1.288945,0,0,0.5435787,0.3073107,-0.004256467,-0.002340679,0.4881592,0.9389366,0.5525653,1.298197,0.0002647761,7.59375e-05,21.25626,0.001615863,2.124448e-14,0.00132701,2.407651e-05,0.01294364,0.05,0.05,0,7.59375e-05,-0.006450215,0.113052,0.7365605,0.75,1,0.7142857,1,1,1,1,0.3333333,80,0,1.231635,1.560298,35210,0.808915,683.27,118.2373
14528,1790285370.680,-0.201718,-0.3177126,1.080004,-0.03381694,-0.7356974,-0.002718237,-0.015,-0.06405877,-0.008524869,-0.1117572,-0.0461848,-0.001306184,-0.006940001,-0.0006068128,1.204926,-0.01808353,-0.006233705,0,-0.02457259,0.09069782,-0.03399321,-0.01125218,-0.04239582,0,-0.006354673,0.8323869,0,0,0.5700821,0.2486492,-0.005082696,-0.003143936,0.5171252,0.936907,0.5681885,1.312551,0.0002642877,7.59375e-05,21.25876,0.001594248,2.010323e-14,0.001306115,2.384512e-05,0.009650801,0,0.05,0,7.59375e-05,-0.01101308,0.1240286,0.7177457,0.5,0,0.5,1,1,1,1,0,80,0,1.245962,1.550305,35155,0.8091023,704.73,121.5452
14529,1790285373.524,-0.2072452,-0.3237175,1.116005,-0.02998673,-0.7567372,-0.001746623,-0.009166668,-0.06316803,-0.008817516,-0.007150417,-0.04406234,-0.001360426,-0.00626,-0.0006475518,1.217609,-0.01787702,-0.005548412,-3.116951e-07,-0.02630215,0.1579963,-0.02686023,-0.01346081,-0.0241593,0,-0.002101223,0.892766,0,0,0.6041123,0.2784087,-0.00469742,-0.002713267,0.5377495,1.018623,0.5800923,1.383338,0.0002643348,7.59375e-05,21.26253,0.001613951,1.934449e-14,0.001326578,2.303821e-05,0.01027978,0,0.05,0,7.59375e-05,-0.01000192,0.1289835,0.7396109,0.5,nan,0.5,0,1,0,1,0,80,0,1.263622,1.568507,34710,0.8093209,728.35,123.4494
