attempt,step,time_s,phase,jaw_centre_error_m,lateral_error_m,along_error_m,tip_goal_error_m,jaw_command_m,approach_elevation_deg,jaw_tilt_deg,base_height_m,fell,cup_lift_m,cup_tilt_deg
1,18,0.36,settle,0.11674,0.11166,-0.03407,0.11674,0.0114,-16.2,0.02,0.3258,0,0.0,0.0
2,18,0.36,settle,0.11674,0.11166,-0.03407,0.11674,0.0114,-16.2,0.02,0.3258,0,0.0,0.0
3,18,0.36,settle,0.11673,0.11165,-0.03407,0.11673,0.0114,-16.19,0.01,0.3258,0,0.0,0.0
0,19,0.38,settle,0.12067,0.11502,-0.03648,0.12067,0.012,-16.79,0.47,0.3261,0,0.0,0.0
1,19,0.38,settle,0.12068,0.11504,-0.03647,0.12068,0.012,-16.8,0.47,0.3261,0,0.0,0.0
2,19,0.38,settle,0.12068,0.11504,-0.03647,0.12068,0.012,-16.8,0.47,0.3261,0,0.0,0.0
3,19,0.38,settle,0.12063,0.11498,-0.03649,0.12063,0.012,-16.79,0.47,0.3261,0,0.0,0.0
0,20,0.4,settle,0.12642,0.12055,-0.0381,0.12642,0.0126,-17.69,0.86,0.3264,0,0.0,0.0
1,20,0.4,settle,0.12644,0.12057,-0.03808,0.12644,0.0126,-17.69,0.86,0.3264,0,0.0,0.0
2,20,0.4,settle,0.12643,0.12056,-0.03808,0.12643,0.0126,-17.69,0.86,0.3265,0,0.0,0.0
3,20,0.4,settle,0.12638,0.1205,-0.03811,0.12638,0.0126,-17.68,0.87,0.3264,0,0.0,0.0
0,21,0.42,settle,0.13218,0.126,-0.03996,0.13218,0.0132,-18.62,1.28,0.3267,0,0.0,0.0
1,21,0.42,settle,0.13219,0.12601,-0.03995,0.13219,0.0132,-18.62,1.28,0.3267,0,0.0,0.0
2,21,0.42,settle,0.13219,0.12601,-0.03995,0.13219,0.0132,-18.62,1.28,0.3267,0,0.0,0.0
3,21,0.42,settle,0.13216,0.12597,-0.03997,0.13216,0.0132,-18.62,1.29,0.3267,0,0.0,0.0
0,22,0.44,settle,0.13698,0.13032,-0.0422,0.13698,0.0138,-19.38,1.72,0.3269,0,0.0,0.0
1,22,0.44,settle,0.13698,0.13032,-0.04219,0.13698,0.0138,-19.38,1.72,0.3269,0,0.0,0.0
2,22,0.44,settle,0.13699,0.13033,-0.04219,0.13699,0.0138,-19.38,1.72,0.3269,0,0.0,0.0
3,22,0.44,settle,0.13696,0.1303,-0.04221,0.13696,0.0138,-19.38,1.73,0.3269,0,0.0,0.0
0,23,0.46,settle,0.14187,0.13476,-0.04434,0.14187,0.0144,-20.1,2.15,0.3271,0,0.0,0.0
1,23,0.46,settle,0.14187,0.13477,-0.04434,0.14187,0.0144,-20.1,2.15,0.3271,0,0.0,0.0
2,23,0.46,settle,0.14188,0.13478,-0.04434,0.14188,0.0144,-20.1,2.15,0.3271,0,0.0,0.0
3,23,0.46,settle,0.14186,0.13474,-0.04435,0.14186,0.0144,-20.1,2.15,0.3271,0,0.0,0.0
0,24,0.48,settle,0.14797,0.14057,-0.0462,0.14797,0.015,-20.96,2.41,0.3273,0,0.0,0.0
1,24,0.48,settle,0.14797,0.14058,-0.04619,0.14797,0.015,-20.96,2.41,0.3273,0,0.0,0.0
2,24,0.48,settle,0.14797,0.14058,-0.04619,0.14797,0.015,-20.96,2.41,0.3273,0,0.0,0.0
3,24,0.48,settle,0.14796,0.14056,-0.04621,0.14796,0.015,-20.96,2.42,0.3273,0,0.0,0.0
0,25,0.5,settle,0.15523,0.14776,-0.04757,0.15523,0.0156,-22.04,2.66,0.3276,0,0.0,0.0
1,25,0.5,settle,0.15523,0.14776,-0.04757,0.15523,0.0156,-22.04,2.66,0.3276,0,0.0,0.0
2,25,0.5,settle,0.15523,0.14776,-0.04757,0.15523,0.0156,-22.04,2.66,0.3276,0,0.0,0.0
3,25,0.5,settle,0.15523,0.14776,-0.04758,0.15523,0.0156,-22.04,2.66,0.3276,0,0.0,0.0
0,26,0.52,settle,0.16252,0.15491,-0.04917,0.16252,0.0162,-23.19,2.93,0.328,0,0.0,0.0
1,26,0.52,settle,0.16252,0.1549,-0.04916,0.16252,0.0162,-23.19,2.94,0.328,0,0.0,0.0
2,26,0.52,settle,0.16252,0.15491,-0.04916,0.16252,0.0162,-23.19,2.93,0.328,0,0.0,0.0
3,26,0.52,settle,0.16251,0.1549,-0.04917,0.16251,0.0162,-23.19,2.94,0.3279,0,0.0,0.0
0,27,0.54,settle,0.16852,0.1604,-0.05166,0.16852,0.0168,-24.12,3.17,0.3284,0,0.0,0.0
1,27,0.54,settle,0.16851,0.1604,-0.05166,0.16851,0.0168,-24.12,3.17,0.3284,0,0.0,0.0
2,27,0.54,settle,0.16852,0.16041,-0.05166,0.16852,0.0168,-24.13,3.17,0.3284,0,0.0,0.0
3,27,0.54,settle,0.16851,0.16039,-0.05167,0.16851,0.0168,-24.12,3.17,0.3284,0,0.0,0.0
