step,wall_time,Episode_Reward/action_rate,Episode_Reward/action_rate_arm,Episode_Reward/alive,Episode_Reward/ang_vel_xy,Episode_Reward/base_height,Episode_Reward/collision,Episode_Reward/dof_acc,Episode_Reward/dof_acc_arm,Episode_Reward/dof_pos_limits,Episode_Reward/dof_vel,Episode_Reward/dof_vel_arm,Episode_Reward/feet_air_time,Episode_Reward/feet_contact_forces,Episode_Reward/feet_contact_number,Episode_Reward/feet_drag,Episode_Reward/feet_height,Episode_Reward/feet_height_high,Episode_Reward/feet_pos_xy,Episode_Reward/hip_pos,Episode_Reward/lin_vel_z,Episode_Reward/ref_dof_leg,Episode_Reward/stand_still,Episode_Reward/torque_limits,Episode_Reward/torques,Episode_Reward/tracking_ang_vel,Episode_Reward/tracking_ee_force_world,Episode_Reward/tracking_lin_vel_force_world,Loss/base_velocity,Loss/effective_lr,Loss/entropy,Loss/estimator,Loss/force_base,Loss/force_ee,Loss/gripper_pos,Loss/kl,Loss/kl_above_upper,Loss/kl_below_lower,Loss/kl_first_minibatch,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward
20,1789988506.564,-0.2513385,-0.276557,0.7559981,-0.04781085,-0.003726423,-0.07500002,-0.08692825,-0.0110897,-0.01159155,-0.06159604,-0.001042204,-0.00125,-0.001283655,0.7093269,-0.01982433,-0.000531807,0,-0.02791103,-0.04153663,-0.02563334,0.391548,0.2179316,-0.002831626,-0.002156557,0.1852487,0.4925695,0.7818583,0.005170093,1e-05,25.53716,0.007605479,0.0002184992,0.0004158439,0.001801043,0.01617241,0.45,0.15,0,1e-05,-0.02892704,0.1800471,0.5101726,0.3544259,28424,0.9997146,428.54,34.65621
21,1789988507.419,-0.2003489,-0.2226921,0.6187493,-0.03247502,-0.004301743,-0.1075,-0.07343677,-0.008819326,-0.00101014,-0.05020742,-0.0008592823,-0.01829,-0.0008848034,0.4519006,-0.01587546,-0.02093189,-0.001402852,-0.02661265,-0.04743902,-0.02082602,0.3172565,0.05422165,-0.002485275,-0.001801805,0.1524268,0.454774,0.438643,0.004974315,0.0001708594,25.53338,0.007194901,0.0001986105,0.0003491826,0.001672793,0.008688994,0,0.4,0,0.0001708594,-0.01946934,0.1967841,0.4817736,0.3663733,28976,0.9994473,442.9,36.24566
22,1789988508.276,-0.2721953,-0.3102519,0.8279983,-0.05198597,-0.004740393,-0.105,-0.08898517,-0.01182395,-0.0009069575,-0.06224027,-0.001144961,-0.009920001,-0.0009743095,0.7052263,-0.02151031,-0.01188198,0,-0.02980296,-0.04755551,-0.02567614,0.4287138,0.1657675,-0.003263054,-0.002330845,0.2343319,0.6423126,0.8381433,0.004817116,1e-05,25.52698,0.007022718,0.000195196,0.0003356738,0.001674733,0.01595561,0.5,0.15,0,1e-05,-0.02906656,0.166099,0.4884591,0.3625536,28878,0.9992225,470.38,39.09404
23,1789988509.131,-0.282533,-0.3019178,0.8639991,-0.05423053,-0.005597043,-0.1699999,-0.1022723,-0.01234742,-0.002845336,-0.07173966,-0.001202461,-0.04034001,-0.001151951,0.5371002,-0.02268094,-0.04016433,0,-0.03207622,-0.05958393,-0.03409743,0.4457932,0,-0.003306249,-0.002500029,0.2202689,0.5756904,0.5531565,0.004738813,0.0001708594,25.5249,0.006718466,0.0001754194,0.0003100898,0.001494143,0.008889077,0,0.4,0,0.0001708594,-0.01906564,0.1739063,0.4838943,0.3643701,28972,0.9989848,483.83,40.03724
24,1789988509.997,-0.2958042,-0.3097645,0.9,-0.06338146,-0.00494644,-0.1899999,-0.106619,-0.01330709,0,-0.07788999,-0.001248992,-0.03771999,-0.00107927,0.5812007,-0.02335626,-0.04286722,0,-0.03356103,-0.05304217,-0.02330995,0.4662436,0,-0.003484971,-0.002537246,0.214307,0.6143655,0.5365641,0.004663448,0.0001139063,25.51765,0.006588579,0.000167899,0.0002993449,0.001457887,0.016237,0.15,0.15,0,0.0001139063,-0.02957972,0.1370801,0.4919374,0.3620424,28778,0.9986558,499.49,40.45922
25,1789988510.843,-0.2982003,-0.3202662,0.9315006,-0.05381803,-0.006482947,-0.2333332,-0.0985572,-0.01330793,0,-0.07031338,-0.001298418,-0.01904667,-0.0007500349,0.7471353,-0.02454297,-0.02330558,0,-0.03408521,-0.06308692,-0.02985834,0.4755542,0.1268955,-0.003570287,-0.002787147,0.2368881,0.5885367,0.8151307,0.004694143,3.375e-05,25.51417,0.00656965,0.000168102,0.0002946421,0.001412763,0.01547571,0.3,0.2,0,3.375e-05,-0.03005297,0.1297042,0.4767284,0.362689,29277,0.9984898,517.85,41.93297
26,1789988511.693,-0.3195336,-0.3444054,0.9705016,-0.06035074,-0.005168966,-0.08000001,-0.111743,-0.01435614,0,-0.08175354,-0.001358069,-0.02708001,-0.001574449,0.7350013,-0.02683761,-0.02824978,0,-0.03420482,-0.05632043,-0.04106861,0.5046017,0.1094618,-0.003783597,-0.002715959,0.2329727,0.7123718,0.66804,0.004509229,0.0001708594,25.51231,0.00630433,0.0001595999,0.0002767751,0.001358726,0.009920483,0,0.25,0,0.0001708594,-0.02457565,0.1152311,0.4797611,0.3641713,29120,0.9984399,554.07,45.23709
27,1789988512.542,-0.333663,-0.3533029,1.008003,-0.06256598,-0.006268139,-0.3349998,-0.110792,-0.01479448,-0.000468595,-0.07803874,-0.001403303,-0.03102,-0.0008859355,0.781751,-0.02641986,-0.02790165,0,-0.03735107,-0.06790742,-0.03663485,0.5188015,0.1088714,-0.003888451,-0.002998657,0.2824478,0.6799418,1.053919,0.004505507,5.0625e-05,25.51334,0.006316786,0.0001592347,0.0002886327,0.001363412,0.01592357,0.25,0.15,0,5.0625e-05,-0.0294893,0.1235954,0.4790096,0.363903,29156,0.9986268,588.6,47.30768
28,1789988513.406,-0.3416283,-0.3785636,1.044003,-0.06842376,-0.006900501,-0.1275,-0.1162898,-0.01495201,-0.003742503,-0.08392408,-0.001461181,-0.03869999,-0.001509292,0.7221766,-0.02783891,-0.04063928,0,-0.03960003,-0.07183199,-0.03628291,0.5382216,0.05518914,-0.003981016,-0.003027519,0.247169,0.7461162,0.8581208,0.004453984,0.0001708594,25.51174,0.006140156,0.000152737,0.000265516,0.001267919,0.009515157,0,0.2,0,0.0001708594,-0.02554899,0.1002329,0.4933226,0.3636403,28678,0.9981053,617.85,50.03455
29,1789988514.266,-0.360095,-0.3920519,1.078504,-0.0645363,-0.007055126,-0.16,-0.1262838,-0.01532479,-0.01422691,-0.0875044,-0.001512382,-0.04843999,-0.001597353,0.6892013,-0.02927708,-0.05125093,0,-0.04120355,-0.08371644,-0.0407879,0.5551893,0,-0.004170222,-0.003150085,0.2766695,0.5796427,0.5445434,0.004425911,5.0625e-05,25.49619,0.006197157,0.0001590125,0.0002759115,0.001336322,0.01554847,0.25,0.15,0,5.0625e-05,-0.03154952,0.1012009,0.4896121,0.3632929,28814,0.9973354,655.57,53.59806
30,1789988515.128,-0.3625354,-0.3801018,1.116005,-0.05939457,-0.008633925,-0.3299998,-0.1234138,-0.01613346,0,-0.08514033,-0.00155432,-0.04185998,-0.0007263289,0.7307519,-0.03048668,-0.05013056,0,-0.04193556,-0.08088224,-0.02881055,0.5647668,0,-0.004224567,-0.003296315,0.2859075,0.6317436,0.8059718,0.004324028,7.59375e-05,25.48506,0.005956037,0.0001497081,0.0002609453,0.001221356,0.01238811,0.15,0.25,0,7.59375e-05,-0.02926472,0.107067,0.4821486,0.3671117,28938,0.9965711,670.85,54.27641
31,1789988515.967,-0.3883612,-0.4160278,1.150506,-0.07212587,-0.006309971,-0.03,-0.1370782,-0.01669839,-0.0001287055,-0.09888183,-0.001611008,-0.03278,-0.002156484,0.8651535,-0.0308805,-0.03756776,0,-0.04293911,-0.06517156,-0.04282947,0.5963625,0.1180096,-0.004437226,-0.003135963,0.3155608,0.8032622,0.9216909,0.004254814,0.0001139063,25.4664,0.005812791,0.0001514605,0.0002631879,0.001143329,0.01240792,0.1,0.2,0,0.0001139063,-0.02987497,0.08580305,0.4911234,0.3414357,29518,0.9953027,693.85,55.23524
