step,time_s,tip_err_l1_m,tip_err_x_m,tip_err_y_m,tip_err_z_m,base_z_m,force_cmd_n,force_est_n,base_vx_mps,base_vy_mps,base_wz_radps,base_roll_rad,base_pitch_rad,goal_radius_m,goal_pitch_rad,goal_yaw_rad,tip_x_m,tip_y_m,tip_z_m,action_absmax,torque_absmax_nm
73,1.46,0.563412,0.0274797,0.0140825,0.521849,0.130228,0,6.1248,-0.0130433,-0.0160432,-0.0320696,-2.1357,0.0813195,0.5,0.2984,0,-0.0795984,0.527013,0.115146,13.1031,15.2372
74,1.48,0.554484,0.0335747,0.0039888,0.51692,0.132032,0,5.54599,-0.0278336,-0.0336548,-0.120736,-2.14689,0.0724154,0.5,0.29388,0,-0.0792881,0.532011,0.117914,13.1836,14.4607
75,1.5,0.548302,0.0346211,0.00686371,0.506817,0.132694,0,4.64399,-0.00925327,-0.00628912,-0.0540185,-2.15124,0.0667901,0.5,0.289361,0,-0.0847717,0.521928,0.125853,13.2646,14.4025
76,1.52,0.530596,0.0330215,0.00298971,0.494585,0.13427,0,3.89722,-0.0327672,-0.0169914,-0.0765232,-2.16133,0.0566668,0.5,0.284841,0,-0.0930699,0.505745,0.135918,13.2646,15.9903
77,1.54,0.522498,0.031075,0.00566074,0.485762,0.137151,0,3.07244,-0.0204517,-0.00933086,-0.171047,-2.16166,0.0417064,0.5,0.280322,0,-0.107775,0.477239,0.14257,13.285,16.6875
78,1.56,0.521591,0.0210647,0.0214115,0.479115,0.136961,0,2.48685,-0.0322143,-0.0124277,-0.127553,-2.16036,0.0424157,0.5,0.275803,0,-0.126084,0.446717,0.147045,13.2278,18.0874
79,1.58,0.505772,0.00941303,0.0361393,0.46022,0.138945,0,2.09732,-0.0429936,-0.0426506,-0.279288,-2.17331,0.030943,0.5,0.271283,0,-0.146209,0.421482,0.163764,13.0139,18.6556
80,1.6,0.500746,0.00762108,0.0500937,0.443031,0.139779,0,1.82542,-0.0376251,-0.0103873,-0.073103,-2.17902,0.0252751,0.5,0.266764,0,-0.172784,0.395023,0.178774,12.6443,20.5499
81,1.62,0.508223,0.0259624,0.0602268,0.422033,0.141518,0,2.05625,-0.0283579,0.00641307,-0.219743,-2.19063,0.0156825,0.5,0.262244,0,-0.199289,0.375448,0.197591,13.1706,20.7185
82,1.64,0.517632,0.0453233,0.0674829,0.404825,0.142659,0,2.27725,-0.0115027,-0.00370524,-0.0859881,-2.19836,0.010153,0.5,0.257725,0,-0.223272,0.36321,0.212615,13.9861,21.8636
83,1.66,0.533189,0.0645107,0.0733525,0.395326,0.143143,0,2.79993,-0.00185228,0.00586243,-0.297547,-2.20149,0.00869251,0.5,0.253205,0,-0.244885,0.354029,0.219928,14.8748,22.0454
84,1.68,0.54249,0.0788303,0.0767334,0.386926,0.143823,0,3.21225,0.00868851,-0.00734019,-0.248531,-2.20622,0.00614532,0.5,0.248686,0,-0.257837,0.351633,0.226139,15.5183,23.0425
85,1.7,0.546667,0.0914453,0.0772517,0.37797,0.144581,0,3.89939,0.00452752,-0.000770181,-0.157339,-2.21161,0.00191274,0.5,0.244167,0,-0.270992,0.350213,0.232904,15.8518,23.7
86,1.72,0.55695,0.101995,0.0787955,0.376159,0.144854,0,4.41027,0.0141316,-0.00692341,-0.168541,-2.21345,2.5779e-05,0.5,0.239647,0,-0.280486,0.349102,0.232521,15.8872,23.5967
87,1.74,0.560071,0.10087,0.081356,0.377845,0.145402,0,5.27911,0.0130571,-0.00631247,-0.0779211,-2.21698,-0.00309939,0.5,0.235128,0,-0.278859,0.346734,0.228639,15.6761,23.7
88,1.76,0.576824,0.0961236,0.0868599,0.393841,0.1454,0,5.83904,0.00455592,0.00300115,-0.0362127,-2.2166,-0.00300025,0.5,0.230608,0,-0.273918,0.3406,0.210444,15.3436,23.7
89,1.78,0.572866,0.0791636,0.0897391,0.403963,0.145657,0,6.17418,0.00956497,-0.0110222,-0.117653,-2.21869,-0.0045837,0.5,0.226089,0,-0.255838,0.338267,0.198121,14.9842,23.7
90,1.8,0.552657,0.0658263,0.0867885,0.400042,0.145693,0,6.46657,-0.00354071,-0.00555888,-0.034581,-2.22068,-0.00526626,0.5,0.221569,0,-0.241132,0.343404,0.199838,14.6983,23.7
91,1.82,0.529911,0.0542554,0.0811645,0.394491,0.145877,0,6.29782,0.021071,-0.0150488,0.03652,-2.21913,-0.00627221,0.5,0.21705,0,-0.229438,0.348577,0.203184,14.384,23.7
92,1.84,0.505994,0.0373626,0.0746814,0.39395,0.145843,0,6.66371,0.0154533,-0.0057864,0.0157202,-2.21984,-0.00629414,0.5,0.212531,0,-0.212269,0.353785,0.201517,14.1739,23.7
93,1.86,0.48925,0.0240206,0.0717179,0.393512,0.145844,0,7.12798,0.000372342,-0.0067739,0.0560257,-2.21767,-0.00609822,0.5,0.208011,0,-0.20055,0.352883,0.199746,13.9156,23.7
94,1.88,0.478698,0.0108965,0.0724691,0.395332,0.145767,0,7.29476,-0.00477507,0.000284287,-0.192389,-2.21876,-0.00591763,0.5,0.203492,0,-0.188104,0.349739,0.195713,13.631,23.7
95,1.9,0.484165,0.0121603,0.0726257,0.399379,0.145556,0,7.51328,0.00070101,0.00211728,0.104184,-2.21659,-0.00405416,0.5,0.198972,0,-0.168617,0.342379,0.189452,13.4743,23.7
96,1.92,0.515945,0.0285349,0.0753498,0.41206,0.145492,0,8.503,-0.00505972,-0.00132078,0.0569489,-2.214,-0.00452273,0.5,0.194453,0,-0.153269,0.336409,0.174554,13.1061,23.7
97,1.94,0.573471,0.059277,0.0767474,0.437446,0.145297,0,8.77141,-0.0124213,0.0040386,0.0521723,-2.21585,-0.00422424,0.5,0.189933,0,-0.124027,0.330893,0.14695,12.9472,23.7
98,1.96,0.619345,0.0960605,0.07014,0.453145,0.145279,0,9.20672,0.0010092,0.00662868,0.0390564,-2.21397,-0.00468002,0.5,0.185414,0,-0.089913,0.333317,0.129032,12.7703,23.7
99,1.98,0.654126,0.130259,0.055953,0.467914,0.145358,0,9.23091,0.00288559,-0.00597462,0.0925323,-2.21304,-0.00485154,0.5,0.180895,0,-0.0555847,0.34714,0.112041,12.6945,23.7
100,2,0.680965,0.168891,0.0330237,0.47905,0.145459,0,9.36281,-5.65164e-05,-0.000577174,0.043904,-2.20943,-0.00492713,0.5,0.176375,0,-0.0180114,0.368098,0.098681,12.4797,23.7
101,2.02,0.68766,0.207279,0.000783175,0.479598,0.14553,0,9.23182,-0.00283305,-0.00606923,0.0463287,-2.21361,-0.00504259,0.5,0.171856,0,0.0206192,0.401938,0.0959079,12.0411,23.7
102,2.04,0.744744,0.237911,0.0385553,0.468278,0.145663,0,9.10186,-0.00842235,-0.0342893,-0.0799206,-2.21596,-0.00656867,0.5,0.167336,0,0.052648,0.442161,0.105001,11.6998,23.7
